"['255', '255', '-2', 1.5]","['255', '255', '-2', 1.5]","['255', '255', '-2', 1.5]","['255', '255', '-2', 1.5]"
"['255', '255', '-2', 4.5]","['255', '255', '-2', 1.5]","['255', '255', '-2', 1.5]","['255', '255', '-2', 1.5]"
"['255', '255', '-2', 4.5]","['255', '255', '-2', 4.5]","['255', '255', '-2', 1.5]","['255', '255', '-2', 1.5]"
"['255', '255', '-2', 4.5]","['255', '255', '-2', 4.5]","['255', '255', '-2', 4.5]","['255', '255', '-2', 1.5]"
"['255', '255', '-2', 9]","['255', '255', '-2', 4.5]","['255', '255', '-2', 4.5]","['255', '255', '-2', 4.5]"
"['63', '45', '-3', 4.5]","['255', '255', '-2', 9]","['255', '255', '-2', 4.5]","['255', '255', '-2', 4.5]"
"['63', '45', '-4', 4.5]","['63', '45', '-3', 4.5]","['255', '255', '-2', 9]","['255', '255', '-2', 4.5]"
"['54', '45', '-4', 3.5]","['63', '45', '-4', 4.5]","['63', '45', '-3', 4.5]","['255', '255', '-2', 9]"
"['54', '45', '-4', 4.5]","['54', '45', '-4', 3.5]","['63', '45', '-4', 4.5]","['63', '45', '-3', 4.5]"
"['59', '45', '-4', 4.5]","['54', '45', '-4', 4.5]","['54', '45', '-4', 3.5]","['63', '45', '-4', 4.5]"
"['63', '45', '-5', 4.5]","['59', '45', '-4', 4.5]","['54', '45', '-4', 4.5]","['54', '45', '-4', 3.5]"
"['63', '45', '-5', 4.5]","['63', '45', '-5', 4.5]","['59', '45', '-4', 4.5]","['54', '45', '-4', 4.5]"
"['63', '45', '-5', 4.5]","['63', '45', '-5', 4.5]","['63', '45', '-5', 4.5]","['59', '45', '-4', 4.5]"
"['67', '45', '-7', 4.5]","['63', '45', '-5', 4.5]","['63', '45', '-5', 4.5]","['63', '45', '-5', 4.5]"
"['67', '45', '-7', 4.5]","['67', '45', '-7', 4.5]","['63', '45', '-5', 4.5]","['63', '45', '-5', 4.5]"
"['67', '45', '-10', 4.5]","['67', '45', '-7', 4.5]","['67', '45', '-7', 4.5]","['63', '45', '-5', 4.5]"
"['67', '45', '-10', 4.5]","['67', '45', '-10', 4.5]","['67', '45', '-7', 4.5]","['67', '45', '-7', 4.5]"
"['76', '45', '-13', 4.5]","['67', '45', '-10', 4.5]","['67', '45', '-10', 4.5]","['67', '45', '-7', 4.5]"
"['90', '45', '-13', 4.5]","['76', '45', '-13', 4.5]","['67', '45', '-10', 4.5]","['67', '45', '-10', 4.5]"
"['90', '45', '-15', 4.5]","['90', '45', '-13', 4.5]","['76', '45', '-13', 4.5]","['67', '45', '-10', 4.5]"
"['90', '45', '-15', 4.5]","['90', '45', '-15', 4.5]","['90', '45', '-13', 4.5]","['76', '45', '-13', 4.5]"
"['103', '45', '-15', 4.5]","['90', '45', '-15', 4.5]","['90', '45', '-15', 4.5]","['90', '45', '-13', 4.5]"
"['112', '45', '-16', 4.5]","['103', '45', '-15', 4.5]","['90', '45', '-15', 4.5]","['90', '45', '-15', 4.5]"
"['112', '45', '-15', 4.5]","['112', '45', '-16', 4.5]","['103', '45', '-15', 4.5]","['90', '45', '-15', 4.5]"
"['112', '45', '-13', 4.5]","['112', '45', '-15', 4.5]","['112', '45', '-16', 4.5]","['103', '45', '-15', 4.5]"
"['112', '45', '-13', 4.5]","['112', '45', '-13', 4.5]","['112', '45', '-15', 4.5]","['112', '45', '-16', 4.5]"
"['112', '45', '-12', 4.5]","['112', '45', '-13', 4.5]","['112', '45', '-13', 4.5]","['112', '45', '-15', 4.5]"
"['103', '45', '-11', 4.5]","['112', '45', '-12', 4.5]","['112', '45', '-13', 4.5]","['112', '45', '-13', 4.5]"
"['103', '45', '-11', 4.5]","['103', '45', '-11', 4.5]","['112', '45', '-12', 4.5]","['112', '45', '-13', 4.5]"
"['103', '45', '-11', 4.5]","['103', '45', '-11', 4.5]","['103', '45', '-11', 4.5]","['112', '45', '-12', 4.5]"
"['99', '45', '-9', 4.5]","['103', '45', '-11', 4.5]","['103', '45', '-11', 4.5]","['103', '45', '-11', 4.5]"
"['94', '45', '-9', 9]","['99', '45', '-9', 4.5]","['103', '45', '-11', 4.5]","['103', '45', '-11', 4.5]"
"['94', '45', '-12', 4.5]","['94', '45', '-9', 9]","['99', '45', '-9', 4.5]","['103', '45', '-11', 4.5]"
"['94', '45', '-9', 4.5]","['94', '45', '-12', 4.5]","['94', '45', '-9', 9]","['99', '45', '-9', 4.5]"
"['126', '45', '-12', 4.5]","['94', '45', '-9', 4.5]","['94', '45', '-12', 4.5]","['94', '45', '-9', 9]"
"['99', '45', '-12', 4.5]","['126', '45', '-12', 4.5]","['94', '45', '-9', 4.5]","['94', '45', '-12', 4.5]"
"['85', '45', '-9', 4.5]","['99', '45', '-12', 4.5]","['126', '45', '-12', 4.5]","['94', '45', '-9', 4.5]"
"['99', '45', '-10', 4.5]","['85', '45', '-9', 4.5]","['99', '45', '-12', 4.5]","['126', '45', '-12', 4.5]"
"['85', '45', '-6', 4.5]","['99', '45', '-10', 4.5]","['85', '45', '-9', 4.5]","['99', '45', '-12', 4.5]"
"['85', '45', '-6', 4.5]","['85', '45', '-6', 4.5]","['99', '45', '-10', 4.5]","['85', '45', '-9', 4.5]"
"['85', '45', '-4', 4.5]","['85', '45', '-6', 4.5]","['85', '45', '-6', 4.5]","['99', '45', '-10', 4.5]"
"['90', '45', '-3', 4.5]","['85', '45', '-4', 4.5]","['85', '45', '-6', 4.5]","['85', '45', '-6', 4.5]"
"['72', '45', '-3', 4.5]","['90', '45', '-3', 4.5]","['85', '45', '-4', 4.5]","['85', '45', '-6', 4.5]"
"['72', '45', '-3', 4.5]","['72', '45', '-3', 4.5]","['90', '45', '-3', 4.5]","['85', '45', '-4', 4.5]"
"['63', '45', '-1', 4.5]","['72', '45', '-3', 4.5]","['72', '45', '-3', 4.5]","['90', '45', '-3', 4.5]"
"['58', '45', '0', 9]","['63', '45', '-1', 4.5]","['72', '45', '-3', 4.5]","['72', '45', '-3', 4.5]"
"['58', '45', '-1', 9]","['58', '45', '0', 9]","['63', '45', '-1', 4.5]","['72', '45', '-3', 4.5]"
"['54', '45', '-1', 9]","['58', '45', '-1', 9]","['58', '45', '0', 9]","['63', '45', '-1', 4.5]"
"['45', '45', '-3', 9]","['54', '45', '-1', 9]","['58', '45', '-1', 9]","['58', '45', '0', 9]"
"['45', '45', '-4', 9]","['45', '45', '-3', 9]","['54', '45', '-1', 9]","['58', '45', '-1', 9]"
"['45', '45', '-4', 9]","['45', '45', '-4', 9]","['45', '45', '-3', 9]","['54', '45', '-1', 9]"
"['72', '45', '-8', 9]","['45', '45', '-4', 9]","['45', '45', '-4', 9]","['45', '45', '-3', 9]"
"['72', '45', '-8', 9]","['72', '45', '-8', 9]","['45', '45', '-4', 9]","['45', '45', '-4', 9]"
"['81', '45', '-7', 9]","['72', '45', '-8', 9]","['72', '45', '-8', 9]","['45', '45', '-4', 9]"
"['81', '45', '-10', 9]","['81', '45', '-7', 9]","['72', '45', '-8', 9]","['72', '45', '-8', 9]"
"['117', '45', '-8', 9]","['81', '45', '-10', 9]","['81', '45', '-7', 9]","['72', '45', '-8', 9]"
"['117', '45', '-9', 6]","['117', '45', '-8', 9]","['81', '45', '-10', 9]","['81', '45', '-7', 9]"
"['108', '45', '-11', 9]","['117', '45', '-9', 6]","['117', '45', '-8', 9]","['81', '45', '-10', 9]"
"['135', '45', '-7', 9]","['108', '45', '-11', 9]","['117', '45', '-9', 6]","['117', '45', '-8', 9]"
"['126', '45', '-9', 9]","['135', '45', '-7', 9]","['108', '45', '-11', 9]","['117', '45', '-9', 6]"
"['144', '45', '-6', 9]","['126', '45', '-9', 9]","['135', '45', '-7', 9]","['108', '45', '-11', 9]"
"['144', '45', '-4', 3.5]","['144', '45', '-6', 9]","['126', '45', '-9', 9]","['135', '45', '-7', 9]"
"['66', '45', '-3', 9]","['144', '45', '-4', 3.5]","['144', '45', '-6', 9]","['126', '45', '-9', 9]"
"['66', '45', '-1', 9]","['66', '45', '-3', 9]","['144', '45', '-4', 3.5]","['144', '45', '-6', 9]"
"['81', '45', '0', 9]","['66', '45', '-1', 9]","['66', '45', '-3', 9]","['144', '45', '-4', 3.5]"
"['72', '45', '0', 9]","['81', '45', '0', 9]","['66', '45', '-1', 9]","['66', '45', '-3', 9]"
"['72', '45', '0', 9]","['72', '45', '0', 9]","['81', '45', '0', 9]","['66', '45', '-1', 9]"
"['54', '45', '1', 9]","['72', '45', '0', 9]","['72', '45', '0', 9]","['81', '45', '0', 9]"
"['45', '45', '-1', 9]","['54', '45', '1', 9]","['72', '45', '0', 9]","['72', '45', '0', 9]"
"['45', '45', '-2', 9]","['45', '45', '-1', 9]","['54', '45', '1', 9]","['72', '45', '0', 9]"
"['45', '45', '-2', 9]","['45', '45', '-2', 9]","['45', '45', '-1', 9]","['54', '45', '1', 9]"
"['45', '53', '-2', 9]","['45', '45', '-2', 9]","['45', '45', '-2', 9]","['45', '45', '-1', 9]"
"['63', '45', '-6', 9]","['45', '53', '-2', 9]","['45', '45', '-2', 9]","['45', '45', '-2', 9]"
"['63', '45', '-6', 9]","['63', '45', '-6', 9]","['45', '53', '-2', 9]","['45', '45', '-2', 9]"
"['63', '45', '-9', 9]","['63', '45', '-6', 9]","['63', '45', '-6', 9]","['45', '53', '-2', 9]"
"['63', '45', '-6', 9]","['63', '45', '-9', 9]","['63', '45', '-6', 9]","['63', '45', '-6', 9]"
"['99', '45', '-8', 9]","['63', '45', '-6', 9]","['63', '45', '-9', 9]","['63', '45', '-6', 9]"
"['126', '45', '-7', 9]","['99', '45', '-8', 9]","['63', '45', '-6', 9]","['63', '45', '-9', 9]"
"['99', '45', '-5', 9]","['126', '45', '-7', 9]","['99', '45', '-8', 9]","['63', '45', '-6', 9]"
"['99', '45', '-7', 9]","['99', '45', '-5', 9]","['126', '45', '-7', 9]","['99', '45', '-8', 9]"
"['108', '45', '-7', 9]","['99', '45', '-7', 9]","['99', '45', '-5', 9]","['126', '45', '-7', 9]"
"['90', '45', '-3', 9]","['108', '45', '-7', 9]","['99', '45', '-7', 9]","['99', '45', '-5', 9]"
"['108', '45', '-4', 9]","['90', '45', '-3', 9]","['108', '45', '-7', 9]","['99', '45', '-7', 9]"
"['108', '45', '0', 9]","['108', '45', '-4', 9]","['90', '45', '-3', 9]","['108', '45', '-7', 9]"
"['108', '45', '0', 9]","['108', '45', '0', 9]","['108', '45', '-4', 9]","['90', '45', '-3', 9]"
"['81', '45', '0', 4.5]","['108', '45', '0', 9]","['108', '45', '0', 9]","['108', '45', '-4', 9]"
"['45', '45', '1', 9]","['81', '45', '0', 4.5]","['108', '45', '0', 9]","['108', '45', '0', 9]"
"['45', '45', '1', 9]","['45', '45', '1', 9]","['81', '45', '0', 4.5]","['108', '45', '0', 9]"
"['45', '53', '0', 9]","['45', '45', '1', 9]","['45', '45', '1', 9]","['81', '45', '0', 4.5]"
"['45', '53', '0', 9]","['45', '53', '0', 9]","['45', '45', '1', 9]","['45', '45', '1', 9]"
"['45', '53', '-1', 9]","['45', '53', '0', 9]","['45', '53', '0', 9]","['45', '45', '1', 9]"
"['45', '53', '-3', 9]","['45', '53', '-1', 9]","['45', '53', '0', 9]","['45', '53', '0', 9]"
"['45', '45', '-3', 9]","['45', '53', '-3', 9]","['45', '53', '-1', 9]","['45', '53', '0', 9]"
"['45', '45', '-5', 9]","['45', '45', '-3', 9]","['45', '53', '-3', 9]","['45', '53', '-1', 9]"
"['72', '45', '-6', 9]","['45', '45', '-5', 9]","['45', '45', '-3', 9]","['45', '53', '-3', 9]"
"['72', '45', '-7', 9]","['72', '45', '-6', 9]","['45', '45', '-5', 9]","['45', '45', '-3', 9]"
"['72', '45', '-7', 9]","['72', '45', '-7', 9]","['72', '45', '-6', 9]","['45', '45', '-5', 9]"
"['90', '45', '-7', 9]","['72', '45', '-7', 9]","['72', '45', '-7', 9]","['72', '45', '-6', 9]"
"['108', '45', '-6', 9]","['90', '45', '-7', 9]","['72', '45', '-7', 9]","['72', '45', '-7', 9]"
"['108', '45', '-5', 9]","['108', '45', '-6', 9]","['90', '45', '-7', 9]","['72', '45', '-7', 9]"
"['108', '45', '-5', 9]","['108', '45', '-5', 9]","['108', '45', '-6', 9]","['90', '45', '-7', 9]"
"['108', '45', '-4', 9]","['108', '45', '-5', 9]","['108', '45', '-5', 9]","['108', '45', '-6', 9]"
"['90', '45', '-7', 9]","['108', '45', '-4', 9]","['108', '45', '-5', 9]","['108', '45', '-5', 9]"
"['90', '45', '-4', 9]","['90', '45', '-7', 9]","['108', '45', '-4', 9]","['108', '45', '-5', 9]"
"['90', '45', '-8', 9]","['90', '45', '-4', 9]","['90', '45', '-7', 9]","['108', '45', '-4', 9]"
"['108', '45', '-10', 9]","['90', '45', '-8', 9]","['90', '45', '-4', 9]","['90', '45', '-7', 9]"
"['108', '45', '-6', 9]","['108', '45', '-10', 9]","['90', '45', '-8', 9]","['90', '45', '-4', 9]"
"['81', '45', '-9', 2]","['108', '45', '-6', 9]","['108', '45', '-10', 9]","['90', '45', '-8', 9]"
"['117', '45', '-6', 9]","['81', '45', '-9', 2]","['108', '45', '-6', 9]","['108', '45', '-10', 9]"
"['117', '45', '-6', 9]","['117', '45', '-6', 9]","['81', '45', '-9', 2]","['108', '45', '-6', 9]"
"['126', '45', '-9', 9]","['117', '45', '-6', 9]","['117', '45', '-6', 9]","['81', '45', '-9', 2]"
"['126', '45', '-7', 9]","['126', '45', '-9', 9]","['117', '45', '-6', 9]","['117', '45', '-6', 9]"
"['99', '45', '-5', 9]","['126', '45', '-7', 9]","['126', '45', '-9', 9]","['117', '45', '-6', 9]"
"['126', '45', '-5', 9]","['99', '45', '-5', 9]","['126', '45', '-7', 9]","['126', '45', '-9', 9]"
"['108', '45', '-5', 9]","['126', '45', '-5', 9]","['99', '45', '-5', 9]","['126', '45', '-7', 9]"
"['90', '45', '-4', 9]","['108', '45', '-5', 9]","['126', '45', '-5', 9]","['99', '45', '-5', 9]"
"['90', '45', '-4', 9]","['90', '45', '-4', 9]","['108', '45', '-5', 9]","['126', '45', '-5', 9]"
"['90', '45', '-4', 9]","['90', '45', '-4', 9]","['90', '45', '-4', 9]","['108', '45', '-5', 9]"
"['90', '45', '-4', 9]","['90', '45', '-4', 9]","['90', '45', '-4', 9]","['90', '45', '-4', 9]"
"['81', '45', '-8', 9]","['90', '45', '-4', 9]","['90', '45', '-4', 9]","['90', '45', '-4', 9]"
"['81', '45', '-5', 9]","['81', '45', '-8', 9]","['90', '45', '-4', 9]","['90', '45', '-4', 9]"
"['81', '45', '-5', 9]","['81', '45', '-5', 9]","['81', '45', '-8', 9]","['90', '45', '-4', 9]"
"['117', '45', '-9', 2]","['81', '45', '-5', 9]","['81', '45', '-5', 9]","['81', '45', '-8', 9]"
"['117', '45', '-9', 9]","['117', '45', '-9', 2]","['81', '45', '-5', 9]","['81', '45', '-5', 9]"
"['90', '45', '-8', 9]","['117', '45', '-9', 9]","['117', '45', '-9', 2]","['81', '45', '-5', 9]"
"['55', '45', '-9', 9]","['90', '45', '-8', 9]","['117', '45', '-9', 9]","['117', '45', '-9', 2]"
"['126', '45', '-6', 9]","['55', '45', '-9', 9]","['90', '45', '-8', 9]","['117', '45', '-9', 9]"
"['126', '45', '-10', 9]","['126', '45', '-6', 9]","['55', '45', '-9', 9]","['90', '45', '-8', 9]"
"['117', '45', '-8', 3.5]","['126', '45', '-10', 9]","['126', '45', '-6', 9]","['55', '45', '-9', 9]"
"['126', '45', '-5', 9]","['117', '45', '-8', 3.5]","['126', '45', '-10', 9]","['126', '45', '-6', 9]"
"['99', '45', '-7', 9]","['126', '45', '-5', 9]","['117', '45', '-8', 3.5]","['126', '45', '-10', 9]"
"['117', '45', '-6', 9]","['99', '45', '-7', 9]","['126', '45', '-5', 9]","['117', '45', '-8', 3.5]"
"['90', '45', '-7', 9]","['117', '45', '-6', 9]","['99', '45', '-7', 9]","['126', '45', '-5', 9]"
"['108', '45', '-8', 9]","['90', '45', '-7', 9]","['117', '45', '-6', 9]","['99', '45', '-7', 9]"
"['108', '45', '-8', 9]","['108', '45', '-8', 9]","['90', '45', '-7', 9]","['117', '45', '-6', 9]"
"['108', '45', '-9', 9]","['108', '45', '-8', 9]","['108', '45', '-8', 9]","['90', '45', '-7', 9]"
"['108', '45', '-9', 9]","['108', '45', '-9', 9]","['108', '45', '-8', 9]","['108', '45', '-8', 9]"
"['117', '45', '-9', 2]","['108', '45', '-9', 9]","['108', '45', '-9', 9]","['108', '45', '-8', 9]"
"['117', '45', '-9', 9]","['117', '45', '-9', 2]","['108', '45', '-9', 9]","['108', '45', '-9', 9]"
"['63', '45', '-5', 9]","['117', '45', '-9', 9]","['117', '45', '-9', 2]","['108', '45', '-9', 9]"
"['126', '45', '-9', 9]","['63', '45', '-5', 9]","['117', '45', '-9', 9]","['117', '45', '-9', 2]"
"['126', '45', '-9', 9]","['126', '45', '-9', 9]","['63', '45', '-5', 9]","['117', '45', '-9', 9]"
"['126', '45', '-4', 9]","['126', '45', '-9', 9]","['126', '45', '-9', 9]","['63', '45', '-5', 9]"
"['126', '45', '-4', 2]","['126', '45', '-4', 9]","['126', '45', '-9', 9]","['126', '45', '-9', 9]"
"['126', '45', '-3', 9]","['126', '45', '-4', 2]","['126', '45', '-4', 9]","['126', '45', '-9', 9]"
"['126', '45', '-4', 9]","['126', '45', '-3', 9]","['126', '45', '-4', 2]","['126', '45', '-4', 9]"
"['126', '45', '-4', 4.5]","['126', '45', '-4', 9]","['126', '45', '-3', 9]","['126', '45', '-4', 2]"
"['81', '45', '-4', 9]","['126', '45', '-4', 4.5]","['126', '45', '-4', 9]","['126', '45', '-3', 9]"
"['63', '45', '-2', 9]","['81', '45', '-4', 9]","['126', '45', '-4', 4.5]","['126', '45', '-4', 9]"
"['81', '45', '-4', 2]","['63', '45', '-2', 9]","['81', '45', '-4', 9]","['126', '45', '-4', 4.5]"
"['81', '45', '-5', 9]","['81', '45', '-4', 2]","['63', '45', '-2', 9]","['81', '45', '-4', 9]"
"['81', '45', '-3', 9]","['81', '45', '-5', 9]","['81', '45', '-4', 2]","['63', '45', '-2', 9]"
"['81', '45', '-5', 9]","['81', '45', '-3', 9]","['81', '45', '-5', 9]","['81', '45', '-4', 2]"
"['81', '45', '-7', 9]","['81', '45', '-5', 9]","['81', '45', '-3', 9]","['81', '45', '-5', 9]"
"['72', '45', '-7', 9]","['81', '45', '-7', 9]","['81', '45', '-5', 9]","['81', '45', '-3', 9]"
"['72', '45', '-10', 9]","['72', '45', '-7', 9]","['81', '45', '-7', 9]","['81', '45', '-5', 9]"
"['90', '45', '-9', 9]","['72', '45', '-10', 9]","['72', '45', '-7', 9]","['81', '45', '-7', 9]"
"['108', '45', '-10', 6]","['90', '45', '-9', 9]","['72', '45', '-10', 9]","['72', '45', '-7', 9]"
"['108', '45', '-14', 9]","['108', '45', '-10', 6]","['90', '45', '-9', 9]","['72', '45', '-10', 9]"
"['99', '45', '-11', 9]","['108', '45', '-14', 9]","['108', '45', '-10', 6]","['90', '45', '-9', 9]"
"['145', '45', '-10', 9]","['99', '45', '-11', 9]","['108', '45', '-14', 9]","['108', '45', '-10', 6]"
"['145', '45', '-7', 9]","['145', '45', '-10', 9]","['99', '45', '-11', 9]","['108', '45', '-14', 9]"
"['145', '45', '-7', 9]","['145', '45', '-7', 9]","['145', '45', '-10', 9]","['99', '45', '-11', 9]"
"['135', '45', '-6', 3.5]","['145', '45', '-7', 9]","['145', '45', '-7', 9]","['145', '45', '-10', 9]"
"['108', '45', '-4', 9]","['135', '45', '-6', 3.5]","['145', '45', '-7', 9]","['145', '45', '-7', 9]"
"['108', '45', '-2', 9]","['108', '45', '-4', 9]","['135', '45', '-6', 3.5]","['145', '45', '-7', 9]"
"['99', '45', '0', 9]","['108', '45', '-2', 9]","['108', '45', '-4', 9]","['135', '45', '-6', 3.5]"
"['99', '45', '-1', 9]","['99', '45', '0', 9]","['108', '45', '-2', 9]","['108', '45', '-4', 9]"
"['63', '45', '1', 9]","['99', '45', '-1', 9]","['99', '45', '0', 9]","['108', '45', '-2', 9]"
"['45', '45', '-4', 4.5]","['63', '45', '1', 9]","['99', '45', '-1', 9]","['99', '45', '0', 9]"
"['54', '45', '0', 9]","['45', '45', '-4', 4.5]","['63', '45', '1', 9]","['99', '45', '-1', 9]"
"['54', '45', '-4', 9]","['54', '45', '0', 9]","['45', '45', '-4', 4.5]","['63', '45', '1', 9]"
"['81', '45', '-7', 9]","['54', '45', '-4', 9]","['54', '45', '0', 9]","['45', '45', '-4', 4.5]"
"['45', '45', '-6', 9]","['81', '45', '-7', 9]","['54', '45', '-4', 9]","['54', '45', '0', 9]"
"['45', '45', '-8', 9]","['45', '45', '-6', 9]","['81', '45', '-7', 9]","['54', '45', '-4', 9]"
"['99', '45', '-9', 9]","['45', '45', '-8', 9]","['45', '45', '-6', 9]","['81', '45', '-7', 9]"
"['99', '45', '-9', 4]","['99', '45', '-9', 9]","['45', '45', '-8', 9]","['45', '45', '-6', 9]"
"['99', '45', '-10', 9]","['99', '45', '-9', 4]","['99', '45', '-9', 9]","['45', '45', '-8', 9]"
"['81', '45', '-10', 9]","['99', '45', '-10', 9]","['99', '45', '-9', 4]","['99', '45', '-9', 9]"
"['81', '45', '-8', 6]","['81', '45', '-10', 9]","['99', '45', '-10', 9]","['99', '45', '-9', 4]"
"['126', '45', '-11', 9]","['81', '45', '-8', 6]","['81', '45', '-10', 9]","['99', '45', '-10', 9]"
"['105', '45', '-9', 9]","['126', '45', '-11', 9]","['81', '45', '-8', 6]","['81', '45', '-10', 9]"
"['105', '45', '-9', 9]","['105', '45', '-9', 9]","['126', '45', '-11', 9]","['81', '45', '-8', 6]"
"['117', '45', '-9', 9]","['105', '45', '-9', 9]","['105', '45', '-9', 9]","['126', '45', '-11', 9]"
"['144', '45', '-7', 9]","['117', '45', '-9', 9]","['105', '45', '-9', 9]","['105', '45', '-9', 9]"
"['126', '45', '-6', 9]","['144', '45', '-7', 9]","['117', '45', '-9', 9]","['105', '45', '-9', 9]"
"['126', '45', '-2', 9]","['126', '45', '-6', 9]","['144', '45', '-7', 9]","['117', '45', '-9', 9]"
"['126', '45', '-4', 9]","['126', '45', '-2', 9]","['126', '45', '-6', 9]","['144', '45', '-7', 9]"
"['108', '45', '-4', 9]","['126', '45', '-4', 9]","['126', '45', '-2', 9]","['126', '45', '-6', 9]"
"['63', '45', '0', 9]","['108', '45', '-4', 9]","['126', '45', '-4', 9]","['126', '45', '-2', 9]"
"['81', '45', '-2', 9]","['63', '45', '0', 9]","['108', '45', '-4', 9]","['126', '45', '-4', 9]"
"['81', '45', '0', 9]","['81', '45', '-2', 9]","['63', '45', '0', 9]","['108', '45', '-4', 9]"
"['81', '45', '0', 9]","['81', '45', '0', 9]","['81', '45', '-2', 9]","['63', '45', '0', 9]"
"['45', '45', '-1', 9]","['81', '45', '0', 9]","['81', '45', '0', 9]","['81', '45', '-2', 9]"
"['45', '45', '-2', 9]","['45', '45', '-1', 9]","['81', '45', '0', 9]","['81', '45', '0', 9]"
"['45', '45', '-7', 9]","['45', '45', '-2', 9]","['45', '45', '-1', 9]","['81', '45', '0', 9]"
"['45', '45', '-3', 9]","['45', '45', '-7', 9]","['45', '45', '-2', 9]","['45', '45', '-1', 9]"
"['54', '45', '-2', 9]","['45', '45', '-3', 9]","['45', '45', '-7', 9]","['45', '45', '-2', 9]"
"['54', '45', '-2', 9]","['54', '45', '-2', 9]","['45', '45', '-3', 9]","['45', '45', '-7', 9]"
"['108', '45', '-4', 9]","['54', '45', '-2', 9]","['54', '45', '-2', 9]","['45', '45', '-3', 9]"
"['72', '45', '-3', 9]","['108', '45', '-4', 9]","['54', '45', '-2', 9]","['54', '45', '-2', 9]"
"['63', '45', '-7', 9]","['72', '45', '-3', 9]","['108', '45', '-4', 9]","['54', '45', '-2', 9]"
"['81', '45', '-4', 9]","['63', '45', '-7', 9]","['72', '45', '-3', 9]","['108', '45', '-4', 9]"
"['72', '45', '-8', 9]","['81', '45', '-4', 9]","['63', '45', '-7', 9]","['72', '45', '-3', 9]"
"['72', '45', '-8', 9]","['72', '45', '-8', 9]","['81', '45', '-4', 9]","['63', '45', '-7', 9]"
"['108', '45', '-7', 9]","['72', '45', '-8', 9]","['72', '45', '-8', 9]","['81', '45', '-4', 9]"
"['108', '45', '-7', 9]","['108', '45', '-7', 9]","['72', '45', '-8', 9]","['72', '45', '-8', 9]"
"['117', '45', '-8', 9]","['108', '45', '-7', 9]","['108', '45', '-7', 9]","['72', '45', '-8', 9]"
"['108', '45', '-8', 9]","['117', '45', '-8', 9]","['108', '45', '-7', 9]","['108', '45', '-7', 9]"
