"['255', '255', '-84', 1.5, 0]","['255', '255', '-84', 1.5, 0]","['255', '255', '-84', 1.5, 0]","['255', '255', '-84', 1.5, 0]"
"['255', '255', '-84', 9, 0]","['255', '255', '-84', 1.5, 0]","['255', '255', '-84', 1.5, 0]","['255', '255', '-84', 1.5, 0]"
"['255', '255', '-84', 9, 0]","['255', '255', '-84', 9, 0]","['255', '255', '-84', 1.5, 0]","['255', '255', '-84', 1.5, 0]"
"['255', '255', '-84', 9, 0]","['255', '255', '-84', 9, 0]","['255', '255', '-84', 9, 0]","['255', '255', '-84', 1.5, 0]"
"['145', '45', '-84', 9, 0]","['255', '255', '-84', 9, 0]","['255', '255', '-84', 9, 0]","['255', '255', '-84', 9, 0]"
"['145', '45', '-84', 9, 0]","['145', '45', '-84', 9, 0]","['255', '255', '-84', 9, 0]","['255', '255', '-84', 9, 0]"
"['145', '45', '-78', 9, 0]","['145', '45', '-84', 9, 0]","['145', '45', '-84', 9, 0]","['255', '255', '-84', 9, 0]"
"['145', '45', '-83', 9, 0]","['145', '45', '-78', 9, 0]","['145', '45', '-84', 9, 0]","['145', '45', '-84', 9, 0]"
"['145', '45', '-75', 6, 0]","['145', '45', '-83', 9, 0]","['145', '45', '-78', 9, 0]","['145', '45', '-84', 9, 0]"
"['145', '45', '-78', 6, 0]","['145', '45', '-75', 6, 0]","['145', '45', '-83', 9, 0]","['145', '45', '-78', 9, 0]"
"['145', '45', '-77', 2, 0]","['145', '45', '-78', 6, 0]","['145', '45', '-75', 6, 0]","['145', '45', '-83', 9, 0]"
"['145', '45', '-71', 9, 0]","['145', '45', '-77', 2, 0]","['145', '45', '-78', 6, 0]","['145', '45', '-75', 6, 0]"
"['145', '45', '-64', 6, 0]","['145', '45', '-71', 9, 0]","['145', '45', '-77', 2, 0]","['145', '45', '-78', 6, 0]"
"['145', '45', '-61', 6, 0]","['145', '45', '-64', 6, 0]","['145', '45', '-71', 9, 0]","['145', '45', '-77', 2, 0]"
"['145', '45', '-56', 6, 0]","['145', '45', '-61', 6, 0]","['145', '45', '-64', 6, 0]","['145', '45', '-71', 9, 0]"
"['145', '45', '-53', 6, 0]","['145', '45', '-56', 6, 0]","['145', '45', '-61', 6, 0]","['145', '45', '-64', 6, 0]"
"['145', '45', '-50', 6, 0]","['145', '45', '-53', 6, 0]","['145', '45', '-56', 6, 0]","['145', '45', '-61', 6, 0]"
"['145', '45', '-47', 6, 0]","['145', '45', '-50', 6, 0]","['145', '45', '-53', 6, 0]","['145', '45', '-56', 6, 0]"
"['145', '45', '-41', 6, 0]","['145', '45', '-47', 6, 0]","['145', '45', '-50', 6, 0]","['145', '45', '-53', 6, 0]"
"['145', '45', '-39', 6, 0]","['145', '45', '-41', 6, 0]","['145', '45', '-47', 6, 0]","['145', '45', '-50', 6, 0]"
"['145', '45', '-32', 6, 0]","['145', '45', '-39', 6, 0]","['145', '45', '-41', 6, 0]","['145', '45', '-47', 6, 0]"
"['145', '45', '-31', 6, 0]","['145', '45', '-32', 6, 0]","['145', '45', '-39', 6, 0]","['145', '45', '-41', 6, 0]"
"['145', '45', '-29', 6, 0]","['145', '45', '-31', 6, 0]","['145', '45', '-32', 6, 0]","['145', '45', '-39', 6, 0]"
"['145', '45', '-23', 6, 0]","['145', '45', '-29', 6, 0]","['145', '45', '-31', 6, 0]","['145', '45', '-32', 6, 0]"
"['145', '45', '-20', 6, 0]","['145', '45', '-23', 6, 0]","['145', '45', '-29', 6, 0]","['145', '45', '-31', 6, 0]"
"['145', '45', '-16', 6, 0]","['145', '45', '-20', 6, 0]","['145', '45', '-23', 6, 0]","['145', '45', '-29', 6, 0]"
"['145', '45', '-16', 6, 0]","['145', '45', '-16', 6, 0]","['145', '45', '-20', 6, 0]","['145', '45', '-23', 6, 0]"
"['145', '45', '-13', 6, 0]","['145', '45', '-16', 6, 0]","['145', '45', '-16', 6, 0]","['145', '45', '-20', 6, 0]"
"['145', '45', '-5', 6, 0]","['145', '45', '-13', 6, 0]","['145', '45', '-16', 6, 0]","['145', '45', '-16', 6, 0]"
"['145', '45', '-3', 6, 0]","['145', '45', '-5', 6, 0]","['145', '45', '-13', 6, 0]","['145', '45', '-16', 6, 0]"
"['141', '45', '0', 6, 0]","['145', '45', '-3', 6, 0]","['145', '45', '-5', 6, 0]","['145', '45', '-13', 6, 0]"
