"['-1', '-1', '-97', 1.5, 0]","['-1', '-1', '-97', 1.5, 0]","['-1', '-1', '-97', 1.5, 0]","['-1', '-1', '-97', 1.5, 0]"
"['-1', '-1', '-97', 2, 0]","['-1', '-1', '-97', 1.5, 0]","['-1', '-1', '-97', 1.5, 0]","['-1', '-1', '-97', 1.5, 0]"
"['-1', '-1', '-97', 2, 0]","['-1', '-1', '-97', 2, 0]","['-1', '-1', '-97', 1.5, 0]","['-1', '-1', '-97', 1.5, 0]"
"['109', '209', '-97', 2, 0]","['-1', '-1', '-97', 2, 0]","['-1', '-1', '-97', 2, 0]","['-1', '-1', '-97', 1.5, 0]"
"['109', '209', '-97', 6, 0]","['109', '209', '-97', 2, 0]","['-1', '-1', '-97', 2, 0]","['-1', '-1', '-97', 2, 0]"
"['109', '209', '-96', 4, 0]","['109', '209', '-97', 6, 0]","['109', '209', '-97', 2, 0]","['-1', '-1', '-97', 2, 0]"
"['109', '209', '-97', 6, 0]","['109', '209', '-96', 4, 0]","['109', '209', '-97', 6, 0]","['109', '209', '-97', 2, 0]"
"['109', '209', '-99', 4, 0]","['109', '209', '-97', 6, 0]","['109', '209', '-96', 4, 0]","['109', '209', '-97', 6, 0]"
"['109', '209', '-99', 4, 0]","['109', '209', '-99', 4, 0]","['109', '209', '-97', 6, 0]","['109', '209', '-96', 4, 0]"
"['109', '209', '-86', 4, 0]","['109', '209', '-99', 4, 0]","['109', '209', '-99', 4, 0]","['109', '209', '-97', 6, 0]"
"['109', '209', '-78', 4, 0]","['109', '209', '-86', 4, 0]","['109', '209', '-99', 4, 0]","['109', '209', '-99', 4, 0]"
"['109', '209', '-78', 9, 0]","['109', '209', '-78', 4, 0]","['109', '209', '-86', 4, 0]","['109', '209', '-99', 4, 0]"
"['109', '209', '-75', 4, 0]","['109', '209', '-78', 9, 0]","['109', '209', '-78', 4, 0]","['109', '209', '-86', 4, 0]"
"['109', '209', '-68', 4, 0]","['109', '209', '-75', 4, 0]","['109', '209', '-78', 9, 0]","['109', '209', '-78', 4, 0]"
"['109', '209', '-68', 4, 0]","['109', '209', '-68', 4, 0]","['109', '209', '-75', 4, 0]","['109', '209', '-78', 9, 0]"
"['109', '209', '-58', 4, 0]","['109', '209', '-68', 4, 0]","['109', '209', '-68', 4, 0]","['109', '209', '-75', 4, 0]"
"['109', '209', '-52', 4, 0]","['109', '209', '-58', 4, 0]","['109', '209', '-68', 4, 0]","['109', '209', '-68', 4, 0]"
"['109', '209', '-49', 4, 0]","['109', '209', '-52', 4, 0]","['109', '209', '-58', 4, 0]","['109', '209', '-68', 4, 0]"
