"['-1', '-1', '-84', 3, 0]","['-1', '-1', '-84', 3, 0]","['-1', '-1', '-84', 3, 0]","['-1', '-1', '-84', 3, 0]"
"['-1', '-1', '-84', 9, 0]","['-1', '-1', '-84', 3, 0]","['-1', '-1', '-84', 3, 0]","['-1', '-1', '-84', 3, 0]"
"['-1', '-1', '-84', 6, 1]","['-1', '-1', '-84', 9, 0]","['-1', '-1', '-84', 3, 0]","['-1', '-1', '-84', 3, 0]"
"['-1', '-1', '-84', 6, 2]","['-1', '-1', '-84', 6, 1]","['-1', '-1', '-84', 9, 0]","['-1', '-1', '-84', 3, 0]"
"['-1', '-1', '-85', 6, 2]","['-1', '-1', '-84', 6, 2]","['-1', '-1', '-84', 6, 1]","['-1', '-1', '-84', 9, 0]"
"['-1', '209', '-84', 3.5, 3]","['-1', '-1', '-85', 6, 2]","['-1', '-1', '-84', 6, 2]","['-1', '-1', '-84', 6, 1]"
"['-1', '209', '-84', 2, 4]","['-1', '209', '-84', 3.5, 3]","['-1', '-1', '-85', 6, 2]","['-1', '-1', '-84', 6, 2]"
"['-1', '209', '-77', 6, 4]","['-1', '209', '-84', 2, 4]","['-1', '209', '-84', 3.5, 3]","['-1', '-1', '-85', 6, 2]"
"['-1', '209', '-74', 6, 5]","['-1', '209', '-77', 6, 4]","['-1', '209', '-84', 2, 4]","['-1', '209', '-84', 3.5, 3]"
"['37', '209', '-68', 6, 5]","['-1', '209', '-74', 6, 5]","['-1', '209', '-77', 6, 4]","['-1', '209', '-84', 2, 4]"
"['-1', '209', '-58', 6, 6]","['37', '209', '-68', 6, 5]","['-1', '209', '-74', 6, 5]","['-1', '209', '-77', 6, 4]"
"['-1', '209', '-42', 4, 6]","['-1', '209', '-58', 6, 6]","['37', '209', '-68', 6, 5]","['-1', '209', '-74', 6, 5]"
"['-1', '209', '-42', 9, 7]","['-1', '209', '-42', 4, 6]","['-1', '209', '-58', 6, 6]","['37', '209', '-68', 6, 5]"
"['-1', '209', '-34', 9, 7]","['-1', '209', '-42', 9, 7]","['-1', '209', '-42', 4, 6]","['-1', '209', '-58', 6, 6]"
"['-1', '209', '-27', 9, 7]","['-1', '209', '-34', 9, 7]","['-1', '209', '-42', 9, 7]","['-1', '209', '-42', 4, 6]"
"['-1', '209', '-18', 9, 8]","['-1', '209', '-27', 9, 7]","['-1', '209', '-34', 9, 7]","['-1', '209', '-42', 9, 7]"
"['-1', '209', '0', 3.5, 8]","['-1', '209', '-18', 9, 8]","['-1', '209', '-27', 9, 7]","['-1', '209', '-34', 9, 7]"
"['-1', '209', '8', 3.5, 8]","['-1', '209', '0', 3.5, 8]","['-1', '209', '-18', 9, 8]","['-1', '209', '-27', 9, 7]"
"['138', '209', '16', 2, 8]","['-1', '209', '8', 3.5, 8]","['-1', '209', '0', 3.5, 8]","['-1', '209', '-18', 9, 8]"
"['138', '209', '26', 3.5, 8]","['138', '209', '16', 2, 8]","['-1', '209', '8', 3.5, 8]","['-1', '209', '0', 3.5, 8]"
"['209', '162', '43', 9, 7]","['138', '209', '26', 3.5, 8]","['138', '209', '16', 2, 8]","['-1', '209', '8', 3.5, 8]"
"['209', '162', '48', 6, 7]","['209', '162', '43', 9, 7]","['138', '209', '26', 3.5, 8]","['138', '209', '16', 2, 8]"
"['209', '-1', '55', 6, 7]","['209', '162', '48', 6, 7]","['209', '162', '43', 9, 7]","['138', '209', '26', 3.5, 8]"
"['209', '-1', '62', 6, 6]","['209', '-1', '55', 6, 7]","['209', '162', '48', 6, 7]","['209', '162', '43', 9, 7]"
"['209', '-1', '61', 4, 6]","['209', '-1', '62', 6, 6]","['209', '-1', '55', 6, 7]","['209', '162', '48', 6, 7]"
"['209', '-1', '56', 4, 5]","['209', '-1', '61', 4, 6]","['209', '-1', '62', 6, 6]","['209', '-1', '55', 6, 7]"
"['209', '-1', '50', 4, 5]","['209', '-1', '56', 4, 5]","['209', '-1', '61', 4, 6]","['209', '-1', '62', 6, 6]"
"['209', '-1', '38', 4, 4]","['209', '-1', '50', 4, 5]","['209', '-1', '56', 4, 5]","['209', '-1', '61', 4, 6]"
"['209', '-1', '24', 2, 4]","['209', '-1', '38', 4, 4]","['209', '-1', '50', 4, 5]","['209', '-1', '56', 4, 5]"
"['209', '14', '16', 4, 4]","['209', '-1', '24', 2, 4]","['209', '-1', '38', 4, 4]","['209', '-1', '50', 4, 5]"
"['209', '138', '1', 4, 4]","['209', '14', '16', 4, 4]","['209', '-1', '24', 2, 4]","['209', '-1', '38', 4, 4]"
"['209', '150', '-10', 4, 4]","['209', '138', '1', 4, 4]","['209', '14', '16', 4, 4]","['209', '-1', '24', 2, 4]"
"['209', '150', '-17', 4, 4]","['209', '150', '-10', 4, 4]","['209', '138', '1', 4, 4]","['209', '14', '16', 4, 4]"
"['209', '209', '-23', 4, 4]","['209', '150', '-17', 4, 4]","['209', '150', '-10', 4, 4]","['209', '138', '1', 4, 4]"
"['165', '209', '-27', 4.5, 4]","['209', '209', '-23', 4, 4]","['209', '150', '-17', 4, 4]","['209', '150', '-10', 4, 4]"
"['137', '209', '-28', 9, 4]","['165', '209', '-27', 4.5, 4]","['209', '209', '-23', 4, 4]","['209', '150', '-17', 4, 4]"
"['101', '209', '-28', 9, 5]","['137', '209', '-28', 9, 4]","['165', '209', '-27', 4.5, 4]","['209', '209', '-23', 4, 4]"
"['-1', '209', '-26', 9, 5]","['101', '209', '-28', 9, 5]","['137', '209', '-28', 9, 4]","['165', '209', '-27', 4.5, 4]"
"['-1', '209', '-16', 9, 5]","['-1', '209', '-26', 9, 5]","['101', '209', '-28', 9, 5]","['137', '209', '-28', 9, 4]"
"['-1', '209', '-3', 9, 5]","['-1', '209', '-16', 9, 5]","['-1', '209', '-26', 9, 5]","['101', '209', '-28', 9, 5]"
"['60', '209', '9', 2, 5]","['-1', '209', '-3', 9, 5]","['-1', '209', '-16', 9, 5]","['-1', '209', '-26', 9, 5]"
