"[-1, -1, -86, 4, 0]","[-1, -1, -86, 4, 0]","[-1, -1, -86, 4, 0]","[-1, -1, -86, 4, 0]"
"[-1, -1, -86, 2, 0]","[-1, -1, -86, 4, 0]","[-1, -1, -86, 4, 0]","[-1, -1, -86, 4, 0]"
"[-1, -1, -86, 2, 1]","[-1, -1, -86, 2, 0]","[-1, -1, -86, 4, 0]","[-1, -1, -86, 4, 0]"
"[-1, -1, -86, 2, 1]","[-1, -1, -86, 2, 1]","[-1, -1, -86, 2, 0]","[-1, -1, -86, 4, 0]"
"[36, 209, -86, 2, 2]","[-1, -1, -86, 2, 1]","[-1, -1, -86, 2, 1]","[-1, -1, -86, 2, 0]"
"[36, 209, -85, 2, 2]","[36, 209, -86, 2, 2]","[-1, -1, -86, 2, 1]","[-1, -1, -86, 2, 1]"
"[36, 209, -85, 2, 3]","[36, 209, -85, 2, 2]","[36, 209, -86, 2, 2]","[-1, -1, -86, 2, 1]"
"[35, 209, -77, 2, 4]","[36, 209, -85, 2, 3]","[36, 209, -85, 2, 2]","[36, 209, -86, 2, 2]"
"[36, 209, -76, 2, 4]","[35, 209, -77, 2, 4]","[36, 209, -85, 2, 3]","[36, 209, -85, 2, 2]"
"[36, 209, -71, 2, 5]","[36, 209, -76, 2, 4]","[35, 209, -77, 2, 4]","[36, 209, -85, 2, 3]"
"[36, 209, -71, 2, 5]","[36, 209, -71, 2, 5]","[36, 209, -76, 2, 4]","[35, 209, -77, 2, 4]"
"[35, 209, -63, 2, 6]","[36, 209, -71, 2, 5]","[36, 209, -71, 2, 5]","[36, 209, -76, 2, 4]"
"[62, 209, -49, 2, 6]","[35, 209, -63, 2, 6]","[36, 209, -71, 2, 5]","[36, 209, -71, 2, 5]"
"[62, 209, -49, 4, 6]","[62, 209, -49, 2, 6]","[35, 209, -63, 2, 6]","[36, 209, -71, 2, 5]"
"[62, 209, -43, 4, 7]","[62, 209, -49, 4, 6]","[62, 209, -49, 2, 6]","[35, 209, -63, 2, 6]"
"[77, 209, -33, 4, 7]","[62, 209, -43, 4, 7]","[62, 209, -49, 4, 6]","[62, 209, -49, 2, 6]"
"[-1, 209, -29, 3.5, 7]","[77, 209, -33, 4, 7]","[62, 209, -43, 4, 7]","[62, 209, -49, 4, 6]"
"[30, 209, -21, 6, 8]","[-1, 209, -29, 3.5, 7]","[77, 209, -33, 4, 7]","[62, 209, -43, 4, 7]"
"[86, 209, -16, 9, 8]","[30, 209, -21, 6, 8]","[-1, 209, -29, 3.5, 7]","[77, 209, -33, 4, 7]"
"[86, 209, -6, 9, 8]","[86, 209, -16, 9, 8]","[30, 209, -21, 6, 8]","[-1, 209, -29, 3.5, 7]"
"[27, 209, 2, 9, 8]","[86, 209, -6, 9, 8]","[86, 209, -16, 9, 8]","[30, 209, -21, 6, 8]"
"[57, 209, 9, 9, 8]","[27, 209, 2, 9, 8]","[86, 209, -6, 9, 8]","[86, 209, -16, 9, 8]"
"[57, 209, 16, 9, 8]","[57, 209, 9, 9, 8]","[27, 209, 2, 9, 8]","[86, 209, -6, 9, 8]"
"[57, 209, 16, 4, 8]","[57, 209, 16, 9, 8]","[57, 209, 9, 9, 8]","[27, 209, 2, 9, 8]"
"[209, 137, 30, 9, 8]","[57, 209, 16, 4, 8]","[57, 209, 16, 9, 8]","[57, 209, 9, 9, 8]"
"[209, 137, 30, 2, 7]","[209, 137, 30, 9, 8]","[57, 209, 16, 4, 8]","[57, 209, 16, 9, 8]"
"[209, 74, 38, 6, 7]","[209, 137, 30, 2, 7]","[209, 137, 30, 9, 8]","[57, 209, 16, 4, 8]"
"[209, 157, 42, 4.5, 7]","[209, 74, 38, 6, 7]","[209, 137, 30, 2, 7]","[209, 137, 30, 9, 8]"
"[209, 157, 42, 4.5, 6]","[209, 157, 42, 4.5, 7]","[209, 74, 38, 6, 7]","[209, 137, 30, 2, 7]"
"[209, 157, 44, 4.5, 6]","[209, 157, 42, 4.5, 6]","[209, 157, 42, 4.5, 7]","[209, 74, 38, 6, 7]"
"[209, 46, 43, 4.5, 6]","[209, 157, 44, 4.5, 6]","[209, 157, 42, 4.5, 6]","[209, 157, 42, 4.5, 7]"
"[209, 27, 41, 4, 5]","[209, 46, 43, 4.5, 6]","[209, 157, 44, 4.5, 6]","[209, 157, 42, 4.5, 6]"
"[209, 27, 41, 4.5, 5]","[209, 27, 41, 4, 5]","[209, 46, 43, 4.5, 6]","[209, 157, 44, 4.5, 6]"
"[209, 27, 34, 4, 5]","[209, 27, 41, 4.5, 5]","[209, 27, 41, 4, 5]","[209, 46, 43, 4.5, 6]"
"[209, 43, 26, 6, 4]","[209, 27, 34, 4, 5]","[209, 27, 41, 4.5, 5]","[209, 27, 41, 4, 5]"
"[209, 31, 20, 6, 4]","[209, 43, 26, 6, 4]","[209, 27, 34, 4, 5]","[209, 27, 41, 4.5, 5]"
"[209, 31, 11, 9, 4]","[209, 31, 20, 6, 4]","[209, 43, 26, 6, 4]","[209, 27, 34, 4, 5]"
"[209, 51, 4, 9, 4]","[209, 31, 11, 9, 4]","[209, 31, 20, 6, 4]","[209, 43, 26, 6, 4]"
"[209, 58, -7, 9, 4]","[209, 51, 4, 9, 4]","[209, 31, 11, 9, 4]","[209, 31, 20, 6, 4]"
"[209, 58, -7, 9, 4]","[209, 58, -7, 9, 4]","[209, 51, 4, 9, 4]","[209, 31, 11, 9, 4]"
"[209, 115, -10, 9, 4]","[209, 58, -7, 9, 4]","[209, 58, -7, 9, 4]","[209, 51, 4, 9, 4]"
"[209, 178, -16, 4, 4]","[209, 115, -10, 9, 4]","[209, 58, -7, 9, 4]","[209, 58, -7, 9, 4]"
"[209, 178, -20, 4, 4]","[209, 178, -16, 4, 4]","[209, 115, -10, 9, 4]","[209, 58, -7, 9, 4]"
"[142, 209, -21, 9, 4]","[209, 178, -20, 4, 4]","[209, 178, -16, 4, 4]","[209, 115, -10, 9, 4]"
"[142, 209, -21, 9, 5]","[142, 209, -21, 9, 4]","[209, 178, -20, 4, 4]","[209, 178, -16, 4, 4]"
"[165, 209, -23, 9, 5]","[142, 209, -21, 9, 5]","[142, 209, -21, 9, 4]","[209, 178, -20, 4, 4]"
"[25, 209, -23, 9, 5]","[165, 209, -23, 9, 5]","[142, 209, -21, 9, 5]","[142, 209, -21, 9, 4]"
"[25, 209, -23, 9, 5]","[25, 209, -23, 9, 5]","[165, 209, -23, 9, 5]","[142, 209, -21, 9, 5]"
"[-1, 209, -17, 9, 5]","[25, 209, -23, 9, 5]","[25, 209, -23, 9, 5]","[165, 209, -23, 9, 5]"
"[-1, 209, -10, 4, 5]","[-1, 209, -17, 9, 5]","[25, 209, -23, 9, 5]","[25, 209, -23, 9, 5]"
"[-1, 209, -3, 4, 6]","[-1, 209, -10, 4, 5]","[-1, 209, -17, 9, 5]","[25, 209, -23, 9, 5]"
"[136, 209, 4, 4, 6]","[-1, 209, -3, 4, 6]","[-1, 209, -10, 4, 5]","[-1, 209, -17, 9, 5]"
"[136, 209, 12, 9, 6]","[136, 209, 4, 4, 6]","[-1, 209, -3, 4, 6]","[-1, 209, -10, 4, 5]"
"[136, 209, 12, 9, 5]","[136, 209, 12, 9, 6]","[136, 209, 4, 4, 6]","[-1, 209, -3, 4, 6]"
"[209, 180, 24, 9, 5]","[136, 209, 12, 9, 5]","[136, 209, 12, 9, 6]","[136, 209, 4, 4, 6]"
"[209, 180, 25, 6, 5]","[209, 180, 24, 9, 5]","[136, 209, 12, 9, 5]","[136, 209, 12, 9, 6]"
"[209, 107, 27, 6, 5]","[209, 180, 25, 6, 5]","[209, 180, 24, 9, 5]","[136, 209, 12, 9, 5]"
"[209, 71, 27, 6, 5]","[209, 107, 27, 6, 5]","[209, 180, 25, 6, 5]","[209, 180, 24, 9, 5]"
"[209, 71, 25, 6, 5]","[209, 71, 27, 6, 5]","[209, 107, 27, 6, 5]","[209, 180, 25, 6, 5]"
"[209, 53, 23, 6, 4]","[209, 71, 25, 6, 5]","[209, 71, 27, 6, 5]","[209, 107, 27, 6, 5]"
"[209, 53, 21, 9, 4]","[209, 53, 23, 6, 4]","[209, 71, 25, 6, 5]","[209, 71, 27, 6, 5]"
"[209, 53, 19, 9, 4]","[209, 53, 21, 9, 4]","[209, 53, 23, 6, 4]","[209, 71, 25, 6, 5]"
"[209, 64, 14, 9, 4]","[209, 53, 19, 9, 4]","[209, 53, 21, 9, 4]","[209, 53, 23, 6, 4]"
"[209, 64, 8, 9, 4]","[209, 64, 14, 9, 4]","[209, 53, 19, 9, 4]","[209, 53, 21, 9, 4]"
"[209, 25, 3, 9, 4]","[209, 64, 8, 9, 4]","[209, 64, 14, 9, 4]","[209, 53, 19, 9, 4]"
"[209, 88, -2, 9, 4]","[209, 25, 3, 9, 4]","[209, 64, 8, 9, 4]","[209, 64, 14, 9, 4]"
"[209, 88, -6, 9, 4]","[209, 88, -2, 9, 4]","[209, 25, 3, 9, 4]","[209, 64, 8, 9, 4]"
"[209, 142, -11, 9, 4]","[209, 88, -6, 9, 4]","[209, 88, -2, 9, 4]","[209, 25, 3, 9, 4]"
"[209, 187, -16, 9, 4]","[209, 142, -11, 9, 4]","[209, 88, -6, 9, 4]","[209, 88, -2, 9, 4]"
"[209, 187, -16, 9, 4]","[209, 187, -16, 9, 4]","[209, 142, -11, 9, 4]","[209, 88, -6, 9, 4]"
"[209, 187, -18, 4, 4]","[209, 187, -16, 9, 4]","[209, 187, -16, 9, 4]","[209, 142, -11, 9, 4]"
"[106, 209, -21, 4, 4]","[209, 187, -18, 4, 4]","[209, 187, -16, 9, 4]","[209, 187, -16, 9, 4]"
"[106, 209, -21, 4, 4]","[106, 209, -21, 4, 4]","[209, 187, -18, 4, 4]","[209, 187, -16, 9, 4]"
"[141, 209, -21, 4, 4]","[106, 209, -21, 4, 4]","[106, 209, -21, 4, 4]","[209, 187, -18, 4, 4]"
"[133, 209, -20, 4, 5]","[141, 209, -21, 4, 4]","[106, 209, -21, 4, 4]","[106, 209, -21, 4, 4]"
"[133, 209, -20, 4, 5]","[133, 209, -20, 4, 5]","[141, 209, -21, 4, 4]","[106, 209, -21, 4, 4]"
"[121, 209, -14, 4, 5]","[133, 209, -20, 4, 5]","[133, 209, -20, 4, 5]","[141, 209, -21, 4, 4]"
"[120, 209, -10, 9, 5]","[121, 209, -14, 4, 5]","[133, 209, -20, 4, 5]","[133, 209, -20, 4, 5]"
"[120, 209, -10, 9, 5]","[120, 209, -10, 9, 5]","[121, 209, -14, 4, 5]","[133, 209, -20, 4, 5]"
"[78, 209, -7, 9, 5]","[120, 209, -10, 9, 5]","[120, 209, -10, 9, 5]","[121, 209, -14, 4, 5]"
"[78, 209, -4, 9, 5]","[78, 209, -7, 9, 5]","[120, 209, -10, 9, 5]","[120, 209, -10, 9, 5]"
"[114, 209, 0, 9, 5]","[78, 209, -4, 9, 5]","[78, 209, -7, 9, 5]","[120, 209, -10, 9, 5]"
"[114, 209, 3, 9, 5]","[114, 209, 0, 9, 5]","[78, 209, -4, 9, 5]","[78, 209, -7, 9, 5]"
"[141, 209, 5, 9, 5]","[114, 209, 3, 9, 5]","[114, 209, 0, 9, 5]","[78, 209, -4, 9, 5]"
"[204, 209, 8, 4, 5]","[141, 209, 5, 9, 5]","[114, 209, 3, 9, 5]","[114, 209, 0, 9, 5]"
"[209, 188, 13, 4, 5]","[204, 209, 8, 4, 5]","[141, 209, 5, 9, 5]","[114, 209, 3, 9, 5]"
"[209, 195, 13, 4, 5]","[209, 188, 13, 4, 5]","[204, 209, 8, 4, 5]","[141, 209, 5, 9, 5]"
"[209, 183, 15, 4, 5]","[209, 195, 13, 4, 5]","[209, 188, 13, 4, 5]","[204, 209, 8, 4, 5]"
"[209, 183, 14, 9, 5]","[209, 183, 15, 4, 5]","[209, 195, 13, 4, 5]","[209, 188, 13, 4, 5]"
"[209, 163, 14, 9, 5]","[209, 183, 14, 9, 5]","[209, 183, 15, 4, 5]","[209, 195, 13, 4, 5]"
"[209, 163, 14, 9, 5]","[209, 163, 14, 9, 5]","[209, 183, 14, 9, 5]","[209, 183, 15, 4, 5]"
"[209, 80, 11, 6, 5]","[209, 163, 14, 9, 5]","[209, 163, 14, 9, 5]","[209, 183, 14, 9, 5]"
"[209, 89, 11, 9, 4]","[209, 80, 11, 6, 5]","[209, 163, 14, 9, 5]","[209, 163, 14, 9, 5]"
"[209, 89, 8, 4, 4]","[209, 89, 11, 9, 4]","[209, 80, 11, 6, 5]","[209, 163, 14, 9, 5]"
"[209, 131, 5, 4, 4]","[209, 89, 8, 4, 4]","[209, 89, 11, 9, 4]","[209, 80, 11, 6, 5]"
"[209, 115, 3, 4, 4]","[209, 131, 5, 4, 4]","[209, 89, 8, 4, 4]","[209, 89, 11, 9, 4]"
"[209, 115, -1, 4, 4]","[209, 115, 3, 4, 4]","[209, 131, 5, 4, 4]","[209, 89, 8, 4, 4]"
"[209, 115, -1, 4, 4]","[209, 115, -1, 4, 4]","[209, 115, 3, 4, 4]","[209, 131, 5, 4, 4]"
"[209, 194, -2, 9, 4]","[209, 115, -1, 4, 4]","[209, 115, -1, 4, 4]","[209, 115, 3, 4, 4]"
"[209, 194, -2, 9, 4]","[209, 194, -2, 9, 4]","[209, 115, -1, 4, 4]","[209, 115, -1, 4, 4]"
"[201, 209, -1, 4, 4]","[209, 194, -2, 9, 4]","[209, 194, -2, 9, 4]","[209, 115, -1, 4, 4]"
"[201, 209, -1, 2, 4]","[201, 209, -1, 4, 4]","[209, 194, -2, 9, 4]","[209, 194, -2, 9, 4]"
"[196, 209, -2, 9, 4]","[201, 209, -1, 2, 4]","[201, 209, -1, 4, 4]","[209, 194, -2, 9, 4]"
"[197, 209, 1, 9, 4]","[196, 209, -2, 9, 4]","[201, 209, -1, 2, 4]","[201, 209, -1, 4, 4]"
