"['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]"
"['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]"
"['-1', '-1', '-94', 6, 1]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]"
"['-1', '-1', '-94', 6, 2]","['-1', '-1', '-94', 6, 1]","['-1', '-1', '-94', 6, 0]","['-1', '-1', '-94', 6, 0]"
"['-1', '-1', '-94', 6, 3]","['-1', '-1', '-94', 6, 2]","['-1', '-1', '-94', 6, 1]","['-1', '-1', '-94', 6, 0]"
"['-1', '209', '-92', 6, 3]","['-1', '-1', '-94', 6, 3]","['-1', '-1', '-94', 6, 2]","['-1', '-1', '-94', 6, 1]"
"['-1', '209', '-84', 6, 4]","['-1', '209', '-92', 6, 3]","['-1', '-1', '-94', 6, 3]","['-1', '-1', '-94', 6, 2]"
"['-1', '209', '-80', 6, 5]","['-1', '209', '-84', 6, 4]","['-1', '209', '-92', 6, 3]","['-1', '-1', '-94', 6, 3]"
"['-1', '209', '-80', 6, 5]","['-1', '209', '-80', 6, 5]","['-1', '209', '-84', 6, 4]","['-1', '209', '-92', 6, 3]"
"['-1', '209', '-77', 6, 6]","['-1', '209', '-80', 6, 5]","['-1', '209', '-80', 6, 5]","['-1', '209', '-84', 6, 4]"
"['-1', '209', '-65', 6, 7]","['-1', '209', '-77', 6, 6]","['-1', '209', '-80', 6, 5]","['-1', '209', '-80', 6, 5]"
"['-1', '209', '-52', 6, 7]","['-1', '209', '-65', 6, 7]","['-1', '209', '-77', 6, 6]","['-1', '209', '-80', 6, 5]"
"['-1', '209', '-46', 6, 8]","['-1', '209', '-52', 6, 7]","['-1', '209', '-65', 6, 7]","['-1', '209', '-77', 6, 6]"
"['-1', '209', '-46', 6, 8]","['-1', '209', '-46', 6, 8]","['-1', '209', '-52', 6, 7]","['-1', '209', '-65', 6, 7]"
"['-1', '209', '-30', 6, 8]","['-1', '209', '-46', 6, 8]","['-1', '209', '-46', 6, 8]","['-1', '209', '-52', 6, 7]"
"['-1', '209', '-23', 6, 8]","['-1', '209', '-30', 6, 8]","['-1', '209', '-46', 6, 8]","['-1', '209', '-46', 6, 8]"
"['-1', '209', '-13', 6, 9]","['-1', '209', '-23', 6, 8]","['-1', '209', '-30', 6, 8]","['-1', '209', '-46', 6, 8]"
"['21', '209', '-2', 6, 9]","['-1', '209', '-13', 6, 9]","['-1', '209', '-23', 6, 8]","['-1', '209', '-30', 6, 8]"
"['62', '209', '16', 6, 9]","['21', '209', '-2', 6, 9]","['-1', '209', '-13', 6, 9]","['-1', '209', '-23', 6, 8]"
"['62', '209', '16', 6, 9]","['62', '209', '16', 6, 9]","['21', '209', '-2', 6, 9]","['-1', '209', '-13', 6, 9]"
"['122', '209', '29', 6, 9]","['62', '209', '16', 6, 9]","['62', '209', '16', 6, 9]","['21', '209', '-2', 6, 9]"
"['122', '209', '41', 6, 8]","['122', '209', '29', 6, 9]","['62', '209', '16', 6, 9]","['62', '209', '16', 6, 9]"
"['209', '123', '50', 6, 8]","['122', '209', '41', 6, 8]","['122', '209', '29', 6, 9]","['62', '209', '16', 6, 9]"
"['209', '123', '55', 6, 8]","['209', '123', '50', 6, 8]","['122', '209', '41', 6, 8]","['122', '209', '29', 6, 9]"
"['209', '123', '61', 6, 7]","['209', '123', '55', 6, 8]","['209', '123', '50', 6, 8]","['122', '209', '41', 6, 8]"
"['209', '-1', '66', 6, 7]","['209', '123', '61', 6, 7]","['209', '123', '55', 6, 8]","['209', '123', '50', 6, 8]"
"['209', '-1', '67', 6, 6]","['209', '-1', '66', 6, 7]","['209', '123', '61', 6, 7]","['209', '123', '55', 6, 8]"
"['209', '-1', '71', 6, 6]","['209', '-1', '67', 6, 6]","['209', '-1', '66', 6, 7]","['209', '123', '61', 6, 7]"
"['209', '-1', '71', 6, 5]","['209', '-1', '71', 6, 6]","['209', '-1', '67', 6, 6]","['209', '-1', '66', 6, 7]"
"['209', '-1', '66', 6, 4]","['209', '-1', '71', 6, 5]","['209', '-1', '71', 6, 6]","['209', '-1', '67', 6, 6]"
"['209', '-1', '64', 6, 4]","['209', '-1', '66', 6, 4]","['209', '-1', '71', 6, 5]","['209', '-1', '71', 6, 6]"
"['209', '-1', '59', 6, 3]","['209', '-1', '64', 6, 4]","['209', '-1', '66', 6, 4]","['209', '-1', '71', 6, 5]"
"['209', '-1', '50', 6, 3]","['209', '-1', '59', 6, 3]","['209', '-1', '64', 6, 4]","['209', '-1', '66', 6, 4]"
"['209', '-1', '44', 6, 3]","['209', '-1', '50', 6, 3]","['209', '-1', '59', 6, 3]","['209', '-1', '64', 6, 4]"
"['209', '-1', '30', 6, 2]","['209', '-1', '44', 6, 3]","['209', '-1', '50', 6, 3]","['209', '-1', '59', 6, 3]"
"['209', '-1', '24', 6, 2]","['209', '-1', '30', 6, 2]","['209', '-1', '44', 6, 3]","['209', '-1', '50', 6, 3]"
"['209', '32', '8', 6, 2]","['209', '-1', '24', 6, 2]","['209', '-1', '30', 6, 2]","['209', '-1', '44', 6, 3]"
"['209', '32', '0', 6, 2]","['209', '32', '8', 6, 2]","['209', '-1', '24', 6, 2]","['209', '-1', '30', 6, 2]"
"['209', '32', '-6', 6, 2]","['209', '32', '0', 6, 2]","['209', '32', '8', 6, 2]","['209', '-1', '24', 6, 2]"
"['209', '164', '-14', 6, 2]","['209', '32', '-6', 6, 2]","['209', '32', '0', 6, 2]","['209', '32', '8', 6, 2]"
"['207', '209', '-27', 6, 2]","['209', '164', '-14', 6, 2]","['209', '32', '-6', 6, 2]","['209', '32', '0', 6, 2]"
"['171', '209', '-35', 6, 2]","['207', '209', '-27', 6, 2]","['209', '164', '-14', 6, 2]","['209', '32', '-6', 6, 2]"
"['171', '209', '-38', 6, 2]","['171', '209', '-35', 6, 2]","['207', '209', '-27', 6, 2]","['209', '164', '-14', 6, 2]"
