1252,1444,1205,1326,15,2737,2517,596
1036,2761,699,2745,2529,1134,2086,2476
924,628,2345,1070,2445,2739,2119,2904
1348,13,26,918,2488,439,818,1832
2275,2382,2165,495,2722,1267,754,1278
2494,2391,2398,2358,2617,2831,1565,1555
2132,2647,58,985,1615,1355,1219,262
2912,1804,825,1228,1427,1651,2367,486
191,2245,2610,2134,236,408,2041,1823
1351,1767,1978,375,1791,1822,2860,94
2760,1093,2227,1141,155,1331,455,498
2504,817,1378,808,2215,21,1645,2653
191,298,1220,1065,1632,1561,2583,2852
620,1247,1347,1097,2870,2569,849,280
2085,709,1436,2711,2251,1780,1051,1363
91,1451,1827,841,2399,2549,1796,2877
897,75,1257,2715,2150,1616,1374,2609
851,1979,2178,17,39,1158,1677,1018
2029,780,1947,745,2748,1293,866,2433
2664,723,1917,868,849,2198,1036,584
68,644,2094,610,2617,2713,204,1128
983,37,2204,234,718,1880,1941,1209
168,2681,462,743,740,1668,2763,154
1314,1739,343,1792,2612,1612,504,85
10,1979,2882,421,2296,2932,558,2752
2679,196,1726,2490,2393,2124,540,2512
1071,101,2188,710,1704,2079,1801,1497
2685,1084,1933,2663,206,314,1478,2069
2527,1823,517,2828,1206,535,1130,2363
644,1956,384,1085,188,1194,1373,2813
1454,70,1572,2436,39,580,1771,864
1239,588,2457,1863,1615,2922,2756,2570
1679,1663,2566,491,1853,1299,2911,733
77,2319,2507,338,1185,1689,2768,1659
1289,2063,2213,1753,2318,1210,668,1883
1461,2978,2156,1210,2782,241,1094,642
1976,1361,363,1942,17,1479,2589,826
2155,756,1502,1219,2444,638,1798,2334
1547,2002,2510,2891,1531,2479,2265,964
979,2464,1850,1587,1829,1812,2410,2157
1947,920,1180,1701,35,2064,1868,2539
2273,2150,308,1304,340,1221,1199,1142
2348,401,1251,665,146,851,2496,2085
1623,754,1365,2304,2481,1115,1962,1504
2867,2873,1586,309,2142,715,1146,1918
2966,991,1845,1968,1977,1267,2504,2094
2661,296,990,2494,2377,1013,1518,862
1324,368,1312,1183,1945,2253,381,337
2388,213,2762,961,1424,447,96,66
127,1202,2317,1875,376,613,314,157
1917,840,1289,1070,2698,137,1711,340
853,1926,2513,591,130,2965,2629,2787
1145,690,1208,1051,550,1076,1987,1138
99,2588,1869,323,1971,1248,2831,2910
139,2664,2494,1782,367,2868,1361,2405
2639,2964,2818,615,331,397,73,2013
1222,2742,39,2839,1287,572,2884,1785
1991,2206,2354,289,2466,2765,2456,1543
2672,2101,2698,1060,2600,363,1130,2322
2828,2406,114,202,1071,2536,1674,42
84,2077,1120,2784,1341,9,1751,5
2724,2477,2911,145,1437,742,1,1115
2928,1402,1970,2543,2628,1767,1952,2864
278,1008,643,314,1073,1775,1318,1807
2601,1095,3008,1154,1788,2095,804,2364
2992,2711,538,2912,999,192,2188,568
2130,1745,437,1150,2054,2469,2138,1969
2620,1549,2444,779,2456,2551,773,1475
688,2577,3002,2122,2326,1582,2825,740
343,1742,1486,2893,1389,1510,570,1542
2608,1374,2112,38,717,1282,2294,249
300,1823,374,807,2035,1369,1318,2655
679,1742,1281,2971,393,275,2924,221
474,1517,94,2206,2152,330,779,2340
110,2434,2251,2563,1456,2593,385,268
1403,1868,1912,2693,888,14,76,3005
342,698,147,1769,1518,1820,2491,277
527,2108,2314,332,2389,1002,2642,2208
2506,2880,1331,1713,470,2140,1229,2804
808,2807,321,2450,1015,1636,1210,1149
916,2828,1569,108,1669,1081,715,1984
1524,1164,2418,2186,79,603,1555,2849
2137,272,2009,559,1317,1997,833,2644
2532,805,1520,621,683,1074,1486,1885
580,329,2801,2458,1568,10,92,1399
2646,489,1092,753,852,900,2931,1401
2022,2963,2716,664,728,1130,3033,486
488,97,1791,785,60,318,2691,21
757,1894,694,2029,431,138,2680,356
2204,2278,2641,2835,2950,763,7,1445
13,1760,1671,1612,1756,2270,679,1593
1544,2931,1675,2186,79,726,587,1358
1826,2393,1603,226,1660,2307,1405,683
1151,1153,2553,105,1241,445,566,2270
1613,211,1882,2962,2616,2169,336,803
2548,2631,2035,1081,569,2500,2561,2364
2239,2409,1904,1836,2492,749,805,1603
2313,893,2717,2707,1660,485,2667,2732
558,1324,2320,58,260,2436,858,1206
867,2200,2181,760,1263,1997,1744,1544
1162,2534,2125,1597,1238,2533,1941,1347
2066,2216,1217,3037,677,1333,278,915
2380,2525,499,2381,2635,726,1497,1537
1293,1820,1619,1088,128,1025,1523,1818
661,2410,3050,1063,2546,2858,376,1127
670,1176,2377,61,1113,531,47,288
906,1061,821,2540,1230,2056,1194,186
2285,214,3040,3002,1825,92,1191,74
328,719,120,1019,2149,2670,810,609
1560,1285,2413,2131,1235,1115,1546,2982
313,2497,107,2558,2585,2885,1195,2977
1763,62,1438,1973,2829,3012,663,1352
2398,83,2054,1269,274,1693,2928,1210
1568,931,1521,2130,359,510,1769,673
2835,2076,975,543,2706,1028,2452,770
2316,1457,1000,2283,1839,1,656,2743
466,39,2887,2835,1160,993,488,674
2469,2554,2567,2900,2157,2143,1439,1301
2097,2278,1795,963,2524,1250,2036,1699
1180,1863,1242,686,933,77,2979,2084
259,2667,1155,2932,1794,2574,1432,767
2409,2652,1050,1422,1497,1713,2088,1244
1920,2742,3003,1185,167,2139,981,341
2117,1801,2284,839,1192,1039,665,1484
2670,1867,2636,1598,2441,2039,2602,1596
1780,1407,1966,2326,309,1701,2832,3060
2782,491,463,1301,1174,2239,192,667
960,1507,2528,2725,945,1633,882,3058
1780,1559,1738,2518,527,1067,27,1417
2150,603,1228,1865,751,362,1817,2428
2109,1166,1791,875,2721,977,2048,861
2109,2331,73,479,1302,604,1904,811
2627,1867,1848,2162,2526,1226,319,2300
1059,2200,2053,2559,891,2977,63,1914
488,82,1377,878,2693,1849,755,1570
1239,2830,2364,2174,1887,2366,2924,1923
1074,2437,1920,1786,2843,1838,1054,1208
473,193,80,992,1226,2873,2913,1197
3078,2666,2818,1554,2809,1667,2570,2705
112,1496,3052,1350,2977,2535,1489,954
1122,105,2244,98,916,432,1411,2084
243,1918,1381,1859,504,2536,2984,1653
2721,2460,2292,423,1190,2675,2593,2911
1397,1842,147,1041,2153,1696,1621,870
2963,360,2872,2981,2012,2466,2741,534
2778,1434,2666,610,2969,943,244,87
1518,20,1620,2029,2056,2559,2411,1235
2265,712,1597,435,908,1018,1393,2306
1354,2573,1924,542,1646,357,162,2524
2766,190,197,2291,1777,994,2899,1261
2131,1349,2936,406,2463,1598,2084,697
114,1044,1867,3091,950,614,898,3086
2657,1430,740,84,2903,1327,1177,2314
