"[-1, -1, -85, 4, 0]","[-1, -1, -85, 4, 0]","[-1, -1, -85, 4, 0]","[-1, -1, -85, 4, 0]"
"[-1, -1, -85, 2, 0]","[-1, -1, -85, 4, 0]","[-1, -1, -85, 4, 0]","[-1, -1, -85, 4, 0]"
"[-1, -1, -85, 2, 1]","[-1, -1, -85, 2, 0]","[-1, -1, -85, 4, 0]","[-1, -1, -85, 4, 0]"
"[-1, -1, -85, 2, 2]","[-1, -1, -85, 2, 1]","[-1, -1, -85, 2, 0]","[-1, -1, -85, 4, 0]"
"[-1, -1, -86, 2, 2]","[-1, -1, -85, 2, 2]","[-1, -1, -85, 2, 1]","[-1, -1, -85, 2, 0]"
"[-1, -1, -86, 2, 3]","[-1, -1, -86, 2, 2]","[-1, -1, -85, 2, 2]","[-1, -1, -85, 2, 1]"
"[-1, -1, -87, 2, 4]","[-1, -1, -86, 2, 3]","[-1, -1, -86, 2, 2]","[-1, -1, -85, 2, 2]"
"[-1, -1, -88, 2, 4]","[-1, -1, -87, 2, 4]","[-1, -1, -86, 2, 3]","[-1, -1, -86, 2, 2]"
"[-1, -1, -89, 2, 5]","[-1, -1, -88, 2, 4]","[-1, -1, -87, 2, 4]","[-1, -1, -86, 2, 3]"
"[-1, -1, -90, 2, 6]","[-1, -1, -89, 2, 5]","[-1, -1, -88, 2, 4]","[-1, -1, -87, 2, 4]"
"[-1, -1, -91, 2, 6]","[-1, -1, -90, 2, 6]","[-1, -1, -89, 2, 5]","[-1, -1, -88, 2, 4]"
"[-1, -1, -92, 2, 7]","[-1, -1, -91, 2, 6]","[-1, -1, -90, 2, 6]","[-1, -1, -89, 2, 5]"
"[-1, -1, -94, 2, 8]","[-1, -1, -92, 2, 7]","[-1, -1, -91, 2, 6]","[-1, -1, -90, 2, 6]"
"[-1, -1, -95, 2, 9]","[-1, -1, -94, 2, 8]","[-1, -1, -92, 2, 7]","[-1, -1, -91, 2, 6]"
"[30, 219, -96, 2, 9]","[-1, -1, -95, 2, 9]","[-1, -1, -94, 2, 8]","[-1, -1, -92, 2, 7]"
"[30, 219, -94, 2, 10]","[30, 219, -96, 2, 9]","[-1, -1, -95, 2, 9]","[-1, -1, -94, 2, 8]"
"[31, 220, -86, 2, 11]","[30, 219, -94, 2, 10]","[30, 219, -96, 2, 9]","[-1, -1, -95, 2, 9]"
"[32, 221, -72, 2, 12]","[31, 220, -86, 2, 11]","[30, 219, -94, 2, 10]","[30, 219, -96, 2, 9]"
"[32, 221, -56, 2, 12]","[32, 221, -72, 2, 12]","[31, 220, -86, 2, 11]","[30, 219, -94, 2, 10]"
"[38, 222, -41, 3.5, 13]","[32, 221, -56, 2, 12]","[32, 221, -72, 2, 12]","[31, 220, -86, 2, 11]"
"[34, 223, -28, 4.5, 13]","[38, 222, -41, 3.5, 13]","[32, 221, -56, 2, 12]","[32, 221, -72, 2, 12]"
"[34, 223, -16, 6, 13]","[34, 223, -28, 4.5, 13]","[38, 222, -41, 3.5, 13]","[32, 221, -56, 2, 12]"
"[35, 224, 0, 4.5, 13]","[34, 223, -16, 6, 13]","[34, 223, -28, 4.5, 13]","[38, 222, -41, 3.5, 13]"
"[140, 225, 15, 9, 13]","[35, 224, 0, 4.5, 13]","[34, 223, -16, 6, 13]","[34, 223, -28, 4.5, 13]"
"[140, 225, 31, 9, 13]","[140, 225, 15, 9, 13]","[35, 224, 0, 4.5, 13]","[34, 223, -16, 6, 13]"
"[213, 226, 44, 6, 13]","[140, 225, 31, 9, 13]","[140, 225, 15, 9, 13]","[35, 224, 0, 4.5, 13]"
"[226, 105, 53, 4, 13]","[213, 226, 44, 6, 13]","[140, 225, 31, 9, 13]","[140, 225, 15, 9, 13]"
"[227, 55, 54, 3.5, 12]","[226, 105, 53, 4, 13]","[213, 226, 44, 6, 13]","[140, 225, 31, 9, 13]"
"[227, 65, 51, 3.5, 12]","[227, 55, 54, 3.5, 12]","[226, 105, 53, 4, 13]","[213, 226, 44, 6, 13]"
"[227, 55, 43, 4, 11]","[227, 65, 51, 3.5, 12]","[227, 55, 54, 3.5, 12]","[226, 105, 53, 4, 13]"
"[228, 52, 40, 4.5, 11]","[227, 55, 43, 4, 11]","[227, 65, 51, 3.5, 12]","[227, 55, 54, 3.5, 12]"
"[228, 39, 32, 4.5, 11]","[228, 52, 40, 4.5, 11]","[227, 55, 43, 4, 11]","[227, 65, 51, 3.5, 12]"
"[228, 46, 31, 6, 10]","[228, 39, 32, 4.5, 11]","[228, 52, 40, 4.5, 11]","[227, 55, 43, 4, 11]"
"[228, 60, 23, 6, 10]","[228, 46, 31, 6, 10]","[228, 39, 32, 4.5, 11]","[228, 52, 40, 4.5, 11]"
"[228, 47, 19, 9, 10]","[228, 60, 23, 6, 10]","[228, 46, 31, 6, 10]","[228, 39, 32, 4.5, 11]"
"[228, 53, 11, 9, 10]","[228, 47, 19, 9, 10]","[228, 60, 23, 6, 10]","[228, 46, 31, 6, 10]"
"[228, 68, 5, 9, 10]","[228, 53, 11, 9, 10]","[228, 47, 19, 9, 10]","[228, 60, 23, 6, 10]"
"[228, 68, 4, 9, 10]","[228, 68, 5, 9, 10]","[228, 53, 11, 9, 10]","[228, 47, 19, 9, 10]"
"[228, 194, -5, 9, 10]","[228, 68, 4, 9, 10]","[228, 68, 5, 9, 10]","[228, 53, 11, 9, 10]"
"[228, 203, -6, 9, 10]","[228, 194, -5, 9, 10]","[228, 68, 4, 9, 10]","[228, 68, 5, 9, 10]"
"[228, 203, -7, 9, 10]","[228, 203, -6, 9, 10]","[228, 194, -5, 9, 10]","[228, 68, 4, 9, 10]"
"[164, 228, -6, 4.5, 10]","[228, 203, -7, 9, 10]","[228, 203, -6, 9, 10]","[228, 194, -5, 9, 10]"
"[187, 228, -2, 9, 10]","[164, 228, -6, 4.5, 10]","[228, 203, -7, 9, 10]","[228, 203, -6, 9, 10]"
"[187, 228, -3, 9, 10]","[187, 228, -2, 9, 10]","[164, 228, -6, 4.5, 10]","[228, 203, -7, 9, 10]"
"[163, 227, 3, 9, 10]","[187, 228, -3, 9, 10]","[187, 228, -2, 9, 10]","[164, 228, -6, 4.5, 10]"
"[190, 227, 8, 9, 10]","[163, 227, 3, 9, 10]","[187, 228, -3, 9, 10]","[187, 228, -2, 9, 10]"
"[190, 227, 14, 6, 10]","[190, 227, 8, 9, 10]","[163, 227, 3, 9, 10]","[187, 228, -3, 9, 10]"
"[226, 210, 22, 9, 10]","[190, 227, 14, 6, 10]","[190, 227, 8, 9, 10]","[163, 227, 3, 9, 10]"
"[225, 110, 26, 9, 10]","[226, 210, 22, 9, 10]","[190, 227, 14, 6, 10]","[190, 227, 8, 9, 10]"
"[225, 110, 30, 6, 9]","[225, 110, 26, 9, 10]","[226, 210, 22, 9, 10]","[190, 227, 14, 6, 10]"
"[225, 38, 35, 6, 9]","[225, 110, 30, 6, 9]","[225, 110, 26, 9, 10]","[226, 210, 22, 9, 10]"
"[223, 53, 28, 4.5, 9]","[225, 38, 35, 6, 9]","[225, 110, 30, 6, 9]","[225, 110, 26, 9, 10]"
"[223, 53, 24, 6, 9]","[223, 53, 28, 4.5, 9]","[225, 38, 35, 6, 9]","[225, 110, 30, 6, 9]"
"[223, 75, 24, 6, 8]","[223, 53, 24, 6, 9]","[223, 53, 28, 4.5, 9]","[225, 38, 35, 6, 9]"
"[221, 86, 14, 6, 8]","[223, 75, 24, 6, 8]","[223, 53, 24, 6, 9]","[223, 53, 28, 4.5, 9]"
"[221, 86, 11, 9, 8]","[221, 86, 14, 6, 8]","[223, 75, 24, 6, 8]","[223, 53, 24, 6, 9]"
"[221, 86, 12, 9, 8]","[221, 86, 11, 9, 8]","[221, 86, 14, 6, 8]","[223, 75, 24, 6, 8]"
"[220, 103, 7, 9, 8]","[221, 86, 12, 9, 8]","[221, 86, 11, 9, 8]","[221, 86, 14, 6, 8]"
"[219, 129, 9, 9, 8]","[220, 103, 7, 9, 8]","[221, 86, 12, 9, 8]","[221, 86, 11, 9, 8]"
"[218, 119, 2, 9, 8]","[219, 129, 9, 9, 8]","[220, 103, 7, 9, 8]","[221, 86, 12, 9, 8]"
"[217, 163, 4, 9, 8]","[218, 119, 2, 9, 8]","[219, 129, 9, 9, 8]","[220, 103, 7, 9, 8]"
"[217, 145, 3, 9, 8]","[217, 163, 4, 9, 8]","[218, 119, 2, 9, 8]","[219, 129, 9, 9, 8]"
"[216, 207, 2, 9, 8]","[217, 145, 3, 9, 8]","[217, 163, 4, 9, 8]","[218, 119, 2, 9, 8]"
"[216, 189, 6, 9, 8]","[216, 207, 2, 9, 8]","[217, 145, 3, 9, 8]","[217, 163, 4, 9, 8]"
"[215, 197, 9, 9, 8]","[216, 189, 6, 9, 8]","[216, 207, 2, 9, 8]","[217, 145, 3, 9, 8]"
"[214, 205, 8, 9, 8]","[215, 197, 9, 9, 8]","[216, 189, 6, 9, 8]","[216, 207, 2, 9, 8]"
"[213, 168, 13, 9, 8]","[214, 205, 8, 9, 8]","[215, 197, 9, 9, 8]","[216, 189, 6, 9, 8]"
"[213, 141, 12, 2, 7]","[213, 168, 13, 9, 8]","[214, 205, 8, 9, 8]","[215, 197, 9, 9, 8]"
