"[-1, -1, -91, 4, 0]","[-1, -1, -91, 4, 0]","[-1, -1, -91, 4, 0]"
"[-1, -1, -91, 2, 0]","[-1, -1, -91, 4, 0]","[-1, -1, -91, 4, 0]"
"[-1, -1, -91, 2, 1]","[-1, -1, -91, 2, 0]","[-1, -1, -91, 4, 0]"
"[-1, -1, -91, 2, 2]","[-1, -1, -91, 2, 1]","[-1, -1, -91, 2, 0]"
"[27, 209, -92, 2, 2]","[-1, -1, -91, 2, 2]","[-1, -1, -91, 2, 1]"
"[27, 209, -92, 2, 3]","[27, 209, -92, 2, 2]","[-1, -1, -91, 2, 2]"
"[27, 209, -93, 2, 4]","[27, 209, -92, 2, 3]","[27, 209, -92, 2, 2]"
"[26, 210, -86, 2, 5]","[27, 209, -93, 2, 4]","[27, 209, -92, 2, 3]"
"[26, 210, -80, 2, 5]","[26, 210, -86, 2, 5]","[27, 209, -93, 2, 4]"
"[26, 210, -80, 2, 6]","[26, 210, -80, 2, 5]","[26, 210, -86, 2, 5]"
"[22, 211, -63, 2, 7]","[26, 210, -80, 2, 6]","[26, 210, -80, 2, 5]"
"[46, 212, -52, 2, 7]","[22, 211, -63, 2, 7]","[26, 210, -80, 2, 6]"
"[46, 212, -48, 4, 7]","[46, 212, -52, 2, 7]","[22, 211, -63, 2, 7]"
"[46, 213, -30, 4, 8]","[46, 212, -48, 4, 7]","[46, 212, -52, 2, 7]"
"[25, 214, -27, 2, 8]","[46, 213, -30, 4, 8]","[46, 212, -48, 4, 7]"
"[25, 214, -20, 2, 8]","[25, 214, -27, 2, 8]","[46, 213, -30, 4, 8]"
"[25, 214, -21, 2, 8]","[25, 214, -20, 2, 8]","[25, 214, -27, 2, 8]"
"[25, 214, -9, 2, 8]","[25, 214, -21, 2, 8]","[25, 214, -20, 2, 8]"
"[153, 215, -3, 2, 8]","[25, 214, -9, 2, 8]","[25, 214, -21, 2, 8]"
"[168, 216, 5, 2, 8]","[153, 215, -3, 2, 8]","[25, 214, -9, 2, 8]"
"[191, 217, 16, 2, 8]","[168, 216, 5, 2, 8]","[153, 215, -3, 2, 8]"
"[191, 217, 20, 2, 8]","[191, 217, 16, 2, 8]","[168, 216, 5, 2, 8]"
"[191, 217, 20, 2, 8]","[191, 217, 20, 2, 8]","[191, 217, 16, 2, 8]"
"[203, 217, 28, 2, 8]","[191, 217, 20, 2, 8]","[191, 217, 20, 2, 8]"
"[203, 217, 28, 2, 8]","[203, 217, 28, 2, 8]","[191, 217, 20, 2, 8]"
"[218, 187, 40, 2, 7]","[203, 217, 28, 2, 8]","[203, 217, 28, 2, 8]"
"[219, 172, 44, 2, 7]","[218, 187, 40, 2, 7]","[203, 217, 28, 2, 8]"
"[219, 172, 43, 2, 7]","[219, 172, 44, 2, 7]","[218, 187, 40, 2, 7]"
"[220, 172, 52, 2, 6]","[219, 172, 43, 2, 7]","[219, 172, 44, 2, 7]"
