"['255', '255', '-80', 1.5]","['255', '255', '-80', 1.5]","['255', '255', '-80', 1.5]","['255', '255', '-80', 1.5]"
"['255', '255', '-80', 2]","['255', '255', '-80', 1.5]","['255', '255', '-80', 1.5]","['255', '255', '-80', 1.5]"
"['255', '255', '-80', 2]","['255', '255', '-80', 2]","['255', '255', '-80', 1.5]","['255', '255', '-80', 1.5]"
"['255', '255', '-80', 9]","['255', '255', '-80', 2]","['255', '255', '-80', 2]","['255', '255', '-80', 1.5]"
"['145', '45', '-80', 3.5]","['255', '255', '-80', 9]","['255', '255', '-80', 2]","['255', '255', '-80', 2]"
"['145', '45', '-80', 2]","['145', '45', '-80', 3.5]","['255', '255', '-80', 9]","['255', '255', '-80', 2]"
"['145', '45', '-77', 3.5]","['145', '45', '-80', 2]","['145', '45', '-80', 3.5]","['255', '255', '-80', 9]"
"['145', '45', '-77', 2]","['145', '45', '-77', 3.5]","['145', '45', '-80', 2]","['145', '45', '-80', 3.5]"
"['145', '45', '-71', 9]","['145', '45', '-77', 2]","['145', '45', '-77', 3.5]","['145', '45', '-80', 2]"
"['145', '45', '-71', 9]","['145', '45', '-71', 9]","['145', '45', '-77', 2]","['145', '45', '-77', 3.5]"
"['145', '45', '-69', 9]","['145', '45', '-71', 9]","['145', '45', '-71', 9]","['145', '45', '-77', 2]"
"['145', '45', '-63', 9]","['145', '45', '-69', 9]","['145', '45', '-71', 9]","['145', '45', '-71', 9]"
"['145', '45', '-58', 4.5]","['145', '45', '-63', 9]","['145', '45', '-69', 9]","['145', '45', '-71', 9]"
"['145', '45', '-50', 2]","['145', '45', '-58', 4.5]","['145', '45', '-63', 9]","['145', '45', '-69', 9]"
"['145', '45', '-45', 2]","['145', '45', '-50', 2]","['145', '45', '-58', 4.5]","['145', '45', '-63', 9]"
"['145', '45', '-35', 4.5]","['145', '45', '-45', 2]","['145', '45', '-50', 2]","['145', '45', '-58', 4.5]"
"['145', '45', '-31', 9]","['145', '45', '-35', 4.5]","['145', '45', '-45', 2]","['145', '45', '-50', 2]"
"['145', '45', '-25', 9]","['145', '45', '-31', 9]","['145', '45', '-35', 4.5]","['145', '45', '-45', 2]"
"['145', '45', '-21', 3.5]","['145', '45', '-25', 9]","['145', '45', '-31', 9]","['145', '45', '-35', 4.5]"
"['145', '45', '-16', 2]","['145', '45', '-21', 3.5]","['145', '45', '-25', 9]","['145', '45', '-31', 9]"
"['132', '45', '-14', 2]","['145', '45', '-16', 2]","['145', '45', '-21', 3.5]","['145', '45', '-25', 9]"
"['132', '45', '-12', 2]","['132', '45', '-14', 2]","['145', '45', '-16', 2]","['145', '45', '-21', 3.5]"
"['87', '45', '-8', 9]","['132', '45', '-12', 2]","['132', '45', '-14', 2]","['145', '45', '-16', 2]"
"['73', '45', '-7', 3.5]","['87', '45', '-8', 9]","['132', '45', '-12', 2]","['132', '45', '-14', 2]"
"['73', '45', '-7', 9]","['73', '45', '-7', 3.5]","['87', '45', '-8', 9]","['132', '45', '-12', 2]"
"['73', '45', '-2', 2]","['73', '45', '-7', 9]","['73', '45', '-7', 3.5]","['87', '45', '-8', 9]"
"['73', '45', '-1', 2]","['73', '45', '-2', 2]","['73', '45', '-7', 9]","['73', '45', '-7', 3.5]"
"['108', '45', '0', 2]","['73', '45', '-1', 2]","['73', '45', '-2', 2]","['73', '45', '-7', 9]"
"['49', '45', '5', 2]","['108', '45', '0', 2]","['73', '45', '-1', 2]","['73', '45', '-2', 2]"
"['49', '45', '3', 2]","['49', '45', '5', 2]","['108', '45', '0', 2]","['73', '45', '-1', 2]"
"['47', '45', '2', 2]","['49', '45', '3', 2]","['49', '45', '5', 2]","['108', '45', '0', 2]"
"['45', '45', '6', 2]","['47', '45', '2', 2]","['49', '45', '3', 2]","['49', '45', '5', 2]"
"['45', '50', '3', 2]","['45', '45', '6', 2]","['47', '45', '2', 2]","['49', '45', '3', 2]"
"['45', '50', '7', 2]","['45', '50', '3', 2]","['45', '45', '6', 2]","['47', '45', '2', 2]"
"['45', '48', '2', 2]","['45', '50', '7', 2]","['45', '50', '3', 2]","['45', '45', '6', 2]"
"['45', '56', '4', 2]","['45', '48', '2', 2]","['45', '50', '7', 2]","['45', '50', '3', 2]"
"['45', '58', '2', 2]","['45', '56', '4', 2]","['45', '48', '2', 2]","['45', '50', '7', 2]"
"['45', '48', '3', 2]","['45', '58', '2', 2]","['45', '56', '4', 2]","['45', '48', '2', 2]"
"['45', '52', '2', 4]","['45', '48', '3', 2]","['45', '58', '2', 2]","['45', '56', '4', 2]"
"['45', '52', '0', 2]","['45', '52', '2', 4]","['45', '48', '3', 2]","['45', '58', '2', 2]"
"['45', '52', '0', 2]","['45', '52', '0', 2]","['45', '52', '2', 4]","['45', '48', '3', 2]"
"['45', '56', '2', 2]","['45', '52', '0', 2]","['45', '52', '0', 2]","['45', '52', '2', 4]"
"['45', '48', '-1', 2]","['45', '56', '2', 2]","['45', '52', '0', 2]","['45', '52', '0', 2]"
"['45', '45', '2', 2]","['45', '48', '-1', 2]","['45', '56', '2', 2]","['45', '52', '0', 2]"
"['45', '48', '-1', 4.5]","['45', '45', '2', 2]","['45', '48', '-1', 2]","['45', '56', '2', 2]"
"['45', '48', '-1', 2]","['45', '48', '-1', 4.5]","['45', '45', '2', 2]","['45', '48', '-1', 2]"
"['45', '48', '4', 9]","['45', '48', '-1', 2]","['45', '48', '-1', 4.5]","['45', '45', '2', 2]"
"['54', '45', '1', 2]","['45', '48', '4', 9]","['45', '48', '-1', 2]","['45', '48', '-1', 4.5]"
"['54', '45', '-1', 3.5]","['54', '45', '1', 2]","['45', '48', '4', 9]","['45', '48', '-1', 2]"
