"['255', '255', '-76']","['255', '255', '-76']","['255', '255', '-76']","['255', '255', '-76']"
"['255', '255', '-76']","['255', '255', '-76']","['255', '255', '-76']","['255', '255', '-76']"
"['45', '55', '-77']","['255', '255', '-76']","['255', '255', '-76']","['255', '255', '-76']"
"['45', '55', '-77']","['45', '55', '-77']","['255', '255', '-76']","['255', '255', '-76']"
"['45', '55', '-76']","['45', '55', '-77']","['45', '55', '-77']","['255', '255', '-76']"
"['105', '45', '-77']","['45', '55', '-76']","['45', '55', '-77']","['45', '55', '-77']"
"['105', '45', '-77']","['105', '45', '-77']","['45', '55', '-76']","['45', '55', '-77']"
"['105', '45', '-76']","['105', '45', '-77']","['105', '45', '-77']","['45', '55', '-76']"
"['105', '45', '-75']","['105', '45', '-76']","['105', '45', '-77']","['105', '45', '-77']"
"['105', '45', '-75']","['105', '45', '-75']","['105', '45', '-76']","['105', '45', '-77']"
"['105', '45', '-76']","['105', '45', '-75']","['105', '45', '-75']","['105', '45', '-76']"
"['105', '45', '-76']","['105', '45', '-76']","['105', '45', '-75']","['105', '45', '-75']"
"['105', '45', '-69']","['105', '45', '-76']","['105', '45', '-76']","['105', '45', '-75']"
"['75', '45', '-72']","['105', '45', '-69']","['105', '45', '-76']","['105', '45', '-76']"
"['45', '45', '-67']","['75', '45', '-72']","['105', '45', '-69']","['105', '45', '-76']"
"['45', '45', '-68']","['45', '45', '-67']","['75', '45', '-72']","['105', '45', '-69']"
"['45', '45', '-68']","['45', '45', '-68']","['45', '45', '-67']","['75', '45', '-72']"
"['45', '45', '-68']","['45', '45', '-68']","['45', '45', '-68']","['45', '45', '-67']"
"['45', '45', '-71']","['45', '45', '-68']","['45', '45', '-68']","['45', '45', '-68']"
"['45', '55', '-70']","['45', '45', '-71']","['45', '45', '-68']","['45', '45', '-68']"
"['45', '55', '-72']","['45', '55', '-70']","['45', '45', '-71']","['45', '45', '-68']"
"['45', '55', '-72']","['45', '55', '-72']","['45', '55', '-70']","['45', '45', '-71']"
"['45', '45', '-71']","['45', '55', '-72']","['45', '55', '-72']","['45', '55', '-70']"
"['45', '45', '-77']","['45', '45', '-71']","['45', '55', '-72']","['45', '55', '-72']"
"['45', '45', '-69']","['45', '45', '-77']","['45', '45', '-71']","['45', '55', '-72']"
"['105', '45', '-74']","['45', '45', '-69']","['45', '45', '-77']","['45', '45', '-71']"
"['105', '45', '-76']","['105', '45', '-74']","['45', '45', '-69']","['45', '45', '-77']"
"['45', '85', '-72']","['105', '45', '-76']","['105', '45', '-74']","['45', '45', '-69']"
"['45', '85', '-72']","['45', '85', '-72']","['105', '45', '-76']","['105', '45', '-74']"
"['105', '45', '-68']","['45', '85', '-72']","['45', '85', '-72']","['105', '45', '-76']"
"['105', '45', '-73']","['105', '45', '-68']","['45', '85', '-72']","['45', '85', '-72']"
"['105', '45', '-73']","['105', '45', '-73']","['105', '45', '-68']","['45', '85', '-72']"
"['105', '45', '-71']","['105', '45', '-73']","['105', '45', '-73']","['105', '45', '-68']"
"['105', '45', '-73']","['105', '45', '-71']","['105', '45', '-73']","['105', '45', '-73']"
"['105', '45', '-72']","['105', '45', '-73']","['105', '45', '-71']","['105', '45', '-73']"
"['105', '45', '-71']","['105', '45', '-72']","['105', '45', '-73']","['105', '45', '-71']"
"['105', '45', '-71']","['105', '45', '-71']","['105', '45', '-72']","['105', '45', '-73']"
"['105', '45', '-71']","['105', '45', '-71']","['105', '45', '-71']","['105', '45', '-72']"
"['105', '45', '-71']","['105', '45', '-71']","['105', '45', '-71']","['105', '45', '-71']"
"['105', '45', '-69']","['105', '45', '-71']","['105', '45', '-71']","['105', '45', '-71']"
"['105', '45', '-68']","['105', '45', '-69']","['105', '45', '-71']","['105', '45', '-71']"
"['105', '45', '-71']","['105', '45', '-68']","['105', '45', '-69']","['105', '45', '-71']"
"['105', '45', '-69']","['105', '45', '-71']","['105', '45', '-68']","['105', '45', '-69']"
"['105', '45', '-70']","['105', '45', '-69']","['105', '45', '-71']","['105', '45', '-68']"
"['105', '45', '-69']","['105', '45', '-70']","['105', '45', '-69']","['105', '45', '-71']"
"['45', '55', '-69']","['105', '45', '-69']","['105', '45', '-70']","['105', '45', '-69']"
