"['255', '255', '3', 1.5]","['255', '255', '3', 1.5]","['255', '255', '3', 1.5]","['255', '255', '3', 1.5]"
"['255', '255', '3', 9]","['255', '255', '3', 1.5]","['255', '255', '3', 1.5]","['255', '255', '3', 1.5]"
"['255', '255', '3', 9]","['255', '255', '3', 9]","['255', '255', '3', 1.5]","['255', '255', '3', 1.5]"
"['255', '255', '3', 9]","['255', '255', '3', 9]","['255', '255', '3', 9]","['255', '255', '3', 1.5]"
"['255', '255', '3', 9]","['255', '255', '3', 9]","['255', '255', '3', 9]","['255', '255', '3', 9]"
"['45', '72', '-5', 3.5]","['255', '255', '3', 9]","['255', '255', '3', 9]","['255', '255', '3', 9]"
"['45', '72', '-8', 9]","['45', '72', '-5', 3.5]","['255', '255', '3', 9]","['255', '255', '3', 9]"
"['45', '55', '-11', 9]","['45', '72', '-8', 9]","['45', '72', '-5', 3.5]","['255', '255', '3', 9]"
"['89', '45', '-12', 2]","['45', '55', '-11', 9]","['45', '72', '-8', 9]","['45', '72', '-5', 3.5]"
"['117', '45', '-14', 9]","['89', '45', '-12', 2]","['45', '55', '-11', 9]","['45', '72', '-8', 9]"
"['67', '45', '-15', 3.5]","['117', '45', '-14', 9]","['89', '45', '-12', 2]","['45', '55', '-11', 9]"
"['94', '45', '-15', 3.5]","['67', '45', '-15', 3.5]","['117', '45', '-14', 9]","['89', '45', '-12', 2]"
"['94', '45', '-12', 3.5]","['94', '45', '-15', 3.5]","['67', '45', '-15', 3.5]","['117', '45', '-14', 9]"
"['97', '45', '-12', 4.5]","['94', '45', '-12', 3.5]","['94', '45', '-15', 3.5]","['67', '45', '-15', 3.5]"
"['99', '45', '-5', 3.5]","['97', '45', '-12', 4.5]","['94', '45', '-12', 3.5]","['94', '45', '-15', 3.5]"
"['87', '45', '-4', 3.5]","['99', '45', '-5', 3.5]","['97', '45', '-12', 4.5]","['94', '45', '-12', 3.5]"
"['62', '45', '-3', 4]","['87', '45', '-4', 3.5]","['99', '45', '-5', 3.5]","['97', '45', '-12', 4.5]"
"['62', '45', '-2', 4]","['62', '45', '-3', 4]","['87', '45', '-4', 3.5]","['99', '45', '-5', 3.5]"
"['61', '45', '-2', 4]","['62', '45', '-2', 4]","['62', '45', '-3', 4]","['87', '45', '-4', 3.5]"
"['53', '45', '-1', 4]","['61', '45', '-2', 4]","['62', '45', '-2', 4]","['62', '45', '-3', 4]"
"['53', '45', '-1', 4]","['53', '45', '-1', 4]","['61', '45', '-2', 4]","['62', '45', '-2', 4]"
"['53', '45', '0', 4]","['53', '45', '-1', 4]","['53', '45', '-1', 4]","['61', '45', '-2', 4]"
"['49', '45', '-2', 4]","['53', '45', '0', 4]","['53', '45', '-1', 4]","['53', '45', '-1', 4]"
"['45', '45', '-2', 4]","['49', '45', '-2', 4]","['53', '45', '0', 4]","['53', '45', '-1', 4]"
"['53', '45', '-2', 4]","['45', '45', '-2', 4]","['49', '45', '-2', 4]","['53', '45', '0', 4]"
"['53', '45', '-1', 3.5]","['53', '45', '-2', 4]","['45', '45', '-2', 4]","['49', '45', '-2', 4]"
"['53', '45', '-3', 4]","['53', '45', '-1', 3.5]","['53', '45', '-2', 4]","['45', '45', '-2', 4]"
"['52', '45', '-1', 4]","['53', '45', '-3', 4]","['53', '45', '-1', 3.5]","['53', '45', '-2', 4]"
"['49', '45', '-2', 4]","['52', '45', '-1', 4]","['53', '45', '-3', 4]","['53', '45', '-1', 3.5]"
"['49', '45', '-4', 4]","['49', '45', '-2', 4]","['52', '45', '-1', 4]","['53', '45', '-3', 4]"
"['49', '45', '-5', 4]","['49', '45', '-4', 4]","['49', '45', '-2', 4]","['52', '45', '-1', 4]"
"['53', '45', '-6', 4]","['49', '45', '-5', 4]","['49', '45', '-4', 4]","['49', '45', '-2', 4]"
"['61', '45', '-7', 9]","['53', '45', '-6', 4]","['49', '45', '-5', 4]","['49', '45', '-4', 4]"
"['61', '45', '-7', 9]","['61', '45', '-7', 9]","['53', '45', '-6', 4]","['49', '45', '-5', 4]"
"['99', '45', '-11', 4]","['61', '45', '-7', 9]","['61', '45', '-7', 9]","['53', '45', '-6', 4]"
"['108', '45', '-12', 4]","['99', '45', '-11', 4]","['61', '45', '-7', 9]","['61', '45', '-7', 9]"
"['73', '45', '-13', 4]","['108', '45', '-12', 4]","['99', '45', '-11', 4]","['61', '45', '-7', 9]"
"['93', '45', '-10', 4]","['73', '45', '-13', 4]","['108', '45', '-12', 4]","['99', '45', '-11', 4]"
"['93', '45', '-11', 4]","['93', '45', '-10', 4]","['73', '45', '-13', 4]","['108', '45', '-12', 4]"
"['97', '45', '-7', 4]","['93', '45', '-11', 4]","['93', '45', '-10', 4]","['73', '45', '-13', 4]"
"['85', '45', '-8', 9]","['97', '45', '-7', 4]","['93', '45', '-11', 4]","['93', '45', '-10', 4]"
"['89', '45', '-6', 3.5]","['85', '45', '-8', 9]","['97', '45', '-7', 4]","['93', '45', '-11', 4]"
"['108', '45', '-5', 9]","['89', '45', '-6', 3.5]","['85', '45', '-8', 9]","['97', '45', '-7', 4]"
"['108', '45', '-4', 4]","['108', '45', '-5', 9]","['89', '45', '-6', 3.5]","['85', '45', '-8', 9]"
"['99', '45', '-3', 9]","['108', '45', '-4', 4]","['108', '45', '-5', 9]","['89', '45', '-6', 3.5]"
"['81', '45', '1', 9]","['99', '45', '-3', 9]","['108', '45', '-4', 4]","['108', '45', '-5', 9]"
"['81', '45', '3', 9]","['81', '45', '1', 9]","['99', '45', '-3', 9]","['108', '45', '-4', 4]"
"['72', '45', '0', 9]","['81', '45', '3', 9]","['81', '45', '1', 9]","['99', '45', '-3', 9]"
"['45', '53', '4', 2]","['72', '45', '0', 9]","['81', '45', '3', 9]","['81', '45', '1', 9]"
"['45', '45', '1', 9]","['45', '53', '4', 2]","['72', '45', '0', 9]","['81', '45', '3', 9]"
"['45', '45', '1', 4]","['45', '45', '1', 9]","['45', '53', '4', 2]","['72', '45', '0', 9]"
"['45', '48', '0', 4]","['45', '45', '1', 4]","['45', '45', '1', 9]","['45', '53', '4', 2]"
"['45', '48', '-2', 4]","['45', '48', '0', 4]","['45', '45', '1', 4]","['45', '45', '1', 9]"
"['45', '48', '-5', 4]","['45', '48', '-2', 4]","['45', '48', '0', 4]","['45', '45', '1', 4]"
