"[-1, -1, -87, 4, 0]","[-1, -1, -87, 4, 0]","[-1, -1, -87, 4, 0]","[-1, -1, -87, 4, 0]"
"[-1, -1, -87, 2, 0]","[-1, -1, -87, 4, 0]","[-1, -1, -87, 4, 0]","[-1, -1, -87, 4, 0]"
"[-1, -1, -87, 2, 1]","[-1, -1, -87, 2, 0]","[-1, -1, -87, 4, 0]","[-1, -1, -87, 4, 0]"
"[35, 209, -86, 2, 2]","[-1, -1, -87, 2, 1]","[-1, -1, -87, 2, 0]","[-1, -1, -87, 4, 0]"
"[35, 209, -86, 2, 2]","[35, 209, -86, 2, 2]","[-1, -1, -87, 2, 1]","[-1, -1, -87, 2, 0]"
"[34, 209, -83, 2, 3]","[35, 209, -86, 2, 2]","[35, 209, -86, 2, 2]","[-1, -1, -87, 2, 1]"
"[36, 210, -90, 2, 4]","[34, 209, -83, 2, 3]","[35, 209, -86, 2, 2]","[35, 209, -86, 2, 2]"
"[36, 210, -88, 2, 4]","[36, 210, -90, 2, 4]","[34, 209, -83, 2, 3]","[35, 209, -86, 2, 2]"
"[35, 210, -77, 2, 5]","[36, 210, -88, 2, 4]","[36, 210, -90, 2, 4]","[34, 209, -83, 2, 3]"
"[27, 211, -76, 2, 6]","[35, 210, -77, 2, 5]","[36, 210, -88, 2, 4]","[36, 210, -90, 2, 4]"
"[27, 211, -65, 2, 6]","[27, 211, -76, 2, 6]","[35, 210, -77, 2, 5]","[36, 210, -88, 2, 4]"
"[31, 212, -60, 2, 7]","[27, 211, -65, 2, 6]","[27, 211, -76, 2, 6]","[35, 210, -77, 2, 5]"
"[55, 213, -59, 2, 7]","[31, 212, -60, 2, 7]","[27, 211, -65, 2, 6]","[27, 211, -76, 2, 6]"
"[55, 213, -49, 2, 8]","[55, 213, -59, 2, 7]","[31, 212, -60, 2, 7]","[27, 211, -65, 2, 6]"
"[76, 213, -47, 2, 8]","[55, 213, -49, 2, 8]","[55, 213, -59, 2, 7]","[31, 212, -60, 2, 7]"
"[88, 214, -41, 2, 9]","[76, 213, -47, 2, 8]","[55, 213, -49, 2, 8]","[55, 213, -59, 2, 7]"
"[88, 214, -32, 2, 9]","[88, 214, -41, 2, 9]","[76, 213, -47, 2, 8]","[55, 213, -49, 2, 8]"
"[109, 215, -28, 2, 9]","[88, 214, -32, 2, 9]","[88, 214, -41, 2, 9]","[76, 213, -47, 2, 8]"
"[125, 216, -25, 2, 9]","[109, 215, -28, 2, 9]","[88, 214, -32, 2, 9]","[88, 214, -41, 2, 9]"
"[125, 216, -18, 2, 10]","[125, 216, -25, 2, 9]","[109, 215, -28, 2, 9]","[88, 214, -32, 2, 9]"
"[143, 216, -15, 2, 10]","[125, 216, -18, 2, 10]","[125, 216, -25, 2, 9]","[109, 215, -28, 2, 9]"
