"[-1, -1, -94, 4, 0]","[-1, -1, -94, 4, 0]","[-1, -1, -94, 4, 0]","[-1, -1, -94, 4, 0]"
"[-1, -1, -94, 2, 0]","[-1, -1, -94, 4, 0]","[-1, -1, -94, 4, 0]","[-1, -1, -94, 4, 0]"
"[-1, -1, -94, 2, 1]","[-1, -1, -94, 2, 0]","[-1, -1, -94, 4, 0]","[-1, -1, -94, 4, 0]"
"[-1, -1, -93, 2, 2]","[-1, -1, -94, 2, 1]","[-1, -1, -94, 2, 0]","[-1, -1, -94, 4, 0]"
"[-1, -1, -94, 2, 3]","[-1, -1, -93, 2, 2]","[-1, -1, -94, 2, 1]","[-1, -1, -94, 2, 0]"
"[21, 209, -94, 2, 3]","[-1, -1, -94, 2, 3]","[-1, -1, -93, 2, 2]","[-1, -1, -94, 2, 1]"
"[21, 209, -95, 2, 4]","[21, 209, -94, 2, 3]","[-1, -1, -94, 2, 3]","[-1, -1, -93, 2, 2]"
"[21, 209, -95, 2, 5]","[21, 209, -95, 2, 4]","[21, 209, -94, 2, 3]","[-1, -1, -94, 2, 3]"
"[21, 210, -95, 2, 6]","[21, 209, -95, 2, 5]","[21, 209, -95, 2, 4]","[21, 209, -94, 2, 3]"
"[21, 210, -95, 2, 6]","[21, 210, -95, 2, 6]","[21, 209, -95, 2, 5]","[21, 209, -95, 2, 4]"
"[22, 211, -82, 2, 7]","[21, 210, -95, 2, 6]","[21, 210, -95, 2, 6]","[21, 209, -95, 2, 5]"
"[22, 211, -82, 2, 8]","[22, 211, -82, 2, 7]","[21, 210, -95, 2, 6]","[21, 210, -95, 2, 6]"
"[22, 211, -67, 2, 8]","[22, 211, -82, 2, 8]","[22, 211, -82, 2, 7]","[21, 210, -95, 2, 6]"
"[24, 213, -52, 2, 9]","[22, 211, -67, 2, 8]","[22, 211, -82, 2, 8]","[22, 211, -82, 2, 7]"
"[24, 213, -53, 4, 9]","[24, 213, -52, 2, 9]","[22, 211, -67, 2, 8]","[22, 211, -82, 2, 8]"
"[42, 214, -38, 3.5, 10]","[24, 213, -53, 4, 9]","[24, 213, -52, 2, 9]","[22, 211, -67, 2, 8]"
"[42, 214, -39, 4, 10]","[42, 214, -38, 3.5, 10]","[24, 213, -53, 4, 9]","[24, 213, -52, 2, 9]"
"[71, 214, -23, 4, 10]","[42, 214, -39, 4, 10]","[42, 214, -38, 3.5, 10]","[24, 213, -53, 4, 9]"
"[71, 214, -24, 4, 11]","[71, 214, -23, 4, 10]","[42, 214, -39, 4, 10]","[42, 214, -38, 3.5, 10]"
"[26, 215, -8, 4.5, 11]","[71, 214, -24, 4, 11]","[71, 214, -23, 4, 10]","[42, 214, -39, 4, 10]"
"[26, 215, -9, 4.5, 11]","[26, 215, -8, 4.5, 11]","[71, 214, -24, 4, 11]","[71, 214, -23, 4, 10]"
"[114, 217, 6, 4, 11]","[26, 215, -9, 4.5, 11]","[26, 215, -8, 4.5, 11]","[71, 214, -24, 4, 11]"
"[114, 217, 6, 4.5, 11]","[114, 217, 6, 4, 11]","[26, 215, -9, 4.5, 11]","[26, 215, -8, 4.5, 11]"
"[98, 217, 19, 4.5, 11]","[114, 217, 6, 4.5, 11]","[114, 217, 6, 4, 11]","[26, 215, -9, 4.5, 11]"
"[98, 217, 19, 4.5, 11]","[98, 217, 19, 4.5, 11]","[114, 217, 6, 4.5, 11]","[114, 217, 6, 4, 11]"
"[171, 218, 31, 4.5, 10]","[98, 217, 19, 4.5, 11]","[98, 217, 19, 4.5, 11]","[114, 217, 6, 4.5, 11]"
"[171, 218, 31, 4.5, 10]","[171, 218, 31, 4.5, 10]","[98, 217, 19, 4.5, 11]","[98, 217, 19, 4.5, 11]"
"[219, 145, 44, 4.5, 10]","[171, 218, 31, 4.5, 10]","[171, 218, 31, 4.5, 10]","[98, 217, 19, 4.5, 11]"
"[220, 92, 54, 4.5, 10]","[219, 145, 44, 4.5, 10]","[171, 218, 31, 4.5, 10]","[171, 218, 31, 4.5, 10]"
"[220, 92, 54, 3.5, 9]","[220, 92, 54, 4.5, 10]","[219, 145, 44, 4.5, 10]","[171, 218, 31, 4.5, 10]"
"[220, 92, 53, 3.5, 9]","[220, 92, 54, 3.5, 9]","[220, 92, 54, 4.5, 10]","[219, 145, 44, 4.5, 10]"
"[221, 92, 55, 3.5, 8]","[220, 92, 53, 3.5, 9]","[220, 92, 54, 3.5, 9]","[220, 92, 54, 4.5, 10]"
"[222, 43, 61, 3.5, 8]","[221, 92, 55, 3.5, 8]","[220, 92, 53, 3.5, 9]","[220, 92, 54, 3.5, 9]"
"[222, 43, 60, 2, 7]","[222, 43, 61, 3.5, 8]","[221, 92, 55, 3.5, 8]","[220, 92, 53, 3.5, 9]"
"[222, 43, 60, 2, 7]","[222, 43, 60, 2, 7]","[222, 43, 61, 3.5, 8]","[221, 92, 55, 3.5, 8]"
"[222, 38, 52, 2, 6]","[222, 43, 60, 2, 7]","[222, 43, 60, 2, 7]","[222, 43, 61, 3.5, 8]"
"[222, 38, 51, 4, 6]","[222, 38, 52, 2, 6]","[222, 43, 60, 2, 7]","[222, 43, 60, 2, 7]"
"[223, 109, 43, 4, 6]","[222, 38, 51, 4, 6]","[222, 38, 52, 2, 6]","[222, 43, 60, 2, 7]"
"[224, 35, 37, 4.5, 5]","[223, 109, 43, 4, 6]","[222, 38, 51, 4, 6]","[222, 38, 52, 2, 6]"
"[224, 35, 36, 4.5, 5]","[224, 35, 37, 4.5, 5]","[223, 109, 43, 4, 6]","[222, 38, 51, 4, 6]"
"[224, 37, 30, 4.5, 5]","[224, 35, 36, 4.5, 5]","[224, 35, 37, 4.5, 5]","[223, 109, 43, 4, 6]"
"[224, 37, 30, 6, 4]","[224, 37, 30, 4.5, 5]","[224, 35, 36, 4.5, 5]","[224, 35, 37, 4.5, 5]"
"[225, 64, 26, 4.5, 4]","[224, 37, 30, 6, 4]","[224, 37, 30, 4.5, 5]","[224, 35, 36, 4.5, 5]"
