"[-1, -1, -92, 4, 0]","[-1, -1, -92, 4, 0]","[-1, -1, -92, 4, 0]","[-1, -1, -92, 4, 0]"
"[-1, -1, -92, 2, 0]","[-1, -1, -92, 4, 0]","[-1, -1, -92, 4, 0]","[-1, -1, -92, 4, 0]"
"[-1, -1, -92, 2, 1]","[-1, -1, -92, 2, 0]","[-1, -1, -92, 4, 0]","[-1, -1, -92, 4, 0]"
"[25, 209, -92, 2, 2]","[-1, -1, -92, 2, 1]","[-1, -1, -92, 2, 0]","[-1, -1, -92, 4, 0]"
"[25, 209, -93, 2, 2]","[25, 209, -92, 2, 2]","[-1, -1, -92, 2, 1]","[-1, -1, -92, 2, 0]"
"[24, 209, -93, 2, 3]","[25, 209, -93, 2, 2]","[25, 209, -92, 2, 2]","[-1, -1, -92, 2, 1]"
"[23, 210, -87, 2, 4]","[24, 209, -93, 2, 3]","[25, 209, -93, 2, 2]","[25, 209, -92, 2, 2]"
"[23, 210, -81, 2, 5]","[23, 210, -87, 2, 4]","[24, 209, -93, 2, 3]","[25, 209, -93, 2, 2]"
"[23, 210, -81, 2, 5]","[23, 210, -81, 2, 5]","[23, 210, -87, 2, 4]","[24, 209, -93, 2, 3]"
"[21, 210, -79, 2, 6]","[23, 210, -81, 2, 5]","[23, 210, -81, 2, 5]","[23, 210, -87, 2, 4]"
"[35, 212, -65, 2, 7]","[21, 210, -79, 2, 6]","[23, 210, -81, 2, 5]","[23, 210, -81, 2, 5]"
"[50, 212, -57, 2, 7]","[35, 212, -65, 2, 7]","[21, 210, -79, 2, 6]","[23, 210, -81, 2, 5]"
"[56, 213, -51, 3.5, 8]","[50, 212, -57, 2, 7]","[35, 212, -65, 2, 7]","[21, 210, -79, 2, 6]"
"[56, 213, -45, 4, 8]","[56, 213, -51, 3.5, 8]","[50, 212, -57, 2, 7]","[35, 212, -65, 2, 7]"
"[88, 213, -39, 4.5, 8]","[56, 213, -45, 4, 8]","[56, 213, -51, 3.5, 8]","[50, 212, -57, 2, 7]"
"[88, 213, -39, 4.5, 9]","[88, 213, -39, 4.5, 8]","[56, 213, -45, 4, 8]","[56, 213, -51, 3.5, 8]"
"[25, 214, -29, 4.5, 9]","[88, 213, -39, 4.5, 9]","[88, 213, -39, 4.5, 8]","[56, 213, -45, 4, 8]"
"[26, 215, -24, 6, 9]","[25, 214, -29, 4.5, 9]","[88, 213, -39, 4.5, 9]","[88, 213, -39, 4.5, 8]"
"[26, 215, -25, 6, 9]","[26, 215, -24, 6, 9]","[25, 214, -29, 4.5, 9]","[88, 213, -39, 4.5, 9]"
"[49, 216, -9, 6, 10]","[26, 215, -25, 6, 9]","[26, 215, -24, 6, 9]","[25, 214, -29, 4.5, 9]"
"[49, 216, -4, 9, 10]","[49, 216, -9, 6, 10]","[26, 215, -25, 6, 9]","[26, 215, -24, 6, 9]"
"[73, 217, 3, 9, 10]","[49, 216, -4, 9, 10]","[49, 216, -9, 6, 10]","[26, 215, -25, 6, 9]"
"[73, 217, 9, 9, 10]","[73, 217, 3, 9, 10]","[49, 216, -4, 9, 10]","[49, 216, -9, 6, 10]"
"[143, 218, 16, 9, 10]","[73, 217, 9, 9, 10]","[73, 217, 3, 9, 10]","[49, 216, -4, 9, 10]"
"[143, 218, 25, 6, 9]","[143, 218, 16, 9, 10]","[73, 217, 9, 9, 10]","[73, 217, 3, 9, 10]"
"[219, 186, 30, 6, 9]","[143, 218, 25, 6, 9]","[143, 218, 16, 9, 10]","[73, 217, 9, 9, 10]"
