"[-1, -1, -96, 4, 0]","[-1, -1, -96, 4, 0]","[-1, -1, -96, 4, 0]"
"[-1, -1, -96, 2, 0]","[-1, -1, -96, 4, 0]","[-1, -1, -96, 4, 0]"
"[-1, -1, -96, 2, 1]","[-1, -1, -96, 2, 0]","[-1, -1, -96, 4, 0]"
"[-1, -1, -96, 2, 2]","[-1, -1, -96, 2, 1]","[-1, -1, -96, 2, 0]"
"[20, 209, -97, 2, 3]","[-1, -1, -96, 2, 2]","[-1, -1, -96, 2, 1]"
"[20, 209, -98, 2, 3]","[20, 209, -97, 2, 3]","[-1, -1, -96, 2, 2]"
"[20, 209, -99, 2, 4]","[20, 209, -98, 2, 3]","[20, 209, -97, 2, 3]"
"[20, 209, -99, 2, 5]","[20, 209, -99, 2, 4]","[20, 209, -98, 2, 3]"
"[21, 210, -79, 2, 5]","[20, 209, -99, 2, 5]","[20, 209, -99, 2, 4]"
"[22, 211, -72, 2, 6]","[21, 210, -79, 2, 5]","[20, 209, -99, 2, 5]"
"[22, 211, -64, 2, 7]","[22, 211, -72, 2, 6]","[21, 210, -79, 2, 5]"
"[22, 211, -64, 2, 7]","[22, 211, -64, 2, 7]","[22, 211, -72, 2, 6]"
"[23, 212, -53, 2, 8]","[22, 211, -64, 2, 7]","[22, 211, -64, 2, 7]"
"[62, 213, -40, 3.5, 8]","[23, 212, -53, 2, 8]","[22, 211, -64, 2, 7]"
"[62, 213, -41, 3.5, 8]","[62, 213, -40, 3.5, 8]","[23, 212, -53, 2, 8]"
"[78, 213, -25, 3.5, 9]","[62, 213, -41, 3.5, 8]","[62, 213, -40, 3.5, 8]"
"[25, 214, -19, 3.5, 9]","[78, 213, -25, 3.5, 9]","[62, 213, -41, 3.5, 8]"
"[67, 215, -8, 9, 9]","[25, 214, -19, 3.5, 9]","[78, 213, -25, 3.5, 9]"
"[120, 216, -3, 9, 9]","[67, 215, -8, 9, 9]","[25, 214, -19, 3.5, 9]"
"[120, 216, 4, 4.5, 9]","[120, 216, -3, 9, 9]","[67, 215, -8, 9, 9]"
"[36, 216, 10, 9, 9]","[120, 216, 4, 4.5, 9]","[120, 216, -3, 9, 9]"
"[36, 216, 10, 9, 9]","[36, 216, 10, 9, 9]","[120, 216, 4, 4.5, 9]"
"[195, 217, 18, 9, 9]","[36, 216, 10, 9, 9]","[36, 216, 10, 9, 9]"
"[218, 192, 28, 9, 9]","[195, 217, 18, 9, 9]","[36, 216, 10, 9, 9]"
"[218, 138, 34, 6, 8]","[218, 192, 28, 9, 9]","[195, 217, 18, 9, 9]"
"[219, 67, 40, 6, 8]","[218, 138, 34, 6, 8]","[218, 192, 28, 9, 9]"
"[219, 67, 44, 4.5, 8]","[219, 67, 40, 6, 8]","[218, 138, 34, 6, 8]"
"[219, 67, 43, 3.5, 8]","[219, 67, 44, 4.5, 8]","[219, 67, 40, 6, 8]"
"[220, 31, 44, 3.5, 7]","[219, 67, 43, 3.5, 8]","[219, 67, 44, 4.5, 8]"
"[220, 49, 43, 3.5, 7]","[220, 31, 44, 3.5, 7]","[219, 67, 43, 3.5, 8]"
"[221, 79, 38, 3.5, 7]","[220, 49, 43, 3.5, 7]","[220, 31, 44, 3.5, 7]"
"[221, 75, 35, 3.5, 6]","[221, 79, 38, 3.5, 7]","[220, 49, 43, 3.5, 7]"
"[221, 75, 30, 3.5, 6]","[221, 75, 35, 3.5, 6]","[221, 79, 38, 3.5, 7]"
"[221, 75, 29, 4.5, 6]","[221, 75, 30, 3.5, 6]","[221, 75, 35, 3.5, 6]"
"[222, 106, 18, 3.5, 5]","[221, 75, 29, 4.5, 6]","[221, 75, 30, 3.5, 6]"
"[222, 106, 17, 3.5, 5]","[222, 106, 18, 3.5, 5]","[221, 75, 29, 4.5, 6]"
"[223, 95, 13, 4.5, 5]","[222, 106, 17, 3.5, 5]","[222, 106, 18, 3.5, 5]"
"[223, 95, 11, 3.5, 5]","[223, 95, 13, 4.5, 5]","[222, 106, 17, 3.5, 5]"
"[223, 95, 11, 3.5, 5]","[223, 95, 11, 3.5, 5]","[223, 95, 13, 4.5, 5]"
"[224, 167, 3, 3.5, 5]","[223, 95, 11, 3.5, 5]","[223, 95, 11, 3.5, 5]"
"[224, 185, 0, 3.5, 5]","[224, 167, 3, 3.5, 5]","[223, 95, 11, 3.5, 5]"
"[224, 192, 0, 3.5, 5]","[224, 185, 0, 3.5, 5]","[224, 167, 3, 3.5, 5]"
"[224, 192, -2, 3.5, 5]","[224, 192, 0, 3.5, 5]","[224, 185, 0, 3.5, 5]"
"[225, 220, -3, 4.5, 5]","[224, 192, -2, 3.5, 5]","[224, 192, 0, 3.5, 5]"
"[220, 225, -2, 3.5, 5]","[225, 220, -3, 4.5, 5]","[224, 192, -2, 3.5, 5]"
"[212, 226, -3, 2, 5]","[220, 225, -2, 3.5, 5]","[225, 220, -3, 4.5, 5]"
"[212, 226, -3, 3.5, 5]","[212, 226, -3, 2, 5]","[220, 225, -2, 3.5, 5]"
"[210, 226, -2, 3.5, 5]","[212, 226, -3, 3.5, 5]","[212, 226, -3, 2, 5]"
"[211, 227, -3, 3.5, 5]","[210, 226, -2, 3.5, 5]","[212, 226, -3, 3.5, 5]"
"[211, 227, -2, 3.5, 5]","[211, 227, -3, 3.5, 5]","[210, 226, -2, 3.5, 5]"
"[211, 227, 0, 3.5, 5]","[211, 227, -2, 3.5, 5]","[211, 227, -3, 3.5, 5]"
"[211, 227, -1, 3.5, 5]","[211, 227, 0, 3.5, 5]","[211, 227, -2, 3.5, 5]"
"[211, 227, 0, 3.5, 5]","[211, 227, -1, 3.5, 5]","[211, 227, 0, 3.5, 5]"
"[211, 227, 0, 3.5, 5]","[211, 227, 0, 3.5, 5]","[211, 227, -1, 3.5, 5]"
"[219, 228, 3, 3.5, 5]","[211, 227, 0, 3.5, 5]","[211, 227, 0, 3.5, 5]"
"[219, 228, 4, 4.5, 5]","[219, 228, 3, 3.5, 5]","[211, 227, 0, 3.5, 5]"
"[223, 228, 4, 9, 5]","[219, 228, 4, 4.5, 5]","[219, 228, 3, 3.5, 5]"
