0,1,2,3,4,5,6,7
0,2,3,4,5,6,7,8
1,2,4,5,6,7,8,9
2,4,5,6,7,8,9,10
1,2,4,6,8,9,10,11
4,5,7,8,9,10,11,12
2,4,5,6,7,10,11,13
2,4,7,8,9,11,12,14
4,6,9,11,12,13,14,15
6,7,10,11,12,13,14,15
8,9,10,12,13,15,16,17
8,10,11,13,14,15,16,17
2,7,11,12,15,16,18,19
3,4,10,11,14,15,16,19
2,4,7,11,12,14,16,20
4,11,12,13,14,18,19,21
5,11,14,16,17,19,22,23
5,9,12,16,18,21,22,24
2,10,11,15,16,17,23,24
9,13,15,16,22,23,25,26
3,5,8,11,14,23,25,26
3,6,14,20,21,22,26,28
8,11,16,19,20,21,26,28
15,16,17,21,23,25,29,30
11,14,16,23,24,28,30,31
4,8,9,24,25,26,29,31
33,13,20,21,23,28,30,31
32,15,17,22,25,28,29,31
32,34,11,14,20,24,27,28
34,35,36,15,18,21,22,23
34,37,10,14,15,18,22,29
33,4,11,12,14,15,24,26
34,36,16,18,23,28,29,31
35,40,11,15,21,22,24,26
33,34,11,13,16,22,30,31
32,34,37,39,41,13,22,26
32,36,41,14,16,19,26,30
6,38,10,44,18,22,25,31
32,36,9,45,16,17,19,30
33,36,4,45,16,17,19,27
32,35,4,37,44,46,21,24
43,45,46,47,20,22,28,31
38,39,41,44,46,48,26,29
3,39,40,45,16,23,28,30
38,12,45,46,44,48,16,22
32,33,11,12,45,47,51,26
35,7,40,46,47,50,18,31
32,39,45,46,48,49,52,54
42,10,46,50,22,24,25,28
33,43,48,17,52,53,22,25
32,3,45,46,47,50,51,31
36,42,14,47,49,53,57,58
32,5,18,51,52,22,56,57
36,8,45,46,49,19,52,58
34,9,12,54,55,59,28,61
39,40,10,49,51,57,59,61
37,47,15,53,59,60,30,63
64,42,12,44,46,53,22,59
32,40,9,42,11,49,28,31
33,66,36,7,41,47,54,61
66,7,59,46,14,52,53,27
64,39,45,47,48,51,29,63
64,67,8,42,17,55,25,59
35,68,69,45,50,52,24,26
32,65,68,37,41,19,31,63
65,69,71,41,10,44,23,30
38,72,51,53,22,61,62,63
66,67,71,72,73,74,53,62
64,33,70,39,43,48,51,54
66,68,70,75,47,50,21,55
32,67,43,76,45,46,53,23
64,70,71,42,76,77,53,54
65,36,37,74,79,18,50,63
32,34,39,8,52,57,58,61
67,71,40,41,20,55,60,61
65,67,35,73,44,16,20,63
64,43,80,83,54,23,59,29
72,44,77,81,22,55,26,62
70,75,78,79,80,82,62,63
5,71,72,12,76,49,22,63
67,70,38,72,74,15,50,83
68,38,10,78,79,82,19,85
38,74,80,50,84,20,60,61
65,67,69,70,82,51,55,89
7,43,77,83,21,85,27,29
56,91,44,81,88,90,59,92
69,46,48,84,86,89,27,61
71,43,16,82,21,87,89,59
69,11,80,52,85,84,61,30
64,32,73,80,20,87,90,63
37,69,40,43,75,49,87,58
64,74,78,80,48,84,61,94
98,74,77,78,83,52,85,54
33,68,17,51,61,90,29,30
98,66,101,71,72,77,79,93
97,99,69,102,72,17,52,54
97,98,99,82,54,88,91,29
97,99,70,74,85,57,91,63
101,103,104,79,80,86,91,60
99,59,45,82,29,27,93,94
100,36,42,107,79,48,85,59
69,104,106,82,89,91,62,63
32,99,76,79,82,51,83,90
67,100,103,108,76,85,53,56
64,103,104,39,83,20,52,84
101,71,41,109,110,79,50,58
64,99,36,69,102,45,90,92
99,80,50,24,90,91,29,95
97,102,78,110,48,53,54,87
101,70,106,46,111,112,82,52
96,34,66,107,13,87,93,95
100,108,110,111,82,116,54,61
98,74,75,80,82,86,57,90
65,103,106,113,83,51,60,94
99,36,116,117,118,120,93,95
65,97,36,74,43,77,86,28
34,99,104,112,85,119,120,92
34,66,98,104,40,77,56,124
97,37,38,49,93,91,92,61
36,73,108,111,113,84,123,31
99,109,111,114,116,120,94,63
64,104,91,84,120,89,27,60
128,39,60,85,120,28,61,127
98,100,105,108,80,118,121,122
66,104,73,109,115,89,123,124
38,108,113,82,120,89,125,95
101,105,48,112,83,55,62,63
131,109,78,110,85,90,27,125
97,101,107,110,117,120,93,95
99,136,80,19,86,55,88,31
132,37,136,105,137,115,119,123
133,137,84,120,122,92,125,126
34,136,44,45,83,116,118,91
99,71,73,79,116,88,94,127
67,69,71,9,106,117,59,60
38,141,48,50,51,84,123,63
96,11,113,51,116,60,93,95
131,110,80,144,85,118,120,123
130,101,135,45,142,52,53,119
38,102,13,109,141,50,116,89
67,136,76,110,48,145,144,55
64,102,136,137,73,139,77,124
69,90,107,145,19,149,122,63
69,74,92,113,116,23,60,95
70,39,136,106,108,148,86,150
135,74,109,143,122,29,62,95
97,131,70,10,45,145,149,150
100,72,76,111,144,148,84,151
41,139,148,117,85,154,124,93
136,109,141,81,147,148,54,25
99,67,140,85,157,121,58,125
130,99,143,54,119,152,88,30
64,41,140,110,55,57,27,157
68,136,139,75,143,54,56,156
131,104,41,142,112,82,84,90
162,66,137,145,150,124,94,63
137,74,41,141,78,79,144,26
129,163,133,73,137,151,60,62
107,109,47,145,52,87,120,154
66,165,166,103,107,156,120,60
65,162,161,77,112,114,54,155
68,102,142,54,151,152,124,127
103,105,109,142,79,145,148,62
128,130,168,51,118,88,123,60
26,166,83,20,153,90,92,127
167,72,46,112,116,124,125,127
161,72,171,79,81,115,88,59
96,129,101,170,77,109,113,157
160,164,166,105,170,150,86,153
162,100,134,139,171,175,150,125
130,70,169,142,176,120,57,122
89,102,135,168,136,88,121,155
135,169,9,81,177,179,21,87
129,105,92,177,17,153,156,93
129,98,171,175,147,118,28,95
130,164,136,172,142,54,151,123
129,164,173,80,23,183,125,63
64,103,170,176,17,145,118,22
163,106,144,145,183,152,184,95
129,164,137,170,107,171,184,125
132,102,105,138,14,82,156,125
32,100,70,74,138,80,115,25
134,71,136,106,178,149,55,187
163,165,170,46,178,125,126,159
164,77,173,110,79,52,87,55
96,136,76,177,114,151,125,191
64,143,115,19,119,186,188,125
130,137,10,172,142,187,156,159
195,134,104,76,115,119,186,127
193,165,72,142,157,119,156,61
196,73,176,145,118,87,122,125
97,135,169,170,42,172,188,126
164,168,170,141,174,181,85,182
196,101,169,45,179,117,182,151
38,135,140,111,112,153,29,127
193,34,194,168,200,50,178,91
165,39,138,147,56,187,124,189
162,196,14,176,50,187,158,191
162,175,112,79,178,53,127,95
197,168,200,173,176,178,147,121
191,103,73,137,173,118,24,63
193,97,166,168,146,185,155,94
128,98,133,105,106,180,60,189
130,132,71,201,175,116,185,63
132,164,100,170,139,146,147,57
99,134,138,173,47,175,49,125
194,132,200,203,140,213,119,186
162,66,167,110,147,212,55,151
99,197,69,103,171,203,175,212
162,136,137,76,110,206,208,216
162,194,166,145,209,210,150,123
166,171,175,113,180,150,156,127
98,73,219,86,217,91,189,95
96,161,198,71,87,91,92,93
164,133,205,112,177,214,120,30
100,166,73,115,147,215,152,190
197,200,105,40,73,218,156,189
193,194,68,74,106,89,94,127
192,164,199,141,111,188,125,159
192,33,129,225,165,202,118,89
166,186,171,84,184,153,58,57
225,100,102,75,47,183,187,190
172,141,143,51,148,217,123,223
162,35,228,204,18,87,155,61
98,166,136,44,206,175,182,219
161,195,229,232,169,203,220,95
224,66,204,110,208,179,115,150
67,197,134,167,77,209,90,223
193,35,71,232,138,77,207,218
226,198,200,171,17,86,187,220
226,227,196,200,150,184,154,126
65,121,105,141,237,185,186,93
162,134,168,105,107,206,87,55
167,136,207,176,209,147,56,189
72,234,142,47,176,210,149,151
194,105,170,75,46,142,176,221
129,132,166,203,140,46,148,117
194,137,170,233,178,120,90,220
32,225,101,236,206,179,119,151
161,166,168,235,242,212,155,191
224,134,230,239,241,145,210,88
228,240,81,209,16,244,215,123
226,196,70,135,139,115,84,95
134,199,168,237,110,143,249,124
64,161,101,237,211,215,56,219
129,225,142,81,145,118,87,216
225,226,100,107,118,151,152,156
128,66,71,173,238,150,184,190
160,67,234,111,208,79,58,123
161,134,167,232,72,144,242,182
130,131,134,244,245,22,216,253
130,101,231,136,135,45,219,188
192,130,228,106,217,221,254,57
256,32,162,169,240,56,253,125
194,9,204,144,84,186,91,191
33,193,198,136,180,219,124,255
96,97,171,205,238,77,189,29
197,137,175,209,148,213,247,252
101,166,262,117,150,248,122,222
226,131,228,133,102,201,150,119
225,66,261,266,207,113,181,190
194,201,43,268,52,181,55,188
224,257,33,262,74,210,184,63
37,230,238,114,83,246,248,217
160,257,226,175,120,217,124,62
197,263,208,209,147,244,155,157
259,103,169,235,270,211,62,126
225,70,237,239,144,156,90,252
166,232,235,268,207,144,121,30
231,41,42,203,268,178,210,214
229,262,167,199,270,210,82,189
260,261,199,263,233,274,253,221
230,135,168,137,236,270,277,153
192,194,130,47,217,251,190,158
261,229,264,234,268,210,89,60
33,135,138,203,268,120,24,125
256,163,186,139,269,245,217,282
261,103,170,203,239,47,273,247
227,260,195,167,200,265,273,185
257,198,169,235,271,179,246,184
130,232,108,284,184,122,187,188
161,231,45,210,276,278,57,59
128,227,198,171,149,94,185,190
229,263,170,74,272,210,56,285
288,100,197,263,244,180,246,191
289,260,261,38,292,236,213,217
224,265,137,140,178,243,151,220
225,261,143,17,180,279,90,247
97,261,229,231,234,211,57,218
224,33,131,172,276,245,250,255
260,167,138,172,239,79,84,89
289,217,293,205,184,281,186,94
294,167,264,199,271,184,189,223
290,5,267,270,150,218,155,63
229,136,137,206,174,208,213,286
257,130,101,102,265,138,204,118
131,68,260,263,268,213,280,125
104,232,204,205,303,86,278,153
293,101,294,168,231,205,85,286
195,232,268,239,304,273,213,217
249,230,135,210,243,185,251,95
229,166,237,272,210,276,308,281
192,227,165,199,138,272,177,189
132,170,108,45,208,307,116,183
261,167,232,136,176,151,218,252
167,169,268,44,13,108,276,280
233,268,301,80,209,310,251,286
197,299,236,139,115,148,277,283
195,295,234,269,275,58,157,94
197,301,272,240,244,88,249,285
256,103,237,110,275,246,154,252
264,170,107,301,241,117,54,86
292,262,172,109,243,277,182,93
320,290,98,228,139,310,123,255
70,39,231,270,275,312,221,254
288,65,129,228,200,244,117,246
256,134,168,178,307,308,117,218
224,136,169,177,277,313,315,189
106,300,304,114,276,278,217,282
290,325,293,198,171,45,283,220
202,74,175,117,278,248,121,285
66,258,260,239,278,189,93,255
256,257,329,235,150,311,87,91
256,97,259,195,239,303,213,248
196,197,260,294,329,301,216,154
33,294,329,209,213,216,251,222
68,294,271,274,247,125,286,31
288,130,171,173,302,147,179,155
295,297,202,268,302,243,148,158
291,38,241,146,305,156,94,191
320,327,45,335,22,284,221,318
325,198,201,300,270,278,24,250
257,162,195,322,296,109,238,154
160,164,327,111,178,277,278,280
224,67,8,105,329,210,308,218
160,262,334,271,176,180,216,95
323,233,74,237,173,336,145,287
162,99,166,200,234,303,240,18
229,335,303,151,345,60,221,255
264,266,203,111,148,254,247,222
192,227,196,268,336,273,306,88
288,165,264,81,281,218,222,286
129,327,231,139,145,157,311,189
290,269,273,210,83,309,277,190
224,328,297,179,245,313,314,222
193,132,231,328,137,44,276,280
192,36,261,296,330,107,239,247
256,196,228,197,298,238,188,350
260,229,111,242,180,341,215,351
161,355,68,230,295,143,314,187
257,227,69,262,234,77,89,127
224,290,104,332,77,277,217,283
200,142,176,307,339,213,185,63
228,294,266,333,206,274,309,222
258,166,302,211,149,281,190,158
324,328,345,273,340,217,186,351
228,233,170,300,177,178,209,126
153,100,331,109,121,315,254,287
288,229,325,261,251,209,340,283
289,262,360,242,118,153,285,255
262,168,332,365,141,83,342,223
288,100,101,135,297,331,274,185
325,199,44,333,366,175,305,274
195,324,360,363,301,275,342,220
321,325,199,236,173,343,186,126
162,72,267,372,213,246,152,187
352,325,358,327,136,338,211,276
322,135,364,368,177,307,213,281
288,320,160,296,300,370,210,346
293,197,74,77,305,94,251,62
229,261,198,366,271,368,374,377
352,354,327,142,145,312,313,349
324,236,142,81,274,308,149,376
357,111,251,340,184,281,123,221
257,101,357,109,50,243,150,187
288,355,77,333,207,373,57,317
321,358,232,361,368,337,272,279
326,263,335,338,343,376,251,380
96,261,327,331,236,365,370,286
42,364,47,336,376,28,285,383
385,257,297,270,308,309,252,159
162,355,302,239,209,212,344,222
262,361,300,237,335,156,346,348
385,301,46,304,188,277,348,221
386,355,322,234,371,312,281,316
294,40,330,267,237,209,242,186
264,174,270,368,181,218,252,317
321,354,231,76,116,346,318,383
386,357,69,358,326,157,254,383
133,268,365,175,303,146,243,83
293,107,109,337,114,241,349,63
323,100,364,370,276,180,20,311
192,138,236,176,149,375,280,377
