"[209, 209, -89, 4, 0]","[209, 209, -89, 4, 0]","[209, 209, -89, 4, 0]","[209, 209, -89, 4, 0]"
"[209, 0, -89, 4, 0]","[209, 209, -89, 4, 0]","[209, 209, -89, 4, 0]","[209, 209, -89, 4, 0]"
"[209, 0, -90, 4, 1]","[209, 0, -89, 4, 0]","[209, 209, -89, 4, 0]","[209, 209, -89, 4, 0]"
"[209, 0, -90, 4, 2]","[209, 0, -90, 4, 1]","[209, 0, -89, 4, 0]","[209, 209, -89, 4, 0]"
"[209, 0, -90, 4, 2]","[209, 0, -90, 4, 2]","[209, 0, -90, 4, 1]","[209, 0, -89, 4, 0]"
"[209, 0, -89, 4, 3]","[209, 0, -90, 4, 2]","[209, 0, -90, 4, 2]","[209, 0, -90, 4, 1]"
"[209, 0, -87, 4, 4]","[209, 0, -89, 4, 3]","[209, 0, -90, 4, 2]","[209, 0, -90, 4, 2]"
"[209, 0, -86, 4, 4]","[209, 0, -87, 4, 4]","[209, 0, -89, 4, 3]","[209, 0, -90, 4, 2]"
"[209, 0, -83, 4, 5]","[209, 0, -86, 4, 4]","[209, 0, -87, 4, 4]","[209, 0, -89, 4, 3]"
"[209, 0, -80, 4, 6]","[209, 0, -83, 4, 5]","[209, 0, -86, 4, 4]","[209, 0, -87, 4, 4]"
"[209, 0, -76, 4, 6]","[209, 0, -80, 4, 6]","[209, 0, -83, 4, 5]","[209, 0, -86, 4, 4]"
"[209, 0, -71, 4, 7]","[209, 0, -76, 4, 6]","[209, 0, -80, 4, 6]","[209, 0, -83, 4, 5]"
"[209, 0, -67, 4, 8]","[209, 0, -71, 4, 7]","[209, 0, -76, 4, 6]","[209, 0, -80, 4, 6]"
"[209, 0, -61, 4, 8]","[209, 0, -67, 4, 8]","[209, 0, -71, 4, 7]","[209, 0, -76, 4, 6]"
"[209, 0, -54, 4, 9]","[209, 0, -61, 4, 8]","[209, 0, -67, 4, 8]","[209, 0, -71, 4, 7]"
"[209, 0, -48, 4, 9]","[209, 0, -54, 4, 9]","[209, 0, -61, 4, 8]","[209, 0, -67, 4, 8]"
"[209, 7, -41, 4, 10]","[209, 0, -48, 4, 9]","[209, 0, -54, 4, 9]","[209, 0, -61, 4, 8]"
"[209, 35, -34, 4, 10]","[209, 7, -41, 4, 10]","[209, 0, -48, 4, 9]","[209, 0, -54, 4, 9]"
"[209, 63, -26, 4, 10]","[209, 35, -34, 4, 10]","[209, 7, -41, 4, 10]","[209, 0, -48, 4, 9]"
"[209, 95, -19, 4, 10]","[209, 63, -26, 4, 10]","[209, 35, -34, 4, 10]","[209, 7, -41, 4, 10]"
"[209, 123, -13, 4, 10]","[209, 95, -19, 4, 10]","[209, 63, -26, 4, 10]","[209, 35, -34, 4, 10]"
"[209, 146, -6, 4, 11]","[209, 123, -13, 4, 10]","[209, 95, -19, 4, 10]","[209, 63, -26, 4, 10]"
