"['210', '210', '53', 1.5]","['210', '210', '53', 1.5]","['210', '210', '53', 1.5]","['210', '210', '53', 1.5]"
"['210', '110', '57', 3.5]","['210', '210', '53', 1.5]","['210', '210', '53', 1.5]","['210', '210', '53', 1.5]"
"['210', '110', '57', 3.5]","['210', '110', '57', 3.5]","['210', '210', '53', 1.5]","['210', '210', '53', 1.5]"
"['210', '110', '47', 3.5]","['210', '110', '57', 3.5]","['210', '110', '57', 3.5]","['210', '210', '53', 1.5]"
"['10', '110', '40', 3.5]","['210', '110', '47', 3.5]","['210', '110', '57', 3.5]","['210', '110', '57', 3.5]"
"['210', '110', '33', 4.5]","['10', '110', '40', 3.5]","['210', '110', '47', 3.5]","['210', '110', '57', 3.5]"
"['210', '110', '24', 4]","['210', '110', '33', 4.5]","['10', '110', '40', 3.5]","['210', '110', '47', 3.5]"
"['210', '125', '17', 3.5]","['210', '110', '24', 4]","['210', '110', '33', 4.5]","['10', '110', '40', 3.5]"
"['210', '150', '9', 3.5]","['210', '125', '17', 3.5]","['210', '110', '24', 4]","['210', '110', '33', 4.5]"
"['210', '178', '5', 3.5]","['210', '150', '9', 3.5]","['210', '125', '17', 3.5]","['210', '110', '24', 4]"
"['210', '192', '3', 3.5]","['210', '178', '5', 3.5]","['210', '150', '9', 3.5]","['210', '125', '17', 3.5]"
"['210', '182', '6', 9]","['210', '192', '3', 3.5]","['210', '178', '5', 3.5]","['210', '150', '9', 3.5]"
"['210', '188', '4', 3.5]","['210', '182', '6', 9]","['210', '192', '3', 3.5]","['210', '178', '5', 3.5]"
"['210', '195', '1', 3.5]","['210', '188', '4', 3.5]","['210', '182', '6', 9]","['210', '192', '3', 3.5]"
"['210', '206', '-1', 3.5]","['210', '195', '1', 3.5]","['210', '188', '4', 3.5]","['210', '182', '6', 9]"
"['208', '210', '-1', 3.5]","['210', '206', '-1', 3.5]","['210', '195', '1', 3.5]","['210', '188', '4', 3.5]"
"['208', '210', '-1', 4]","['208', '210', '-1', 3.5]","['210', '206', '-1', 3.5]","['210', '195', '1', 3.5]"
"['208', '210', '1', 3.5]","['208', '210', '-1', 4]","['208', '210', '-1', 3.5]","['210', '206', '-1', 3.5]"
"['210', '206', '3', 3.5]","['208', '210', '1', 3.5]","['208', '210', '-1', 4]","['208', '210', '-1', 3.5]"
"['210', '199', '2', 3.5]","['210', '206', '3', 3.5]","['208', '210', '1', 3.5]","['208', '210', '-1', 4]"
"['210', '202', '-1', 3.5]","['210', '199', '2', 3.5]","['210', '206', '3', 3.5]","['208', '210', '1', 3.5]"
"['206', '210', '-2', 6]","['210', '202', '-1', 3.5]","['210', '199', '2', 3.5]","['210', '206', '3', 3.5]"
"['205', '210', '0', 3.5]","['206', '210', '-2', 6]","['210', '202', '-1', 3.5]","['210', '199', '2', 3.5]"
"['210', '209', '-1', 3.5]","['205', '210', '0', 3.5]","['206', '210', '-2', 6]","['210', '202', '-1', 3.5]"
"['208', '210', '-1', 3.5]","['210', '209', '-1', 3.5]","['205', '210', '0', 3.5]","['206', '210', '-2', 6]"
"['208', '210', '0', 3.5]","['208', '210', '-1', 3.5]","['210', '209', '-1', 3.5]","['205', '210', '0', 3.5]"
"['210', '209', '-2', 2]","['208', '210', '0', 3.5]","['208', '210', '-1', 3.5]","['210', '209', '-1', 3.5]"
"['208', '210', '-4', 2]","['210', '209', '-2', 2]","['208', '210', '0', 3.5]","['208', '210', '-1', 3.5]"
"['204', '210', '0', 2]","['208', '210', '-4', 2]","['210', '209', '-2', 2]","['208', '210', '0', 3.5]"
"['210', '209', '1', 2]","['204', '210', '0', 2]","['208', '210', '-4', 2]","['210', '209', '-2', 2]"
