"['210', '210', '44', 1.5]","['210', '210', '47', 1.5]","['210', '210', '45', 1.5]","['210', '210', '44', 1.5]"
"['210', '110', '43', 6]","['210', '210', '44', 1.5]","['210', '210', '47', 1.5]","['210', '210', '45', 1.5]"
"['210', '110', '40', 6]","['210', '110', '43', 6]","['210', '210', '44', 1.5]","['210', '210', '47', 1.5]"
"['210', '110', '33', 6]","['210', '110', '40', 6]","['210', '110', '43', 6]","['210', '210', '44', 1.5]"
"['210', '110', '26', 6]","['210', '110', '33', 6]","['210', '110', '40', 6]","['210', '110', '43', 6]"
"['210', '110', '25', 6]","['210', '110', '26', 6]","['210', '110', '33', 6]","['210', '110', '40', 6]"
"['210', '110', '16', 6]","['210', '110', '25', 6]","['210', '110', '26', 6]","['210', '110', '33', 6]"
"['210', '110', '10', 2]","['210', '110', '16', 6]","['210', '110', '25', 6]","['210', '110', '26', 6]"
"['210', '178', '6', 6]","['210', '110', '10', 2]","['210', '110', '16', 6]","['210', '110', '25', 6]"
"['210', '183', '9', 4.5]","['210', '178', '6', 6]","['210', '110', '10', 2]","['210', '110', '16', 6]"
"['210', '156', '10', 6]","['210', '183', '9', 4.5]","['210', '178', '6', 6]","['210', '110', '10', 2]"
"['210', '150', '9', 6]","['210', '156', '10', 6]","['210', '183', '9', 4.5]","['210', '178', '6', 6]"
"['210', '156', '6', 6]","['210', '150', '9', 6]","['210', '156', '10', 6]","['210', '183', '9', 4.5]"
"['210', '174', '2', 6]","['210', '156', '6', 6]","['210', '150', '9', 6]","['210', '156', '10', 6]"
"['210', '198', '0', 6]","['210', '174', '2', 6]","['210', '156', '6', 6]","['210', '150', '9', 6]"
"['210', '210', '2', 6]","['210', '198', '0', 6]","['210', '174', '2', 6]","['210', '156', '6', 6]"
"['210', '198', '5', 6]","['210', '210', '2', 6]","['210', '198', '0', 6]","['210', '174', '2', 6]"
"['210', '179', '2', 6]","['210', '198', '5', 6]","['210', '210', '2', 6]","['210', '198', '0', 6]"
"['210', '179', '3', 2]","['210', '179', '2', 6]","['210', '198', '5', 6]","['210', '210', '2', 6]"
"['210', '203', '5', 2]","['210', '179', '3', 2]","['210', '179', '2', 6]","['210', '198', '5', 6]"
"['210', '199', '9', 2]","['210', '203', '5', 2]","['210', '179', '3', 2]","['210', '179', '2', 6]"
"['210', '191', '3', 2]","['210', '199', '9', 2]","['210', '203', '5', 2]","['210', '179', '3', 2]"
"['210', '191', '0', 6]","['210', '191', '3', 2]","['210', '199', '9', 2]","['210', '203', '5', 2]"
"['210', '191', '-3', 6]","['210', '191', '0', 6]","['210', '191', '3', 2]","['210', '199', '9', 2]"
"['198', '210', '-2', 4.5]","['210', '191', '-3', 6]","['210', '191', '0', 6]","['210', '191', '3', 2]"
"['198', '210', '1', 4.5]","['198', '210', '-2', 4.5]","['210', '191', '-3', 6]","['210', '191', '0', 6]"
"['210', '205', '2', 4.5]","['198', '210', '1', 4.5]","['198', '210', '-2', 4.5]","['210', '191', '-3', 6]"
"['210', '200', '0', 4.5]","['210', '205', '2', 4.5]","['198', '210', '1', 4.5]","['198', '210', '-2', 4.5]"
"['210', '209', '-4', 4.5]","['210', '200', '0', 4.5]","['210', '205', '2', 4.5]","['198', '210', '1', 4.5]"
"['194', '210', '-3', 4.5]","['210', '209', '-4', 4.5]","['210', '200', '0', 4.5]","['210', '205', '2', 4.5]"
"['198', '210', '2', 4.5]","['194', '210', '-3', 4.5]","['210', '209', '-4', 4.5]","['210', '200', '0', 4.5]"
"['210', '200', '8', 4.5]","['198', '210', '2', 4.5]","['194', '210', '-3', 4.5]","['210', '209', '-4', 4.5]"
"['210', '193', '7', 2]","['210', '200', '8', 4.5]","['198', '210', '2', 4.5]","['194', '210', '-3', 4.5]"
"['210', '195', '1', 2]","['210', '193', '7', 2]","['210', '200', '8', 4.5]","['198', '210', '2', 4.5]"
"['210', '207', '1', 2]","['210', '195', '1', 2]","['210', '193', '7', 2]","['210', '200', '8', 4.5]"
"['210', '203', '0', 6]","['210', '207', '1', 2]","['210', '195', '1', 2]","['210', '193', '7', 2]"
"['210', '203', '-2', 4.5]","['210', '203', '0', 6]","['210', '207', '1', 2]","['210', '195', '1', 2]"
"['203', '210', '4', 4.5]","['210', '203', '-2', 4.5]","['210', '203', '0', 6]","['210', '207', '1', 2]"
"['210', '191', '5', 4.5]","['203', '210', '4', 4.5]","['210', '203', '-2', 4.5]","['210', '203', '0', 6]"
"['210', '187', '0', 4.5]","['210', '191', '5', 4.5]","['203', '210', '4', 4.5]","['210', '203', '-2', 4.5]"
"['210', '209', '-6', 2]","['210', '187', '0', 4.5]","['210', '191', '5', 4.5]","['203', '210', '4', 4.5]"
"['185', '210', '-11', 4.5]","['210', '209', '-6', 2]","['210', '187', '0', 4.5]","['210', '191', '5', 4.5]"
"['162', '210', '-10', 4.5]","['185', '210', '-11', 4.5]","['210', '209', '-6', 2]","['210', '187', '0', 4.5]"
"['177', '210', '-5', 3.5]","['162', '210', '-10', 4.5]","['185', '210', '-11', 4.5]","['210', '209', '-6', 2]"
"['177', '210', '-4', 4.5]","['177', '210', '-5', 3.5]","['162', '210', '-10', 4.5]","['185', '210', '-11', 4.5]"
"['176', '210', '-4', 9]","['177', '210', '-4', 4.5]","['177', '210', '-5', 3.5]","['162', '210', '-10', 4.5]"
"['176', '210', '-4', 2]","['176', '210', '-4', 9]","['177', '210', '-4', 4.5]","['177', '210', '-5', 3.5]"
"['203', '210', '-8', 2]","['176', '210', '-4', 2]","['176', '210', '-4', 9]","['177', '210', '-4', 4.5]"
"['203', '210', '-5', 2]","['203', '210', '-8', 2]","['176', '210', '-4', 2]","['176', '210', '-4', 9]"
"['195', '210', '-1', 2]","['203', '210', '-5', 2]","['203', '210', '-8', 2]","['176', '210', '-4', 2]"
"['201', '210', '0', 2]","['195', '210', '-1', 2]","['203', '210', '-5', 2]","['203', '210', '-8', 2]"
"['210', '210', '-2', 4.5]","['201', '210', '0', 2]","['195', '210', '-1', 2]","['203', '210', '-5', 2]"
"['202', '210', '-5', 4.5]","['210', '210', '-2', 4.5]","['201', '210', '0', 2]","['195', '210', '-1', 2]"
