"['210', '210', '50', 1.5]","['210', '210', '50', 1.5]","['210', '210', '50', 1.5]","['210', '210', '50', 1.5]"
"['210', '110', '52', 4]","['210', '210', '50', 1.5]","['210', '210', '50', 1.5]","['210', '210', '50', 1.5]"
"['210', '110', '47', 4]","['210', '110', '52', 4]","['210', '210', '50', 1.5]","['210', '210', '50', 1.5]"
"['210', '110', '40', 4.5]","['210', '110', '47', 4]","['210', '110', '52', 4]","['210', '210', '50', 1.5]"
"['210', '110', '32', 4]","['210', '110', '40', 4.5]","['210', '110', '47', 4]","['210', '110', '52', 4]"
"['210', '110', '28', 4]","['210', '110', '32', 4]","['210', '110', '40', 4.5]","['210', '110', '47', 4]"
"['210', '154', '22', 2]","['210', '110', '28', 4]","['210', '110', '32', 4]","['210', '110', '40', 4.5]"
"['210', '122', '16', 4]","['210', '154', '22', 2]","['210', '110', '28', 4]","['210', '110', '32', 4]"
"['210', '153', '11', 3.5]","['210', '122', '16', 4]","['210', '154', '22', 2]","['210', '110', '28', 4]"
"['210', '165', '8', 4]","['210', '153', '11', 3.5]","['210', '122', '16', 4]","['210', '154', '22', 2]"
"['210', '177', '5', 4]","['210', '165', '8', 4]","['210', '153', '11', 3.5]","['210', '122', '16', 4]"
"['210', '164', '1', 9]","['210', '177', '5', 4]","['210', '165', '8', 4]","['210', '153', '11', 3.5]"
"['210', '205', '-1', 4]","['210', '164', '1', 9]","['210', '177', '5', 4]","['210', '165', '8', 4]"
"['208', '210', '-5', 4]","['210', '205', '-1', 4]","['210', '164', '1', 9]","['210', '177', '5', 4]"
"['192', '210', '-7', 4]","['208', '210', '-5', 4]","['210', '205', '-1', 4]","['210', '164', '1', 9]"
"['184', '210', '-5', 4]","['192', '210', '-7', 4]","['208', '210', '-5', 4]","['210', '205', '-1', 4]"
"['192', '210', '-3', 4]","['184', '210', '-5', 4]","['192', '210', '-7', 4]","['208', '210', '-5', 4]"
"['200', '210', '-4', 4]","['192', '210', '-3', 4]","['184', '210', '-5', 4]","['192', '210', '-7', 4]"
"['195', '210', '-5', 4]","['200', '210', '-4', 4]","['192', '210', '-3', 4]","['184', '210', '-5', 4]"
"['191', '210', '-5', 4]","['195', '210', '-5', 4]","['200', '210', '-4', 4]","['192', '210', '-3', 4]"
"['191', '210', '-4', 4]","['191', '210', '-5', 4]","['195', '210', '-5', 4]","['200', '210', '-4', 4]"
"['195', '210', '-6', 4]","['191', '210', '-4', 4]","['191', '210', '-5', 4]","['195', '210', '-5', 4]"
"['187', '210', '-4', 4]","['195', '210', '-6', 4]","['191', '210', '-4', 4]","['191', '210', '-5', 4]"
"['195', '210', '-2', 4]","['187', '210', '-4', 4]","['195', '210', '-6', 4]","['191', '210', '-4', 4]"
"['203', '210', '-2', 4]","['195', '210', '-2', 4]","['187', '210', '-4', 4]","['195', '210', '-6', 4]"
"['203', '210', '-2', 4]","['203', '210', '-2', 4]","['195', '210', '-2', 4]","['187', '210', '-4', 4]"
"['203', '210', '0', 4]","['203', '210', '-2', 4]","['203', '210', '-2', 4]","['195', '210', '-2', 4]"
"['210', '210', '3', 4]","['203', '210', '0', 4]","['203', '210', '-2', 4]","['203', '210', '-2', 4]"
"['210', '198', '3', 4]","['210', '210', '3', 4]","['203', '210', '0', 4]","['203', '210', '-2', 4]"
"['210', '198', '3', 4]","['210', '198', '3', 4]","['210', '210', '3', 4]","['203', '210', '0', 4]"
"['210', '198', '4', 4]","['210', '198', '3', 4]","['210', '198', '3', 4]","['210', '210', '3', 4]"
"['210', '194', '4', 4]","['210', '198', '4', 4]","['210', '198', '3', 4]","['210', '198', '3', 4]"
"['210', '186', '7', 6]","['210', '194', '4', 4]","['210', '198', '4', 4]","['210', '198', '3', 4]"
"['210', '182', '4', 4]","['210', '186', '7', 6]","['210', '194', '4', 4]","['210', '198', '4', 4]"
"['210', '194', '1', 4]","['210', '182', '4', 4]","['210', '186', '7', 6]","['210', '194', '4', 4]"
"['210', '206', '-1', 4]","['210', '194', '1', 4]","['210', '182', '4', 4]","['210', '186', '7', 6]"
"['207', '210', '-3', 4]","['210', '206', '-1', 4]","['210', '194', '1', 4]","['210', '182', '4', 4]"
"['201', '210', '-1', 3.5]","['207', '210', '-3', 4]","['210', '206', '-1', 4]","['210', '194', '1', 4]"
"['1', '210', '-1', 4]","['201', '210', '-1', 3.5]","['207', '210', '-3', 4]","['210', '206', '-1', 4]"
"['207', '210', '-2', 4]","['1', '210', '-1', 4]","['201', '210', '-1', 3.5]","['207', '210', '-3', 4]"
"['203', '210', '-5', 4]","['207', '210', '-2', 4]","['1', '210', '-1', 4]","['201', '210', '-1', 3.5]"
"['191', '210', '-5', 4]","['203', '210', '-5', 4]","['207', '210', '-2', 4]","['1', '210', '-1', 4]"
"['191', '210', '-5', 4]","['191', '210', '-5', 4]","['203', '210', '-5', 4]","['207', '210', '-2', 4]"
"['191', '210', '-5', 4]","['191', '210', '-5', 4]","['191', '210', '-5', 4]","['203', '210', '-5', 4]"
"['191', '210', '-6', 4]","['191', '210', '-5', 4]","['191', '210', '-5', 4]","['191', '210', '-5', 4]"
"['184', '210', '-8', 4.5]","['191', '210', '-6', 4]","['191', '210', '-5', 4]","['191', '210', '-5', 4]"
"['179', '210', '-7', 4]","['184', '210', '-8', 4.5]","['191', '210', '-6', 4]","['191', '210', '-5', 4]"
"['148', '210', '-5', 9]","['179', '210', '-7', 4]","['184', '210', '-8', 4.5]","['191', '210', '-6', 4]"
"['191', '210', '-5', 4]","['148', '210', '-5', 9]","['179', '210', '-7', 4]","['184', '210', '-8', 4.5]"
"['191', '210', '-2', 4]","['191', '210', '-5', 4]","['148', '210', '-5', 9]","['179', '210', '-7', 4]"
"['207', '210', '-4', 2]","['191', '210', '-2', 4]","['191', '210', '-5', 4]","['148', '210', '-5', 9]"
"['203', '210', '-4', 2]","['207', '210', '-4', 2]","['191', '210', '-2', 4]","['191', '210', '-5', 4]"
"['195', '210', '-5', 4]","['203', '210', '-4', 2]","['207', '210', '-4', 2]","['191', '210', '-2', 4]"
"['191', '210', '-5', 4]","['195', '210', '-5', 4]","['203', '210', '-4', 2]","['207', '210', '-4', 2]"
"['166', '210', '-7', 9]","['191', '210', '-5', 4]","['195', '210', '-5', 4]","['203', '210', '-4', 2]"
"['148', '210', '-7', 9]","['166', '210', '-7', 9]","['191', '210', '-5', 4]","['195', '210', '-5', 4]"
"['148', '210', '-3', 9]","['148', '210', '-7', 9]","['166', '210', '-7', 9]","['191', '210', '-5', 4]"
"['199', '210', '0', 4]","['148', '210', '-3', 9]","['148', '210', '-7', 9]","['166', '210', '-7', 9]"
"['210', '210', '2', 4]","['199', '210', '0', 4]","['148', '210', '-3', 9]","['148', '210', '-7', 9]"
"['210', '202', '1', 4]","['210', '210', '2', 4]","['199', '210', '0', 4]","['148', '210', '-3', 9]"
"['210', '206', '0', 4]","['210', '202', '1', 4]","['210', '210', '2', 4]","['199', '210', '0', 4]"
"['210', '210', '0', 4]","['210', '206', '0', 4]","['210', '202', '1', 4]","['210', '210', '2', 4]"
"['210', '210', '0', 9]","['210', '210', '0', 4]","['210', '206', '0', 4]","['210', '202', '1', 4]"
"['210', '210', '-1', 9]","['210', '210', '0', 9]","['210', '210', '0', 4]","['210', '206', '0', 4]"
"['202', '210', '-5', 9]","['210', '210', '-1', 9]","['210', '210', '0', 9]","['210', '210', '0', 4]"
"['191', '210', '-5', 4]","['202', '210', '-5', 9]","['210', '210', '-1', 9]","['210', '210', '0', 9]"
"['181', '210', '-6', 6]","['191', '210', '-5', 4]","['202', '210', '-5', 9]","['210', '210', '-1', 9]"
"['187', '210', '-7', 4]","['181', '210', '-6', 6]","['191', '210', '-5', 4]","['202', '210', '-5', 9]"
"['183', '210', '-9', 4]","['187', '210', '-7', 4]","['181', '210', '-6', 6]","['191', '210', '-5', 4]"
"['175', '210', '-9', 4]","['183', '210', '-9', 4]","['187', '210', '-7', 4]","['181', '210', '-6', 6]"
"['175', '210', '-7', 4]","['175', '210', '-9', 4]","['183', '210', '-9', 4]","['187', '210', '-7', 4]"
"['183', '210', '-8', 4]","['175', '210', '-7', 4]","['175', '210', '-9', 4]","['183', '210', '-9', 4]"
"['179', '210', '-5', 4]","['183', '210', '-8', 4]","['175', '210', '-7', 4]","['175', '210', '-9', 4]"
"['166', '210', '-5', 9]","['179', '210', '-5', 4]","['183', '210', '-8', 4]","['175', '210', '-7', 4]"
"['191', '210', '-4', 4]","['166', '210', '-5', 9]","['179', '210', '-5', 4]","['183', '210', '-8', 4]"
"['195', '210', '-4', 4]","['191', '210', '-4', 4]","['166', '210', '-5', 9]","['179', '210', '-5', 4]"
"['195', '210', '-5', 4]","['195', '210', '-4', 4]","['191', '210', '-4', 4]","['166', '210', '-5', 9]"
"['191', '210', '-7', 4]","['195', '210', '-5', 4]","['195', '210', '-4', 4]","['191', '210', '-4', 4]"
"['183', '210', '-7', 4]","['191', '210', '-7', 4]","['195', '210', '-5', 4]","['195', '210', '-4', 4]"
"['179', '210', '-4', 4.5]","['183', '210', '-7', 4]","['191', '210', '-7', 4]","['195', '210', '-5', 4]"
"['195', '210', '-7', 4]","['179', '210', '-4', 4.5]","['183', '210', '-7', 4]","['191', '210', '-7', 4]"
"['183', '210', '-7', 4]","['195', '210', '-7', 4]","['179', '210', '-4', 4.5]","['183', '210', '-7', 4]"
"['183', '210', '-6', 4]","['183', '210', '-7', 4]","['195', '210', '-7', 4]","['179', '210', '-4', 4.5]"
"['187', '210', '-8', 4]","['183', '210', '-6', 4]","['183', '210', '-7', 4]","['195', '210', '-7', 4]"
"['163', '210', '-9', 6]","['187', '210', '-8', 4]","['183', '210', '-6', 4]","['183', '210', '-7', 4]"
"['175', '210', '-8', 4]","['163', '210', '-9', 6]","['187', '210', '-8', 4]","['183', '210', '-6', 4]"
"['179', '210', '-9', 4]","['175', '210', '-8', 4]","['163', '210', '-9', 6]","['187', '210', '-8', 4]"
"['175', '210', '-8', 4]","['179', '210', '-9', 4]","['175', '210', '-8', 4]","['163', '210', '-9', 6]"
