"['210', '210', '55', 1.5]","['210', '210', '55', 1.5]","['210', '210', '55', 1.5]","['210', '210', '55', 1.5]"
"['210', '110', '58', 9]","['210', '210', '55', 1.5]","['210', '210', '55', 1.5]","['210', '210', '55', 1.5]"
"['210', '110', '57', 9]","['210', '110', '58', 9]","['210', '210', '55', 1.5]","['210', '210', '55', 1.5]"
"['210', '110', '46', 9]","['210', '110', '57', 9]","['210', '110', '58', 9]","['210', '210', '55', 1.5]"
"['210', '110', '37', 9]","['210', '110', '46', 9]","['210', '110', '57', 9]","['210', '110', '58', 9]"
"['210', '110', '32', 9]","['210', '110', '37', 9]","['210', '110', '46', 9]","['210', '110', '57', 9]"
"['210', '110', '23', 9]","['210', '110', '32', 9]","['210', '110', '37', 9]","['210', '110', '46', 9]"
"['210', '110', '16', 9]","['210', '110', '23', 9]","['210', '110', '32', 9]","['210', '110', '37', 9]"
"['210', '110', '10', 9]","['210', '110', '16', 9]","['210', '110', '23', 9]","['210', '110', '32', 9]"
"['210', '119', '2', 9]","['210', '110', '10', 9]","['210', '110', '16', 9]","['210', '110', '23', 9]"
"['210', '202', '-5', 3.5]","['210', '119', '2', 9]","['210', '110', '10', 9]","['210', '110', '16', 9]"
"['202', '210', '-8', 2]","['210', '202', '-5', 3.5]","['210', '119', '2', 9]","['210', '110', '10', 9]"
"['140', '210', '-8', 9]","['202', '210', '-8', 2]","['210', '202', '-5', 3.5]","['210', '119', '2', 9]"
"['140', '210', '-3', 9]","['140', '210', '-8', 9]","['202', '210', '-8', 2]","['210', '202', '-5', 3.5]"
"['185', '210', '0', 9]","['140', '210', '-3', 9]","['140', '210', '-8', 9]","['202', '210', '-8', 2]"
"['210', '209', '2', 9]","['185', '210', '0', 9]","['140', '210', '-3', 9]","['140', '210', '-8', 9]"
"['210', '191', '2', 9]","['210', '209', '2', 9]","['185', '210', '0', 9]","['140', '210', '-3', 9]"
"['210', '191', '-2', 9]","['210', '191', '2', 9]","['210', '209', '2', 9]","['185', '210', '0', 9]"
"['200', '210', '-6', 6]","['210', '191', '-2', 9]","['210', '191', '2', 9]","['210', '209', '2', 9]"
"['158', '210', '-8', 9]","['200', '210', '-6', 6]","['210', '191', '-2', 9]","['210', '191', '2', 9]"
"['140', '210', '-3', 9]","['158', '210', '-8', 9]","['200', '210', '-6', 6]","['210', '191', '-2', 9]"
"['206', '210', '2', 2]","['140', '210', '-3', 9]","['158', '210', '-8', 9]","['200', '210', '-6', 6]"
"['210', '191', '4', 9]","['206', '210', '2', 2]","['140', '210', '-3', 9]","['158', '210', '-8', 9]"
"['210', '173', '4', 9]","['210', '191', '4', 9]","['206', '210', '2', 2]","['140', '210', '-3', 9]"
"['210', '173', '3', 9]","['210', '173', '4', 9]","['210', '191', '4', 9]","['206', '210', '2', 2]"
"['210', '182', '1', 9]","['210', '173', '3', 9]","['210', '173', '4', 9]","['210', '191', '4', 9]"
"['210', '200', '0', 9]","['210', '182', '1', 9]","['210', '173', '3', 9]","['210', '173', '4', 9]"
"['210', '209', '0', 9]","['210', '200', '0', 9]","['210', '182', '1', 9]","['210', '173', '3', 9]"
"['210', '209', '3', 4]","['210', '209', '0', 9]","['210', '200', '0', 9]","['210', '182', '1', 9]"
"['210', '197', '3', 4]","['210', '209', '3', 4]","['210', '209', '0', 9]","['210', '200', '0', 9]"
"['210', '197', '0', 4]","['210', '197', '3', 4]","['210', '209', '3', 4]","['210', '209', '0', 9]"
"['210', '209', '-1', 9]","['210', '197', '0', 4]","['210', '197', '3', 4]","['210', '209', '3', 4]"
"['203', '210', '-2', 9]","['210', '209', '-1', 9]","['210', '197', '0', 4]","['210', '197', '3', 4]"
"['194', '210', '-1', 9]","['203', '210', '-2', 9]","['210', '209', '-1', 9]","['210', '197', '0', 4]"
"['203', '210', '1', 9]","['194', '210', '-1', 9]","['203', '210', '-2', 9]","['210', '209', '-1', 9]"
"['210', '205', '2', 4]","['203', '210', '1', 9]","['194', '210', '-1', 9]","['203', '210', '-2', 9]"
"['210', '197', '0', 6]","['210', '205', '2', 4]","['203', '210', '1', 9]","['194', '210', '-1', 9]"
"['210', '209', '-1', 6]","['210', '197', '0', 6]","['210', '205', '2', 4]","['203', '210', '1', 9]"
"['210', '210', '-2', 2]","['210', '209', '-1', 6]","['210', '197', '0', 6]","['210', '205', '2', 4]"
"['200', '210', '-2', 6]","['210', '210', '-2', 2]","['210', '209', '-1', 6]","['210', '197', '0', 6]"
"['205', '210', '-1', 3.5]","['200', '210', '-2', 6]","['210', '210', '-2', 2]","['210', '209', '-1', 6]"
"['210', '210', '2', 2]","['205', '210', '-1', 3.5]","['200', '210', '-2', 6]","['210', '210', '-2', 2]"
"['210', '197', '2', 6]","['210', '210', '2', 2]","['205', '210', '-1', 3.5]","['200', '210', '-2', 6]"
"['210', '197', '-1', 6]","['210', '197', '2', 6]","['210', '210', '2', 2]","['205', '210', '-1', 3.5]"
"['206', '210', '-2', 6]","['210', '197', '-1', 6]","['210', '197', '2', 6]","['210', '210', '2', 2]"
"['194', '210', '0', 9]","['206', '210', '-2', 6]","['210', '197', '-1', 6]","['210', '197', '2', 6]"
"['210', '209', '3', 2]","['194', '210', '0', 9]","['206', '210', '-2', 6]","['210', '197', '-1', 6]"
"['210', '203', '4', 2]","['210', '209', '3', 2]","['194', '210', '0', 9]","['206', '210', '-2', 6]"
"['210', '185', '4', 6]","['210', '203', '4', 2]","['210', '209', '3', 2]","['194', '210', '0', 9]"
"['210', '185', '1', 6]","['210', '185', '4', 6]","['210', '203', '4', 2]","['210', '209', '3', 2]"
"['210', '203', '0', 6]","['210', '185', '1', 6]","['210', '185', '4', 6]","['210', '203', '4', 2]"
"['210', '209', '-3', 6]","['210', '203', '0', 6]","['210', '185', '1', 6]","['210', '185', '4', 6]"
"['194', '210', '-1', 6]","['210', '209', '-3', 6]","['210', '203', '0', 6]","['210', '185', '1', 6]"
"['206', '210', '0', 6]","['194', '210', '-1', 6]","['210', '209', '-3', 6]","['210', '203', '0', 6]"
"['210', '209', '2', 6]","['206', '210', '0', 6]","['194', '210', '-1', 6]","['210', '209', '-3', 6]"
"['210', '197', '3', 6]","['210', '209', '2', 6]","['206', '210', '0', 6]","['194', '210', '-1', 6]"
"['210', '191', '1', 6]","['210', '197', '3', 6]","['210', '209', '2', 6]","['206', '210', '0', 6]"
"['210', '203', '-2', 6]","['210', '191', '1', 6]","['210', '197', '3', 6]","['210', '209', '2', 6]"
"['205', '210', '-1', 3.5]","['210', '203', '-2', 6]","['210', '191', '1', 6]","['210', '197', '3', 6]"
"['208', '210', '0', 4]","['205', '210', '-1', 3.5]","['210', '203', '-2', 6]","['210', '191', '1', 6]"
"['210', '209', '2', 6]","['208', '210', '0', 4]","['205', '210', '-1', 3.5]","['210', '203', '-2', 6]"
"['210', '197', '3', 6]","['210', '209', '2', 6]","['208', '210', '0', 4]","['205', '210', '-1', 3.5]"
"['210', '203', '0', 2]","['210', '197', '3', 6]","['210', '209', '2', 6]","['208', '210', '0', 4]"
"['210', '209', '0', 6]","['210', '203', '0', 2]","['210', '197', '3', 6]","['210', '209', '2', 6]"
"['210', '209', '1', 9]","['210', '209', '0', 6]","['210', '203', '0', 2]","['210', '197', '3', 6]"
"['210', '205', '3', 4]","['210', '209', '1', 9]","['210', '209', '0', 6]","['210', '203', '0', 2]"
"['210', '191', '5', 6]","['210', '205', '3', 4]","['210', '209', '1', 9]","['210', '209', '0', 6]"
"['210', '179', '9', 6]","['210', '191', '5', 6]","['210', '205', '3', 4]","['210', '209', '1', 9]"
"['210', '173', '9', 4]","['210', '179', '9', 6]","['210', '191', '5', 6]","['210', '205', '3', 4]"
"['210', '155', '9', 6]","['210', '173', '9', 4]","['210', '179', '9', 6]","['210', '191', '5', 6]"
"['210', '155', '6', 6]","['210', '155', '9', 6]","['210', '173', '9', 4]","['210', '179', '9', 6]"
"['210', '173', '5', 6]","['210', '155', '6', 6]","['210', '155', '9', 6]","['210', '173', '9', 4]"
"['210', '179', '6', 6]","['210', '173', '5', 6]","['210', '155', '6', 6]","['210', '155', '9', 6]"
"['210', '173', '7', 6]","['210', '179', '6', 6]","['210', '173', '5', 6]","['210', '155', '6', 6]"
"['210', '167', '8', 6]","['210', '173', '7', 6]","['210', '179', '6', 6]","['210', '173', '5', 6]"
"['210', '161', '5', 6]","['210', '167', '8', 6]","['210', '173', '7', 6]","['210', '179', '6', 6]"
"['210', '179', '4', 6]","['210', '161', '5', 6]","['210', '167', '8', 6]","['210', '173', '7', 6]"
"['210', '191', '4', 4.5]","['210', '179', '4', 6]","['210', '161', '5', 6]","['210', '167', '8', 6]"
"['0', '185', '4', 6]","['210', '191', '4', 4.5]","['210', '179', '4', 6]","['210', '161', '5', 6]"
"['210', '195', '3', 3.5]","['0', '185', '4', 6]","['210', '191', '4', 4.5]","['210', '179', '4', 6]"
"['210', '199', '0', 3.5]","['210', '195', '3', 3.5]","['0', '185', '4', 6]","['210', '191', '4', 4.5]"
"['210', '209', '-1', 6]","['210', '199', '0', 3.5]","['210', '195', '3', 3.5]","['0', '185', '4', 6]"
"['208', '210', '0', 4]","['210', '209', '-1', 6]","['210', '199', '0', 3.5]","['210', '195', '3', 3.5]"
"['210', '209', '0', 6]","['208', '210', '0', 4]","['210', '209', '-1', 6]","['210', '199', '0', 3.5]"
"['210', '209', '0', 6]","['210', '209', '0', 6]","['208', '210', '0', 4]","['210', '209', '-1', 6]"
"['210', '209', '3', 4.5]","['210', '209', '0', 6]","['210', '209', '0', 6]","['208', '210', '0', 4]"
"['210', '191', '0', 6]","['210', '209', '3', 4.5]","['210', '209', '0', 6]","['210', '209', '0', 6]"
"['210', '209', '-2', 6]","['210', '191', '0', 6]","['210', '209', '3', 4.5]","['210', '209', '0', 6]"
"['200', '210', '-2', 6]","['210', '209', '-2', 6]","['210', '191', '0', 6]","['210', '209', '3', 4.5]"
"['203', '210', '0', 4.5]","['200', '210', '-2', 6]","['210', '209', '-2', 6]","['210', '191', '0', 6]"
"['210', '209', '0', 4.5]","['203', '210', '0', 4.5]","['200', '210', '-2', 6]","['210', '209', '-2', 6]"
"['210', '209', '0', 2]","['210', '209', '0', 4.5]","['203', '210', '0', 4.5]","['200', '210', '-2', 6]"
"['210', '209', '-2', 6]","['210', '209', '0', 2]","['210', '209', '0', 4.5]","['203', '210', '0', 4.5]"
"['200', '210', '-4', 6]","['210', '209', '-2', 6]","['210', '209', '0', 2]","['210', '209', '0', 4.5]"
"['188', '210', '-4', 6]","['200', '210', '-4', 6]","['210', '209', '-2', 6]","['210', '209', '0', 2]"
"['188', '210', '-2', 6]","['188', '210', '-4', 6]","['200', '210', '-4', 6]","['210', '209', '-2', 6]"
"['200', '210', '0', 6]","['188', '210', '-2', 6]","['188', '210', '-4', 6]","['200', '210', '-4', 6]"
"['210', '209', '-1', 6]","['200', '210', '0', 6]","['188', '210', '-2', 6]","['188', '210', '-4', 6]"
"['206', '210', '-4', 6]","['210', '209', '-1', 6]","['200', '210', '0', 6]","['188', '210', '-2', 6]"
"['188', '210', '-3', 6]","['206', '210', '-4', 6]","['210', '209', '-1', 6]","['200', '210', '0', 6]"
"['194', '210', '-2', 6]","['188', '210', '-3', 6]","['206', '210', '-4', 6]","['210', '209', '-1', 6]"
"['200', '210', '0', 6]","['194', '210', '-2', 6]","['188', '210', '-3', 6]","['206', '210', '-4', 6]"
"['210', '209', '-2', 6]","['200', '210', '0', 6]","['194', '210', '-2', 6]","['188', '210', '-3', 6]"
"['200', '210', '-4', 6]","['210', '209', '-2', 6]","['200', '210', '0', 6]","['194', '210', '-2', 6]"
"['188', '210', '-4', 6]","['200', '210', '-4', 6]","['210', '209', '-2', 6]","['200', '210', '0', 6]"
"['188', '210', '-2', 6]","['188', '210', '-4', 6]","['200', '210', '-4', 6]","['210', '209', '-2', 6]"
"['200', '210', '-2', 6]","['188', '210', '-2', 6]","['188', '210', '-4', 6]","['200', '210', '-4', 6]"
"['200', '210', '-4', 6]","['200', '210', '-2', 6]","['188', '210', '-2', 6]","['188', '210', '-4', 6]"
"['188', '210', '-6', 6]","['200', '210', '-4', 6]","['200', '210', '-2', 6]","['188', '210', '-2', 6]"
"['176', '210', '-5', 6]","['188', '210', '-6', 6]","['200', '210', '-4', 6]","['200', '210', '-2', 6]"
"['182', '210', '-1', 6]","['176', '210', '-5', 6]","['188', '210', '-6', 6]","['200', '210', '-4', 6]"
"['206', '210', '-2', 6]","['182', '210', '-1', 6]","['176', '210', '-5', 6]","['188', '210', '-6', 6]"
"['200', '210', '-3', 6]","['206', '210', '-2', 6]","['182', '210', '-1', 6]","['176', '210', '-5', 6]"
"['194', '210', '-1', 6]","['200', '210', '-3', 6]","['206', '210', '-2', 6]","['182', '210', '-1', 6]"
"['206', '210', '0', 6]","['194', '210', '-1', 6]","['200', '210', '-3', 6]","['206', '210', '-2', 6]"
"['210', '209', '-2', 6]","['206', '210', '0', 6]","['194', '210', '-1', 6]","['200', '210', '-3', 6]"
"['200', '210', '-4', 6]","['210', '209', '-2', 6]","['206', '210', '0', 6]","['194', '210', '-1', 6]"
"['188', '210', '-5', 6]","['200', '210', '-4', 6]","['210', '209', '-2', 6]","['206', '210', '0', 6]"
"['182', '210', '-4', 6]","['188', '210', '-5', 6]","['200', '210', '-4', 6]","['210', '209', '-2', 6]"
"['188', '210', '-3', 6]","['182', '210', '-4', 6]","['188', '210', '-5', 6]","['200', '210', '-4', 6]"
"['194', '210', '-3', 6]","['188', '210', '-3', 6]","['182', '210', '-4', 6]","['188', '210', '-5', 6]"
"['198', '210', '-6', 4.5]","['194', '210', '-3', 6]","['188', '210', '-3', 6]","['182', '210', '-4', 6]"
"['185', '210', '-6', 4.5]","['198', '210', '-6', 4.5]","['194', '210', '-3', 6]","['188', '210', '-3', 6]"
"['176', '210', '-4', 6]","['185', '210', '-6', 4.5]","['198', '210', '-6', 4.5]","['194', '210', '-3', 6]"
"['188', '210', '-2', 6]","['176', '210', '-4', 6]","['185', '210', '-6', 4.5]","['198', '210', '-6', 4.5]"
"['200', '210', '-4', 6]","['188', '210', '-2', 6]","['176', '210', '-4', 6]","['185', '210', '-6', 4.5]"
"['188', '210', '-3', 6]","['200', '210', '-4', 6]","['188', '210', '-2', 6]","['176', '210', '-4', 6]"
"['194', '210', '-1', 6]","['188', '210', '-3', 6]","['200', '210', '-4', 6]","['188', '210', '-2', 6]"
"['206', '210', '-1', 6]","['194', '210', '-1', 6]","['188', '210', '-3', 6]","['200', '210', '-4', 6]"
"['203', '210', '-7', 9]","['206', '210', '-1', 6]","['194', '210', '-1', 6]","['188', '210', '-3', 6]"
"['170', '210', '-9', 6]","['203', '210', '-7', 9]","['206', '210', '-1', 6]","['194', '210', '-1', 6]"
"['157', '210', '-8', 6]","['170', '210', '-9', 6]","['203', '210', '-7', 9]","['206', '210', '-1', 6]"
"['163', '210', '-4', 6]","['157', '210', '-8', 6]","['170', '210', '-9', 6]","['203', '210', '-7', 9]"
"['187', '210', '-3', 6]","['163', '210', '-4', 6]","['157', '210', '-8', 6]","['170', '210', '-9', 6]"
"['193', '210', '-2', 6]","['187', '210', '-3', 6]","['163', '210', '-4', 6]","['157', '210', '-8', 6]"
"['203', '210', '-2', 4]","['193', '210', '-2', 6]","['187', '210', '-3', 6]","['163', '210', '-4', 6]"
"['199', '210', '-3', 6]","['203', '210', '-2', 4]","['193', '210', '-2', 6]","['187', '210', '-3', 6]"
"['193', '210', '-5', 6]","['199', '210', '-3', 6]","['203', '210', '-2', 4]","['193', '210', '-2', 6]"
"['181', '210', '-5', 6]","['193', '210', '-5', 6]","['199', '210', '-3', 6]","['203', '210', '-2', 4]"
"['181', '210', '-1', 6]","['181', '210', '-5', 6]","['193', '210', '-5', 6]","['199', '210', '-3', 6]"
"['205', '210', '2', 6]","['181', '210', '-1', 6]","['181', '210', '-5', 6]","['193', '210', '-5', 6]"
"['210', '192', '0', 9]","['205', '210', '2', 6]","['181', '210', '-1', 6]","['181', '210', '-5', 6]"
"['210', '210', '-1', 6]","['210', '192', '0', 9]","['205', '210', '2', 6]","['181', '210', '-1', 6]"
"['205', '210', '-1', 6]","['210', '210', '-1', 6]","['210', '192', '0', 9]","['205', '210', '2', 6]"
"['205', '210', '0', 6]","['205', '210', '-1', 6]","['210', '210', '-1', 6]","['210', '192', '0', 9]"
"['210', '210', '1', 6]","['205', '210', '0', 6]","['205', '210', '-1', 6]","['210', '210', '-1', 6]"
"['210', '204', '3', 6]","['210', '210', '1', 6]","['205', '210', '0', 6]","['205', '210', '-1', 6]"
"['210', '192', '0', 6]","['210', '204', '3', 6]","['210', '210', '1', 6]","['205', '210', '0', 6]"
"['210', '210', '-1', 6]","['210', '192', '0', 6]","['210', '204', '3', 6]","['210', '210', '1', 6]"
"['205', '210', '-2', 6]","['210', '210', '-1', 6]","['210', '192', '0', 6]","['210', '204', '3', 6]"
"['199', '210', '0', 6]","['205', '210', '-2', 6]","['210', '210', '-1', 6]","['210', '192', '0', 6]"
"['210', '210', '1', 6]","['199', '210', '0', 6]","['205', '210', '-2', 6]","['210', '210', '-1', 6]"
"['210', '204', '2', 6]","['210', '210', '1', 6]","['199', '210', '0', 6]","['205', '210', '-2', 6]"
"['210', '206', '3', 2]","['210', '204', '2', 6]","['210', '210', '1', 6]","['199', '210', '0', 6]"
"['210', '192', '0', 6]","['210', '206', '3', 2]","['210', '204', '2', 6]","['210', '210', '1', 6]"
"['210', '210', '-1', 3.5]","['210', '192', '0', 6]","['210', '206', '3', 2]","['210', '204', '2', 6]"
"['205', '210', '-2', 6]","['210', '210', '-1', 3.5]","['210', '192', '0', 6]","['210', '206', '3', 2]"
"['199', '210', '0', 6]","['205', '210', '-2', 6]","['210', '210', '-1', 3.5]","['210', '192', '0', 6]"
"['210', '210', '3', 9]","['199', '210', '0', 6]","['205', '210', '-2', 6]","['210', '210', '-1', 3.5]"
"['210', '204', '4', 2]","['210', '210', '3', 9]","['199', '210', '0', 6]","['205', '210', '-2', 6]"
"['210', '186', '2', 6]","['210', '204', '4', 2]","['210', '210', '3', 9]","['199', '210', '0', 6]"
"['210', '198', '0', 6]","['210', '186', '2', 6]","['210', '204', '4', 2]","['210', '210', '3', 9]"
"['210', '210', '-2', 6]","['210', '198', '0', 6]","['210', '186', '2', 6]","['210', '204', '4', 2]"
"['199', '210', '-3', 6]","['210', '210', '-2', 6]","['210', '198', '0', 6]","['210', '186', '2', 6]"
"['193', '210', '0', 6]","['199', '210', '-3', 6]","['210', '210', '-2', 6]","['210', '198', '0', 6]"
"['210', '210', '3', 6]","['193', '210', '0', 6]","['199', '210', '-3', 6]","['210', '210', '-2', 6]"
"['210', '192', '3', 6]","['210', '210', '3', 6]","['193', '210', '0', 6]","['199', '210', '-3', 6]"
"['210', '192', '0', 6]","['210', '192', '3', 6]","['210', '210', '3', 6]","['193', '210', '0', 6]"
"['210', '210', '-2', 6]","['210', '192', '0', 6]","['210', '192', '3', 6]","['210', '210', '3', 6]"
"['199', '210', '-3', 6]","['210', '210', '-2', 6]","['210', '192', '0', 6]","['210', '192', '3', 6]"
"['193', '210', '-2', 6]","['199', '210', '-3', 6]","['210', '210', '-2', 6]","['210', '192', '0', 6]"
"['193', '210', '-1', 9]","['193', '210', '-2', 6]","['199', '210', '-3', 6]","['210', '210', '-2', 6]"
"['05', '210', '1', 6]","['193', '210', '-1', 9]","['193', '210', '-2', 6]","['199', '210', '-3', 6]"
"['210', '204', '2', 6]","['05', '210', '1', 6]","['193', '210', '-1', 9]","['193', '210', '-2', 6]"
"['0', '198', '0', 6]","['210', '204', '2', 6]","['05', '210', '1', 6]","['193', '210', '-1', 9]"
"['210', '210', '-2', 6]","['0', '198', '0', 6]","['210', '204', '2', 6]","['05', '210', '1', 6]"
"['199', '210', '-1', 6]","['210', '210', '-2', 6]","['0', '198', '0', 6]","['210', '204', '2', 6]"
"['205', '210', '2', 6]","['199', '210', '-1', 6]","['210', '210', '-2', 6]","['0', '198', '0', 6]"
"['210', '203', '5', 3.5]","['205', '210', '2', 6]","['199', '210', '-1', 6]","['210', '210', '-2', 6]"
"['210', '180', '4', 6]","['210', '203', '5', 3.5]","['205', '210', '2', 6]","['199', '210', '-1', 6]"
"['210', '186', '4', 6]","['210', '180', '4', 6]","['210', '203', '5', 3.5]","['205', '210', '2', 6]"
