"['210', '210', '40', 1.5]","['210', '210', '40', 1.5]","['210', '210', '40', 1.5]","['210', '210', '40', 1.5]"
"['210', '110', '38', 4.5]","['210', '210', '40', 1.5]","['210', '210', '40', 1.5]","['210', '210', '40', 1.5]"
"['210', '110', '35', 4.5]","['210', '110', '38', 4.5]","['210', '210', '40', 1.5]","['210', '210', '40', 1.5]"
"['210', '110', '28', 4.5]","['210', '110', '35', 4.5]","['210', '110', '38', 4.5]","['210', '210', '40', 1.5]"
"['210', '110', '20', 4.5]","['210', '110', '28', 4.5]","['210', '110', '35', 4.5]","['210', '110', '38', 4.5]"
"['210', '120', '13', 4.5]","['210', '110', '20', 4.5]","['210', '110', '28', 4.5]","['210', '110', '35', 4.5]"
"['210', '151', '4', 4.5]","['210', '120', '13', 4.5]","['210', '110', '20', 4.5]","['210', '110', '28', 4.5]"
"['210', '192', '1', 4.5]","['210', '151', '4', 4.5]","['210', '120', '13', 4.5]","['210', '110', '20', 4.5]"
"['210', '205', '-2', 4.5]","['210', '192', '1', 4.5]","['210', '151', '4', 4.5]","['210', '120', '13', 4.5]"
"['202', '210', '-1', 4.5]","['210', '205', '-2', 4.5]","['210', '192', '1', 4.5]","['210', '151', '4', 4.5]"
"['207', '210', '2', 4.5]","['202', '210', '-1', 4.5]","['210', '205', '-2', 4.5]","['210', '192', '1', 4.5]"
"['210', '201', '4', 4.5]","['207', '210', '2', 4.5]","['202', '210', '-1', 4.5]","['210', '205', '-2', 4.5]"
"['210', '192', '4', 4.5]","['210', '201', '4', 4.5]","['207', '210', '2', 4.5]","['202', '210', '-1', 4.5]"
"['210', '192', '3', 4.5]","['210', '192', '4', 4.5]","['210', '201', '4', 4.5]","['207', '210', '2', 4.5]"
"['210', '196', '2', 4.5]","['210', '192', '3', 4.5]","['210', '192', '4', 4.5]","['210', '201', '4', 4.5]"
"['210', '201', '3', 4.5]","['210', '196', '2', 4.5]","['210', '192', '3', 4.5]","['210', '192', '4', 4.5]"
"['210', '196', '3', 4.5]","['210', '201', '3', 4.5]","['210', '196', '2', 4.5]","['210', '192', '3', 4.5]"
"['210', '196', '3', 4.5]","['210', '196', '3', 4.5]","['210', '201', '3', 4.5]","['210', '196', '2', 4.5]"
"['210', '196', '2', 4.5]","['210', '196', '3', 4.5]","['210', '196', '3', 4.5]","['210', '201', '3', 4.5]"
"['210', '201', '1', 4.5]","['210', '196', '2', 4.5]","['210', '196', '3', 4.5]","['210', '196', '3', 4.5]"
"['210', '205', '1', 4.5]","['210', '201', '1', 4.5]","['210', '196', '2', 4.5]","['210', '196', '3', 4.5]"
"['210', '205', '0', 4.5]","['210', '205', '1', 4.5]","['210', '201', '1', 4.5]","['210', '196', '2', 4.5]"
"['210', '210', '-2', 4.5]","['210', '205', '0', 4.5]","['210', '205', '1', 4.5]","['210', '201', '1', 4.5]"
"['202', '210', '-4', 4.5]","['210', '210', '-2', 4.5]","['210', '205', '0', 4.5]","['210', '205', '1', 4.5]"
"['193', '210', '-7', 4.5]","['202', '210', '-4', 4.5]","['210', '210', '-2', 4.5]","['210', '205', '0', 4.5]"
"['180', '210', '-4', 4.5]","['193', '210', '-7', 4.5]","['202', '210', '-4', 4.5]","['210', '210', '-2', 4.5]"
"['193', '210', '-2', 4.5]","['180', '210', '-4', 4.5]","['193', '210', '-7', 4.5]","['202', '210', '-4', 4.5]"
"['202', '210', '-2', 4.5]","['193', '210', '-2', 4.5]","['180', '210', '-4', 4.5]","['193', '210', '-7', 4.5]"
"['202', '210', '-3', 4.5]","['202', '210', '-2', 4.5]","['193', '210', '-2', 4.5]","['180', '210', '-4', 4.5]"
"['198', '210', '-3', 4.5]","['202', '210', '-3', 4.5]","['202', '210', '-2', 4.5]","['193', '210', '-2', 4.5]"
"['198', '210', '-7', 4.5]","['198', '210', '-3', 4.5]","['202', '210', '-3', 4.5]","['202', '210', '-2', 4.5]"
"['180', '210', '-9', 4.5]","['198', '210', '-7', 4.5]","['198', '210', '-3', 4.5]","['202', '210', '-3', 4.5]"
"['171', '210', '-13', 4.5]","['180', '210', '-9', 4.5]","['198', '210', '-7', 4.5]","['198', '210', '-3', 4.5]"
"['152', '210', '-16', 4.5]","['171', '210', '-13', 4.5]","['180', '210', '-9', 4.5]","['198', '210', '-7', 4.5]"
"['139', '210', '-12', 4.5]","['152', '210', '-16', 4.5]","['171', '210', '-13', 4.5]","['180', '210', '-9', 4.5]"
"['157', '210', '-11', 4.5]","['139', '210', '-12', 4.5]","['152', '210', '-16', 4.5]","['171', '210', '-13', 4.5]"
"['161', '210', '-11', 4.5]","['157', '210', '-11', 4.5]","['139', '210', '-12', 4.5]","['152', '210', '-16', 4.5]"
"['161', '210', '-11', 4.5]","['161', '210', '-11', 4.5]","['157', '210', '-11', 4.5]","['139', '210', '-12', 4.5]"
"['161', '210', '-9', 4.5]","['161', '210', '-11', 4.5]","['161', '210', '-11', 4.5]","['157', '210', '-11', 4.5]"
"['170', '210', '-9', 4.5]","['161', '210', '-9', 4.5]","['161', '210', '-11', 4.5]","['161', '210', '-11', 4.5]"
"['170', '210', '-8', 4.5]","['170', '210', '-9', 4.5]","['161', '210', '-9', 4.5]","['161', '210', '-11', 4.5]"
"['175', '210', '-9', 4.5]","['170', '210', '-8', 4.5]","['170', '210', '-9', 4.5]","['161', '210', '-9', 4.5]"
"['170', '210', '-9', 4.5]","['175', '210', '-9', 4.5]","['170', '210', '-8', 4.5]","['170', '210', '-9', 4.5]"
"['170', '210', '-4', 4.5]","['170', '210', '-9', 4.5]","['175', '210', '-9', 4.5]","['170', '210', '-8', 4.5]"
"['193', '210', '-3', 4.5]","['170', '210', '-4', 4.5]","['170', '210', '-9', 4.5]","['175', '210', '-9', 4.5]"
"['197', '210', '-4', 4.5]","['193', '210', '-3', 4.5]","['170', '210', '-4', 4.5]","['170', '210', '-9', 4.5]"
