"['210', '210', '46', 1.5]","['210', '210', '45', 1.5]","['210', '210', '45', 1.5]","['210', '210', '45', 1.5]"
"['210', '110', '49', 6]","['210', '210', '46', 1.5]","['210', '210', '45', 1.5]","['210', '210', '45', 1.5]"
"['210', '110', '50', 6]","['210', '110', '49', 6]","['210', '210', '46', 1.5]","['210', '210', '45', 1.5]"
"['210', '110', '43', 6]","['210', '110', '50', 6]","['210', '110', '49', 6]","['210', '210', '46', 1.5]"
"['210', '110', '37', 6]","['210', '110', '43', 6]","['210', '110', '50', 6]","['210', '110', '49', 6]"
"['210', '110', '31', 6]","['210', '110', '37', 6]","['210', '110', '43', 6]","['210', '110', '50', 6]"
"['210', '110', '26', 6]","['210', '110', '31', 6]","['210', '110', '37', 6]","['210', '110', '43', 6]"
"['210', '110', '22', 6]","['210', '110', '26', 6]","['210', '110', '31', 6]","['210', '110', '37', 6]"
"['210', '110', '14', 6]","['210', '110', '22', 6]","['210', '110', '26', 6]","['210', '110', '31', 6]"
"['210', '160', '9', 3.5]","['210', '110', '14', 6]","['210', '110', '22', 6]","['210', '110', '26', 6]"
"['210', '178', '10', 3.5]","['210', '160', '9', 3.5]","['210', '110', '14', 6]","['210', '110', '22', 6]"
"['210', '174', '9', 3.5]","['210', '178', '10', 3.5]","['210', '160', '9', 3.5]","['210', '110', '14', 6]"
"['210', '178', '14', 3.5]","['210', '174', '9', 3.5]","['210', '178', '10', 3.5]","['210', '160', '9', 3.5]"
"['210', '125', '8', 6]","['210', '178', '14', 3.5]","['210', '174', '9', 3.5]","['210', '178', '10', 3.5]"
"['210', '181', '7', 3.5]","['210', '125', '8', 6]","['210', '178', '14', 3.5]","['210', '174', '9', 3.5]"
"['210', '185', '2', 3.5]","['210', '181', '7', 3.5]","['210', '125', '8', 6]","['210', '178', '14', 3.5]"
"['210', '202', '1', 3.5]","['210', '185', '2', 3.5]","['210', '181', '7', 3.5]","['210', '125', '8', 6]"
"['210', '206', '0', 3.5]","['210', '202', '1', 3.5]","['210', '185', '2', 3.5]","['210', '181', '7', 3.5]"
"['210', '209', '1', 3.5]","['210', '206', '0', 3.5]","['210', '202', '1', 3.5]","['210', '185', '2', 3.5]"
"['210', '205', '0', 4.5]","['210', '209', '1', 3.5]","['210', '206', '0', 3.5]","['210', '202', '1', 3.5]"
"['210', '209', '3', 3.5]","['210', '205', '0', 4.5]","['210', '209', '1', 3.5]","['210', '206', '0', 3.5]"
"['210', '199', '0', 3.5]","['210', '209', '3', 3.5]","['210', '205', '0', 4.5]","['210', '209', '1', 3.5]"
"['210', '209', '0', 3.5]","['210', '199', '0', 3.5]","['210', '209', '3', 3.5]","['210', '205', '0', 4.5]"
"['210', '209', '4', 3.5]","['210', '209', '0', 3.5]","['210', '199', '0', 3.5]","['210', '209', '3', 3.5]"
