"['210', '210', '47', 1.5]","['210', '210', '48', 1.5]","['210', '210', '48', 1.5]","['210', '210', '48', 1.5]"
"['210', '110', '53', 6]","['210', '210', '47', 1.5]","['210', '210', '48', 1.5]","['210', '210', '48', 1.5]"
"['210', '110', '52', 6]","['210', '110', '53', 6]","['210', '210', '47', 1.5]","['210', '210', '48', 1.5]"
"['210', '110', '46', 6]","['210', '110', '52', 6]","['210', '110', '53', 6]","['210', '210', '47', 1.5]"
"['210', '110', '40', 6]","['210', '110', '46', 6]","['210', '110', '52', 6]","['210', '110', '53', 6]"
"['210', '110', '33', 6]","['210', '110', '40', 6]","['210', '110', '46', 6]","['210', '110', '52', 6]"
"['10', '110', '28', 6]","['210', '110', '33', 6]","['210', '110', '40', 6]","['210', '110', '46', 6]"
"['210', '110', '21', 6]","['10', '110', '28', 6]","['210', '110', '33', 6]","['210', '110', '40', 6]"
"['210', '125', '16', 4]","['210', '110', '21', 6]","['10', '110', '28', 6]","['210', '110', '33', 6]"
"['210', '113', '14', 6]","['210', '125', '16', 4]","['210', '110', '21', 6]","['10', '110', '28', 6]"
"['210', '125', '9', 6]","['210', '113', '14', 6]","['210', '125', '16', 4]","['210', '110', '21', 6]"
"['210', '155', '0', 6]","['210', '125', '9', 6]","['210', '113', '14', 6]","['210', '125', '16', 4]"
"['210', '209', '0', 6]","['210', '155', '0', 6]","['210', '125', '9', 6]","['210', '113', '14', 6]"
"['210', '209', '5', 6]","['210', '209', '0', 6]","['210', '155', '0', 6]","['210', '125', '9', 6]"
"['210', '179', '6', 6]","['210', '209', '5', 6]","['210', '209', '0', 6]","['210', '155', '0', 6]"
"['210', '173', '4', 6]","['210', '179', '6', 6]","['210', '209', '5', 6]","['210', '209', '0', 6]"
"['210', '201', '4', 2]","['210', '173', '4', 6]","['210', '179', '6', 6]","['210', '209', '5', 6]"
"['210', '185', '4', 6]","['210', '201', '4', 2]","['210', '173', '4', 6]","['210', '179', '6', 6]"
"['210', '185', '8', 6]","['210', '185', '4', 6]","['210', '201', '4', 2]","['210', '173', '4', 6]"
"['210', '181', '8', 3.5]","['210', '185', '8', 6]","['210', '185', '4', 6]","['210', '201', '4', 2]"
"['210', '181', '9', 3.5]","['210', '181', '8', 3.5]","['210', '185', '8', 6]","['210', '185', '4', 6]"
