"['210', '210', '50', 1.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]"
"['210', '110', '45', 6]","['210', '210', '50', 1.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]"
"['210', '110', '38', 6]","['210', '110', '45', 6]","['210', '210', '50', 1.5]","['210', '210', '52', 1.5]"
"['210', '110', '35', 6]","['210', '110', '38', 6]","['210', '110', '45', 6]","['210', '210', '50', 1.5]"
"['210', '110', '33', 3.5]","['210', '110', '35', 6]","['210', '110', '38', 6]","['210', '110', '45', 6]"
"['210', '110', '28', 3.5]","['210', '110', '33', 3.5]","['210', '110', '35', 6]","['210', '110', '38', 6]"
"['210', '112', '22', 3.5]","['210', '110', '28', 3.5]","['210', '110', '33', 3.5]","['210', '110', '35', 6]"
"['210', '133', '18', 3.5]","['210', '112', '22', 3.5]","['210', '110', '28', 3.5]","['210', '110', '33', 3.5]"
"['210', '147', '13', 3.5]","['210', '133', '18', 3.5]","['210', '112', '22', 3.5]","['210', '110', '28', 3.5]"
"['210', '164', '12', 3.5]","['210', '147', '13', 3.5]","['210', '133', '18', 3.5]","['210', '112', '22', 3.5]"
"['210', '167', '11', 3.5]","['210', '164', '12', 3.5]","['210', '147', '13', 3.5]","['210', '133', '18', 3.5]"
"['210', '171', '12', 3.5]","['210', '167', '11', 3.5]","['210', '164', '12', 3.5]","['210', '147', '13', 3.5]"
"['210', '161', '11', 4]","['210', '171', '12', 3.5]","['210', '167', '11', 3.5]","['210', '164', '12', 3.5]"
"['210', '171', '11', 3.5]","['210', '161', '11', 4]","['210', '171', '12', 3.5]","['210', '167', '11', 3.5]"
"['210', '171', '7', 3.5]","['210', '171', '11', 3.5]","['210', '161', '11', 4]","['210', '171', '12', 3.5]"
"['210', '185', '5', 3.5]","['210', '171', '7', 3.5]","['210', '171', '11', 3.5]","['210', '161', '11', 4]"
"['210', '192', '4', 3.5]","['210', '185', '5', 3.5]","['210', '171', '7', 3.5]","['210', '171', '11', 3.5]"
"['210', '195', '4', 3.5]","['210', '192', '4', 3.5]","['210', '185', '5', 3.5]","['210', '171', '7', 3.5]"
"['210', '185', '4', 6]","['210', '195', '4', 3.5]","['210', '192', '4', 3.5]","['210', '185', '5', 3.5]"
"['210', '185', '4', 6]","['210', '185', '4', 6]","['210', '195', '4', 3.5]","['210', '192', '4', 3.5]"
"['210', '185', '8', 6]","['210', '185', '4', 6]","['210', '185', '4', 6]","['210', '195', '4', 3.5]"
"['210', '161', '6', 6]","['210', '185', '8', 6]","['210', '185', '4', 6]","['210', '185', '4', 6]"
"['210', '173', '4', 6]","['210', '161', '6', 6]","['210', '185', '8', 6]","['210', '185', '4', 6]"
"['210', '185', '4', 6]","['210', '173', '4', 6]","['210', '161', '6', 6]","['210', '185', '8', 6]"
"['210', '201', '6', 2]","['210', '185', '4', 6]","['210', '173', '4', 6]","['210', '161', '6', 6]"
"['210', '185', '7', 4]","['210', '201', '6', 2]","['210', '185', '4', 6]","['210', '173', '4', 6]"
"['210', '167', '8', 6]","['210', '185', '7', 4]","['210', '201', '6', 2]","['210', '185', '4', 6]"
"['210', '161', '8', 6]","['210', '167', '8', 6]","['210', '185', '7', 4]","['210', '201', '6', 2]"
