"['0', '0', '0', '0', '-11', '83', 1.5]","['0', '0', '0', '0', '-11', '83', 1.5]","['0', '0', '0', '0', '-11', '83', 1.5]","['0', '0', '0', '0', '-11', '83', 1.5]"
"['181', '31', '0', '0', '-11', '82', 4]","['0', '0', '0', '0', '-11', '83', 1.5]","['0', '0', '0', '0', '-11', '83', 1.5]","['0', '0', '0', '0', '-11', '83', 1.5]"
"['181', '31', '0', '0', '-18', '63', 6]","['181', '31', '0', '0', '-11', '82', 4]","['0', '0', '0', '0', '-11', '83', 1.5]","['0', '0', '0', '0', '-11', '83', 1.5]"
"['181', '31', '0', '0', '-8', '33', 6]","['181', '31', '0', '0', '-18', '63', 6]","['181', '31', '0', '0', '-11', '82', 4]","['0', '0', '0', '0', '-11', '83', 1.5]"
"['181', '31', '0', '0', '-9', '9', 6]","['181', '31', '0', '0', '-8', '33', 6]","['181', '31', '0', '0', '-18', '63', 6]","['181', '31', '0', '0', '-11', '82', 4]"
"['181', '145', '0', '0', '-3', '-18', 4]","['181', '31', '0', '0', '-9', '9', 6]","['181', '31', '0', '0', '-8', '33', 6]","['181', '31', '0', '0', '-18', '63', 6]"
"['110', '181', '0', '0', '-2', '-28', 4]","['181', '145', '0', '0', '-3', '-18', 4]","['181', '31', '0', '0', '-9', '9', 6]","['181', '31', '0', '0', '-8', '33', 6]"
"['70', '181', '0', '0', '-2', '-30', 4]","['110', '181', '0', '0', '-2', '-28', 4]","['181', '145', '0', '0', '-3', '-18', 4]","['181', '31', '0', '0', '-9', '9', 6]"
"['62', '181', '0', '0', '-4', '-18', 4]","['70', '181', '0', '0', '-2', '-30', 4]","['110', '181', '0', '0', '-2', '-28', 4]","['181', '145', '0', '0', '-3', '-18', 4]"
"['110', '181', '0', '0', '-7', '-4', 4]","['62', '181', '0', '0', '-4', '-18', 4]","['70', '181', '0', '0', '-2', '-30', 4]","['110', '181', '0', '0', '-2', '-28', 4]"
"['166', '181', '0', '0', '-7', '5', 4]","['110', '181', '0', '0', '-7', '-4', 4]","['62', '181', '0', '0', '-4', '-18', 4]","['70', '181', '0', '0', '-2', '-30', 4]"
"['181', '161', '0', '0', '-12', '10', 4]","['166', '181', '0', '0', '-7', '5', 4]","['110', '181', '0', '0', '-7', '-4', 4]","['62', '181', '0', '0', '-4', '-18', 4]"
"['181', '141', '0', '0', '-10', '10', 4]","['181', '161', '0', '0', '-12', '10', 4]","['166', '181', '0', '0', '-7', '5', 4]","['110', '181', '0', '0', '-7', '-4', 4]"
"['181', '141', '0', '0', '-9', '10', 4]","['181', '141', '0', '0', '-10', '10', 4]","['181', '161', '0', '0', '-12', '10', 4]","['166', '181', '0', '0', '-7', '5', 4]"
"['181', '141', '0', '0', '-9', '11', 4]","['181', '141', '0', '0', '-9', '10', 4]","['181', '141', '0', '0', '-10', '10', 4]","['181', '161', '0', '0', '-12', '10', 4]"
"['181', '137', '0', '0', '-9', '10', 4]","['181', '141', '0', '0', '-9', '11', 4]","['181', '141', '0', '0', '-9', '10', 4]","['181', '141', '0', '0', '-10', '10', 4]"
"['181', '136', '0', '0', '-9', '10', 4.5]","['181', '137', '0', '0', '-9', '10', 4]","['181', '141', '0', '0', '-9', '11', 4]","['181', '141', '0', '0', '-9', '10', 4]"
"['181', '141', '0', '0', '-9', '9', 4]","['181', '136', '0', '0', '-9', '10', 4.5]","['181', '137', '0', '0', '-9', '10', 4]","['181', '141', '0', '0', '-9', '11', 4]"
"['181', '145', '0', '0', '-9', '8', 4]","['181', '141', '0', '0', '-9', '9', 4]","['181', '136', '0', '0', '-9', '10', 4.5]","['181', '137', '0', '0', '-9', '10', 4]"
"['181', '149', '0', '0', '-8', '5', 4]","['181', '145', '0', '0', '-9', '8', 4]","['181', '141', '0', '0', '-9', '9', 4]","['181', '136', '0', '0', '-9', '10', 4.5]"
"['181', '161', '0', '0', '-8', '2', 4]","['181', '149', '0', '0', '-8', '5', 4]","['181', '145', '0', '0', '-9', '8', 4]","['181', '141', '0', '0', '-9', '9', 4]"
"['181', '173', '0', '0', '-8', '1', 4]","['181', '161', '0', '0', '-8', '2', 4]","['181', '149', '0', '0', '-8', '5', 4]","['181', '145', '0', '0', '-9', '8', 4]"
"['181', '177', '0', '0', '-9', '0', 4]","['181', '173', '0', '0', '-8', '1', 4]","['181', '161', '0', '0', '-8', '2', 4]","['181', '149', '0', '0', '-8', '5', 4]"
"['181', '181', '0', '0', '-8', '0', 4]","['181', '177', '0', '0', '-9', '0', 4]","['181', '173', '0', '0', '-8', '1', 4]","['181', '161', '0', '0', '-8', '2', 4]"
"['181', '181', '0', '0', '-8', '0', 4]","['181', '181', '0', '0', '-8', '0', 4]","['181', '177', '0', '0', '-9', '0', 4]","['181', '173', '0', '0', '-8', '1', 4]"
"['181', '181', '0', '0', '-8', '-1', 4]","['181', '181', '0', '0', '-8', '0', 4]","['181', '181', '0', '0', '-8', '0', 4]","['181', '177', '0', '0', '-9', '0', 4]"
"['178', '181', '0', '0', '-6', '0', 4]","['181', '181', '0', '0', '-8', '-1', 4]","['181', '181', '0', '0', '-8', '0', 4]","['181', '181', '0', '0', '-8', '0', 4]"
"['181', '181', '0', '0', '-8', '0', 4]","['178', '181', '0', '0', '-6', '0', 4]","['181', '181', '0', '0', '-8', '-1', 4]","['181', '181', '0', '0', '-8', '0', 4]"
"['81', '181', '0', '0', '-8', '2', 4]","['181', '181', '0', '0', '-8', '0', 4]","['178', '181', '0', '0', '-6', '0', 4]","['181', '181', '0', '0', '-8', '-1', 4]"
"['181', '173', '0', '0', '-8', '1', 4]","['81', '181', '0', '0', '-8', '2', 4]","['181', '181', '0', '0', '-8', '0', 4]","['178', '181', '0', '0', '-6', '0', 4]"
