"['210', '210', '52', 1.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]","['210', '210', '51', 1.5]"
"['210', '110', '55', 4.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]"
"['210', '110', '53', 6]","['210', '110', '55', 4.5]","['210', '210', '52', 1.5]","['210', '210', '52', 1.5]"
"['210', '110', '39', 4]","['210', '110', '53', 6]","['210', '110', '55', 4.5]","['210', '210', '52', 1.5]"
"['210', '110', '35', 4.5]","['210', '110', '39', 4]","['210', '110', '53', 6]","['210', '110', '55', 4.5]"
"['210', '110', '31', 4]","['210', '110', '35', 4.5]","['210', '110', '39', 4]","['210', '110', '53', 6]"
"['210', '148', '24', 2]","['210', '110', '31', 4]","['210', '110', '35', 4.5]","['210', '110', '39', 4]"
"['210', '114', '22', 4]","['210', '148', '24', 2]","['210', '110', '31', 4]","['210', '110', '35', 4.5]"
"['210', '133', '18', 3.5]","['210', '114', '22', 4]","['210', '148', '24', 2]","['210', '110', '31', 4]"
"['210', '174', '15', 2]","['210', '133', '18', 3.5]","['210', '114', '22', 4]","['210', '148', '24', 2]"
"['210', '142', '18', 4.5]","['210', '174', '15', 2]","['210', '133', '18', 3.5]","['210', '114', '22', 4]"
"['210', '110', '17', 6]","['210', '142', '18', 4.5]","['210', '174', '15', 2]","['210', '133', '18', 3.5]"
"['210', '110', '8', 6]","['210', '110', '17', 6]","['210', '142', '18', 4.5]","['210', '174', '15', 2]"
"['210', '161', '3', 6]","['210', '110', '8', 6]","['210', '110', '17', 6]","['210', '142', '18', 4.5]"
"['210', '197', '1', 4]","['210', '161', '3', 6]","['210', '110', '8', 6]","['210', '110', '17', 6]"
"['210', '200', '4', 9]","['210', '197', '1', 4]","['210', '161', '3', 6]","['210', '110', '8', 6]"
"['210', '193', '9', 4]","['210', '200', '4', 9]","['210', '197', '1', 4]","['210', '161', '3', 6]"
"['210', '193', '11', 4.5]","['210', '193', '9', 4]","['210', '200', '4', 9]","['210', '197', '1', 4]"
"['210', '165', '8', 4]","['210', '193', '11', 4.5]","['210', '193', '9', 4]","['210', '200', '4', 9]"
"['210', '173', '9', 4.5]","['210', '165', '8', 4]","['210', '193', '11', 4.5]","['210', '193', '9', 4]"
"['210', '128', '5', 9]","['210', '173', '9', 4.5]","['210', '165', '8', 4]","['210', '193', '11', 4.5]"
"['210', '189', '3', 4]","['210', '128', '5', 9]","['210', '173', '9', 4.5]","['210', '165', '8', 4]"
"['210', '197', '-1', 4]","['210', '189', '3', 4]","['210', '128', '5', 9]","['210', '173', '9', 4.5]"
"['206', '210', '0', 6]","['210', '197', '-1', 4]","['210', '189', '3', 4]","['210', '128', '5', 9]"
"['210', '209', '1', 3.5]","['206', '210', '0', 6]","['210', '197', '-1', 4]","['210', '189', '3', 4]"
"['210', '207', '3', 2]","['210', '209', '1', 3.5]","['206', '210', '0', 6]","['210', '197', '-1', 4]"
"['0', '182', '8', 9]","['210', '207', '3', 2]","['210', '209', '1', 3.5]","['206', '210', '0', 6]"
"['210', '181', '12', 3.5]","['0', '182', '8', 9]","['210', '207', '3', 2]","['210', '209', '1', 3.5]"
"['210', '167', '12', 3.5]","['210', '181', '12', 3.5]","['0', '182', '8', 9]","['210', '207', '3', 2]"
"['210', '167', '8', 3.5]","['210', '167', '12', 3.5]","['210', '181', '12', 3.5]","['0', '182', '8', 9]"
"['210', '173', '7', 4.5]","['210', '167', '8', 3.5]","['210', '167', '12', 3.5]","['210', '181', '12', 3.5]"
"['210', '195', '7', 2]","['210', '173', '7', 4.5]","['210', '167', '8', 3.5]","['210', '167', '12', 3.5]"
"['210', '167', '9', 6]","['210', '195', '7', 2]","['210', '173', '7', 4.5]","['210', '167', '8', 3.5]"
"['210', '128', '8', 9]","['210', '167', '9', 6]","['210', '195', '7', 2]","['210', '173', '7', 4.5]"
"['210', '173', '4', 4.5]","['210', '128', '8', 9]","['210', '167', '9', 6]","['210', '195', '7', 2]"
"['210', '201', '4', 2]","['210', '173', '4', 4.5]","['210', '128', '8', 9]","['210', '167', '9', 6]"
"['210', '201', '2', 2]","['210', '201', '4', 2]","['210', '173', '4', 4.5]","['210', '128', '8', 9]"
"['210', '197', '5', 6]","['210', '201', '2', 2]","['210', '201', '4', 2]","['210', '173', '4', 4.5]"
"['210', '189', '6', 4]","['210', '197', '5', 6]","['210', '201', '2', 2]","['210', '201', '4', 2]"
"['210', '197', '10', 2]","['210', '189', '6', 4]","['210', '197', '5', 6]","['210', '201', '2', 2]"
"['210', '149', '9', 6]","['210', '197', '10', 2]","['210', '189', '6', 4]","['210', '197', '5', 6]"
"['210', '168', '10', 4.5]","['210', '149', '9', 6]","['210', '197', '10', 2]","['210', '189', '6', 4]"
"['210', '169', '11', 4]","['210', '168', '10', 4.5]","['210', '149', '9', 6]","['210', '197', '10', 2]"
"['210', '187', '12', 2]","['210', '169', '11', 4]","['210', '168', '10', 4.5]","['210', '149', '9', 6]"
"['210', '155', '14', 4.5]","['210', '187', '12', 2]","['210', '169', '11', 4]","['210', '168', '10', 4.5]"
"['210', '125', '18', 6]","['210', '155', '14', 4.5]","['210', '187', '12', 2]","['210', '169', '11', 4]"
"['210', '110', '20', 9]","['210', '125', '18', 6]","['210', '155', '14', 4.5]","['210', '187', '12', 2]"
"['210', '168', '14', 2]","['210', '110', '20', 9]","['210', '125', '18', 6]","['210', '155', '14', 4.5]"
"['210', '145', '12', 4.5]","['210', '168', '14', 2]","['210', '110', '20', 9]","['210', '125', '18', 6]"
"['210', '166', '11', 3.5]","['210', '145', '12', 4.5]","['210', '168', '14', 2]","['210', '110', '20', 9]"
"['210', '186', '13', 2]","['210', '166', '11', 3.5]","['210', '145', '12', 4.5]","['210', '168', '14', 2]"
"['210', '150', '14', 4.5]","['210', '186', '13', 2]","['210', '166', '11', 3.5]","['210', '145', '12', 4.5]"
