"['210', '210', '45', 1.5]","['210', '210', '46', 1.5]","['210', '210', '46', 1.5]","['0', '0', '46', 1.5]"
"['210', '210', '43', 3.5]","['210', '210', '45', 1.5]","['210', '210', '46', 1.5]","['210', '210', '46', 1.5]"
"['210', '110', '46', 3.5]","['210', '210', '43', 3.5]","['210', '210', '45', 1.5]","['210', '210', '46', 1.5]"
"['210', '110', '43', 3.5]","['210', '110', '46', 3.5]","['210', '210', '43', 3.5]","['210', '210', '45', 1.5]"
"['210', '110', '27', 3.5]","['210', '110', '43', 3.5]","['210', '110', '46', 3.5]","['210', '210', '43', 3.5]"
"['210', '110', '25', 6]","['210', '110', '27', 3.5]","['210', '110', '43', 3.5]","['210', '110', '46', 3.5]"
"['210', '110', '22', 3.5]","['210', '110', '25', 6]","['210', '110', '27', 3.5]","['210', '110', '43', 3.5]"
"['210', '122', '14', 3.5]","['210', '110', '22', 3.5]","['210', '110', '25', 6]","['210', '110', '27', 3.5]"
"['210', '133', '8', 3.5]","['210', '122', '14', 3.5]","['210', '110', '22', 3.5]","['210', '110', '25', 6]"
"['210', '160', '3', 3.5]","['210', '133', '8', 3.5]","['210', '122', '14', 3.5]","['210', '110', '22', 3.5]"
"['210', '181', '0', 4.5]","['210', '160', '3', 3.5]","['210', '133', '8', 3.5]","['210', '122', '14', 3.5]"
"['210', '196', '1', 3.5]","['210', '181', '0', 4.5]","['210', '160', '3', 3.5]","['210', '133', '8', 3.5]"
"['210', '209', '10', 3.5]","['210', '196', '1', 3.5]","['210', '181', '0', 4.5]","['210', '160', '3', 3.5]"
"['210', '206', '11', 3.5]","['210', '209', '10', 3.5]","['210', '196', '1', 3.5]","['210', '181', '0', 4.5]"
"['210', '174', '10', 3.5]","['210', '206', '11', 3.5]","['210', '209', '10', 3.5]","['210', '196', '1', 3.5]"
"['210', '171', '4', 3.5]","['210', '174', '10', 3.5]","['210', '206', '11', 3.5]","['210', '209', '10', 3.5]"
"['210', '174', '-1', 3.5]","['210', '171', '4', 3.5]","['210', '174', '10', 3.5]","['210', '206', '11', 3.5]"
"['210', '195', '0', 3.5]","['210', '174', '-1', 3.5]","['210', '171', '4', 3.5]","['210', '174', '10', 3.5]"
"['208', '210', '-3', 3.5]","['210', '195', '0', 3.5]","['210', '174', '-1', 3.5]","['210', '171', '4', 3.5]"
"['210', '209', '-3', 3.5]","['208', '210', '-3', 3.5]","['210', '195', '0', 3.5]","['210', '174', '-1', 3.5]"
"['201', '210', '-1', 3.5]","['210', '209', '-3', 3.5]","['208', '210', '-3', 3.5]","['210', '195', '0', 3.5]"
