0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25
9,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26
6,8,10,11,12,17,18,19,20,21,22,23,24,25,26,27
9,10,11,13,15,16,17,18,19,20,23,24,25,26,27,28
8,11,15,16,17,18,19,20,21,22,23,24,25,27,28,29
12,13,14,15,17,18,19,21,22,24,25,26,27,28,29,30
14,15,17,18,20,21,22,23,24,25,26,27,28,29,30,31
32,9,13,17,19,21,22,23,24,25,26,27,28,29,30,31
32,33,9,11,14,18,19,22,23,25,26,27,28,29,30,31
32,33,34,6,14,18,19,20,22,23,24,25,26,28,30,31
32,33,34,35,14,17,19,20,21,23,24,26,27,28,30,31
32,33,34,35,36,5,13,20,21,22,23,25,26,27,28,30
32,33,34,35,36,14,20,22,24,25,26,27,28,29,30,31
32,33,34,35,36,37,38,10,14,20,22,26,27,28,29,31
33,34,37,38,39,13,19,20,21,22,26,27,28,29,30,31
32,33,34,35,36,37,38,39,40,15,18,22,28,29,30,31
33,34,35,36,37,38,39,40,41,9,13,19,22,26,27,28
32,34,35,36,38,39,40,41,42,19,22,23,25,26,30,31
32,33,34,35,36,37,38,39,40,41,42,43,22,24,26,29
32,33,35,37,38,39,40,42,43,44,16,21,23,27,29,31
32,33,35,36,37,38,40,41,44,45,15,20,23,26,28,31
34,35,36,37,38,39,40,41,11,43,45,46,17,21,24,30
33,34,35,36,37,38,39,40,41,42,43,45,46,47,23,31
32,35,37,38,39,40,41,43,44,45,46,47,48,24,28,30
35,36,37,40,42,43,44,45,47,48,49,20,21,23,25,26
34,35,36,37,38,40,41,42,43,45,47,48,49,18,24,31
32,33,36,37,38,39,40,41,43,45,46,47,17,50,49,25
32,35,38,41,42,45,47,48,15,50,51,20,23,28,29,30
37,38,39,40,41,42,45,14,47,48,50,51,20,53,28,31
34,36,40,41,42,43,44,45,46,48,49,52,53,54,25,30
33,35,38,44,17,49,51,52,53,54,23,55,24,50,27,31
35,36,38,39,40,41,46,47,48,53,21,55,56,26,28,30
36,37,39,41,44,45,49,52,53,54,55,22,25,28,30,57
34,36,37,43,44,45,46,47,48,50,19,52,54,55,57,58
33,38,41,43,46,48,49,50,51,52,53,54,55,57,58,59
35,37,38,39,43,44,46,47,48,49,50,53,54,57,58,59
35,38,39,43,44,45,46,48,49,50,52,54,56,57,58,61
37,39,41,47,48,50,51,52,53,54,55,62,58,27,61,30
38,41,43,49,50,29,53,54,55,56,57,58,60,61,62,63
64,34,37,39,42,43,47,48,54,55,57,58,28,61,62,63
64,32,37,40,45,48,49,50,51,52,53,55,57,60,61,63
66,34,43,28,48,51,30,54,55,56,58,59,60,29,62,63
65,67,41,43,46,47,48,51,53,54,55,56,24,58,61,31
64,66,67,68,40,45,47,53,54,55,62,57,28,61,25,63
64,65,66,69,40,43,18,51,54,62,56,57,58,61,30,63
65,66,67,68,70,41,43,14,51,52,54,56,57,59,60,61
65,67,71,40,41,45,47,50,51,55,56,57,26,61,62,63
65,66,26,68,37,69,70,72,71,47,49,53,56,58,61,31
65,34,69,70,71,72,73,44,45,51,52,53,54,23,56,59
64,65,66,39,71,40,42,74,72,45,47,50,55,58,61,62
64,65,67,69,70,38,72,73,71,74,45,50,51,54,57,63
65,66,35,68,69,67,71,74,43,76,75,48,49,52,58,59
65,68,69,71,39,73,74,75,72,45,77,50,22,56,62,63
64,36,69,71,72,73,74,75,76,77,78,49,30,59,60,62
65,34,67,35,70,71,72,41,73,43,77,78,79,47,62,63
64,33,65,69,38,71,72,73,75,76,77,45,80,54,56,62
65,66,67,36,35,70,71,74,75,44,76,79,80,81,48,60
67,68,69,70,71,72,42,44,77,76,79,54,58,60,61,63
64,65,71,43,77,45,78,47,82,29,52,83,58,59,61,62
64,67,74,76,44,78,77,48,81,82,51,61,53,57,58,29
66,67,68,70,74,42,44,77,79,81,82,83,85,58,60,62
66,67,68,71,74,75,76,77,78,81,50,83,84,82,58,59
64,68,70,77,78,31,81,85,86,87,53,55,56,59,60,63
65,70,73,74,42,76,77,46,79,75,80,50,51,84,53,86
67,40,42,77,79,48,81,83,51,84,85,87,56,86,88,63
65,66,67,33,68,70,43,77,83,84,53,86,87,85,90,62
90,73,91,76,77,78,46,49,84,86,87,56,58,88,60,63
65,36,70,73,77,45,79,46,81,82,83,84,56,90,91,60
65,66,67,69,38,71,41,42,48,84,85,88,89,91,92,93
64,67,68,70,73,74,75,91,48,81,84,87,88,57,59,92
64,65,72,74,78,81,82,20,53,54,84,89,58,91,94,95
96,67,70,38,71,77,79,50,85,54,87,86,94,91,62,95
96,97,67,74,78,79,83,84,53,55,87,56,89,86,60,95
64,70,73,77,49,82,51,52,63,88,89,58,92,93,94,95
96,64,99,40,41,74,77,46,84,85,86,87,89,92,63,95
