"['45', '45', '-50', 1.5]","['45', '45', '-54', 1.5]","['45', '45', '-57', 1.5]","['45', '45', '-62', 1.5]"
"['145', '45', '-37', 4]","['45', '45', '-50', 1.5]","['45', '45', '-54', 1.5]","['45', '45', '-57', 1.5]"
"['145', '45', '-18', 4]","['145', '45', '-37', 4]","['45', '45', '-50', 1.5]","['45', '45', '-54', 1.5]"
"['117', '45', '0', 4]","['145', '45', '-18', 4]","['145', '45', '-37', 4]","['45', '45', '-50', 1.5]"
"['45', '45', '14', 4]","['117', '45', '0', 4]","['145', '45', '-18', 4]","['145', '45', '-37', 4]"
"['45', '93', '16', 3.5]","['45', '45', '14', 4]","['117', '45', '0', 4]","['145', '45', '-18', 4]"
"['45', '100', '9', 3.5]","['45', '93', '16', 3.5]","['45', '45', '14', 4]","['117', '45', '0', 4]"
"['45', '80', '-4', 4]","['45', '100', '9', 3.5]","['45', '93', '16', 3.5]","['45', '45', '14', 4]"
"['61', '45', '-12', 4]","['45', '80', '-4', 4]","['45', '100', '9', 3.5]","['45', '93', '16', 3.5]"
"['93', '45', '-8', 4]","['61', '45', '-12', 4]","['45', '80', '-4', 4]","['45', '100', '9', 3.5]"
"['73', '45', '-1', 3.5]","['93', '45', '-8', 4]","['61', '45', '-12', 4]","['45', '80', '-4', 4]"
"['49', '45', '-2', 4]","['73', '45', '-1', 3.5]","['93', '45', '-8', 4]","['61', '45', '-12', 4]"
"['53', '45', '-10', 4]","['49', '45', '-2', 4]","['73', '45', '-1', 3.5]","['93', '45', '-8', 4]"
"['85', '45', '-15', 4]","['53', '45', '-10', 4]","['49', '45', '-2', 4]","['73', '45', '-1', 3.5]"
"['105', '45', '-19', 4]","['85', '45', '-15', 4]","['53', '45', '-10', 4]","['49', '45', '-2', 4]"
"['121', '45', '-20', 4]","['105', '45', '-19', 4]","['85', '45', '-15', 4]","['53', '45', '-10', 4]"
"['115', '45', '-12', 3.5]","['121', '45', '-20', 4]","['105', '45', '-19', 4]","['85', '45', '-15', 4]"
"['93', '45', '2', 4]","['115', '45', '-12', 3.5]","['121', '45', '-20', 4]","['105', '45', '-19', 4]"
"['45', '52', '4', 4]","['93', '45', '2', 4]","['115', '45', '-12', 3.5]","['121', '45', '-20', 4]"
"['45', '60', '5', 4]","['45', '52', '4', 4]","['93', '45', '2', 4]","['115', '45', '-12', 3.5]"
"['45', '64', '5', 4]","['45', '60', '5', 4]","['45', '52', '4', 4]","['93', '45', '2', 4]"
"['45', '64', '2', 4]","['45', '64', '5', 4]","['45', '60', '5', 4]","['45', '52', '4', 4]"
"['45', '52', '-3', 4]","['45', '64', '2', 4]","['45', '64', '5', 4]","['45', '60', '5', 4]"
"['57', '45', '-10', 4]","['45', '52', '-3', 4]","['45', '64', '2', 4]","['45', '64', '5', 4]"
"['85', '45', '-17', 4]","['57', '45', '-10', 4]","['45', '52', '-3', 4]","['45', '64', '2', 4]"
"['113', '45', '-17', 4]","['85', '45', '-17', 4]","['57', '45', '-10', 4]","['45', '52', '-3', 4]"
"['113', '45', '-6', 4]","['113', '45', '-17', 4]","['85', '45', '-17', 4]","['57', '45', '-10', 4]"
"['69', '45', '0', 4]","['113', '45', '-6', 4]","['113', '45', '-17', 4]","['85', '45', '-17', 4]"
"['45', '45', '-1', 4]","['69', '45', '0', 4]","['113', '45', '-6', 4]","['113', '45', '-17', 4]"
