CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.04,0.07,1.03,0.034,-0.038,0.004,,0.595948926
0.0008,-0.07,0.16,1.23,0.023,-0.035,0.005,,
0.0017,-0.07,0.18,1.08,0.018,-0.033,0.005,,
0.0025,0.24,0.14,1.49,0.015,-0.021,0.004,,
0.0033,0.21,0.55,1.25,0.002,-0.017,0.001,,
0.0042,0.23,0.44,1.02,0.006,-0.011,-0.005,,
0.005,0.23,-0.25,1.12,0.027,-0.013,-0.004,,
0.0058,-0.19,-0.43,0.3,0.041,-0.027,-0.006,,
0.0067,-0.4,-0.49,-0.14,0.049,-0.037,-0.009,,
0.0075,-0.55,-0.17,-0.47,0.047,-0.039,-0.011,,
0.0083,-0.32,-0.15,-0.58,0.049,-0.027,-0.003,,
0.0092,0.32,-0.36,-0.27,0.051,-0.004,0,,
0.01,0.66,-0.28,0.06,0.04,0.02,-0.004,,
0.0108,0.73,0.17,0.09,0.02,0.031,-0.001,,
0.0117,0.58,0.55,0.34,0.002,0.035,0.004,,
0.0125,0.2,0.38,0.27,0.014,0.018,0.007,,
0.0133,-0.07,-0.06,0.66,0.031,0.007,0.002,,
0.0142,-0.25,-0.47,0.98,0.045,-0.004,0.007,,
0.015,-0.4,-0.46,1.09,0.047,-0.011,0.008,,
0.0158,-0.33,-0.4,0.98,0.048,-0.016,0.004,,
0.0167,-0.31,-0.4,0.6,0.049,-0.018,0.006,,
0.0175,-0.38,-0.62,0.69,0.046,-0.022,0.01,,
0.0183,-0.58,-0.52,1,0.032,-0.023,0.007,,
0.0192,-0.72,-0.07,1.06,0.009,-0.022,0.003,,
0.02,-0.63,0.38,0.9,-0.008,-0.014,0.008,,
0.0208,-0.51,0.6,0.76,-0.015,-0.007,0.01,,
0.0217,-0.36,0.51,0.88,-0.013,0.001,0.006,,
0.0225,-0.3,0.36,0.84,-0.007,0.008,0.005,,
0.0233,-0.41,0.15,0.82,0.003,0.008,0.007,,
0.0242,-0.41,-0.05,0.76,0.015,0.01,0.006,,
0.025,-0.39,-0.15,0.65,0.027,0.009,0.003,,
0.0258,-0.33,-0.28,0.75,0.04,0.011,0.005,,
0.0267,-0.12,-0.41,0.82,0.053,0.019,0.006,,
0.0275,0.16,-0.82,1.06,0.071,0.029,0.007,,
0.0283,0.33,-1.03,1.28,0.077,0.038,0.006,,
0.0292,0.52,-0.87,1.01,0.069,0.05,0.005,,
0.03,0.55,-0.64,0.84,0.054,0.052,0.004,,
0.0308,0.43,-0.3,1,0.033,0.05,0.001,,
0.0317,0.4,0.05,1.02,0.018,0.044,-0.001,,
0.0325,0.37,0.22,1.02,0.013,0.038,-0.002,,
0.0333,0.33,0.31,0.69,0.014,0.029,-0.007,,
0.0342,0.23,0.16,0.6,0.023,0.02,-0.008,,
0.035,0.04,-0.04,0.46,0.035,0.008,-0.011,,
0.0358,-0.16,-0.17,0.02,0.045,0,-0.012,,
0.0367,0.02,-0.58,0.18,0.06,0.008,-0.01,,
0.0375,0.3,-0.85,0.44,0.072,0.025,-0.009,,
0.0383,0.57,-0.91,0.76,0.073,0.044,-0.007,,
0.0392,0.8,-0.68,0.85,0.063,0.06,-0.005,,
0.04,0.75,-0.27,0.5,0.05,0.059,-0.004,,
0.0408,0.49,-0.09,0.32,0.042,0.053,-0.002,,
0.0417,0.24,-0.21,0.46,0.044,0.038,0,,
0.0425,-0.08,-0.24,0.5,0.041,0.026,0.002,,
0.0433,-0.22,-0.3,0.63,0.038,0.018,-0.001,,
0.0442,-0.24,-0.35,0.79,0.035,0.015,0.001,,
0.045,-0.26,-0.27,0.92,0.028,0.016,0.006,,
0.0458,0,-0.18,0.93,0.02,0.026,0.009,,
0.0467,0.1,0.05,0.62,0.017,0.031,0.006,,
0.0475,0,-0.04,0.58,0.024,0.033,0.011,,
0.0483,-0.05,-0.26,0.65,0.033,0.034,0.011,,
0.0492,-0.09,-0.46,0.49,0.036,0.039,0.013,,
0.05,-0.04,-0.44,0.3,0.029,0.045,0.01,,
0.0508,0.06,-0.25,0.27,0.022,0.046,0.007,,
0.0517,0.12,-0.17,0.25,0.017,0.046,0.005,,
0.0525,0.04,-0.16,0.55,0.013,0.04,0.003,,
0.0533,-0.22,-0.18,0.72,0.009,0.038,0.001,,
0.0542,-0.51,0.01,0.9,0.003,0.042,-0.002,,
0.055,-0.42,0.17,0.88,-0.001,0.06,-0.004,,
0.0558,0.02,0.21,0.81,0.001,0.084,-0.001,,
0.0567,0.56,0.17,0.5,0.006,0.11,0.002,,
0.0575,0.98,0.05,0.34,0.015,0.128,0.006,,
0.0583,1.23,-0.16,0.15,0.025,0.139,0.006,,
0.0592,1.31,-0.42,0.53,0.031,0.137,0.004,,
0.06,1.13,-0.51,0.83,0.032,0.119,0,,
0.0608,0.53,-0.23,0.99,0.023,0.089,-0.003,,
0.0617,-0.04,0.05,1.01,0.013,0.063,-0.004,,
0.0625,-0.36,0.23,0.88,0.007,0.048,-0.006,,
0.0633,-0.44,0.31,0.8,0.005,0.035,-0.007,,
0.0642,-0.44,0.17,0.61,0.008,0.027,-0.009,,
0.065,-0.51,0.11,0.38,0.01,0.023,-0.008,,
0.0658,-0.46,-0.08,0.06,0.016,0.021,-0.007,,
0.0667,-0.42,-0.24,0,0.021,0.029,-0.002,,
0.0675,-0.24,-0.34,0.15,0.025,0.035,-0.001,,
0.0683,-0.05,-0.24,0.23,0.022,0.047,0.002,,
0.0692,0.13,-0.02,0.72,0.017,0.049,0.003,,
0.07,0.24,0.13,0.85,0.016,0.038,0.002,,
0.0708,-0.06,0.25,0.59,0.013,0.029,0,,
0.0717,-0.28,0.06,0.16,0.019,0.017,-0.007,,
0.0725,-0.25,-0.43,-0.05,0.039,0.007,-0.011,,
0.0733,-0.35,-0.91,0.28,0.057,0.009,-0.008,,
0.0742,-0.23,-0.52,0.36,0.056,0.013,-0.006,,
0.075,-0.08,0.11,0.17,0.037,0.029,-0.004,,
0.0758,0.28,0.47,0.39,0.019,0.04,-0.005,,
0.0767,0.62,0.34,0.56,0.019,0.051,-0.001,,
0.0775,0.85,-0.02,1.08,0.031,0.058,-0.003,,
0.0783,0.72,-0.34,1.41,0.045,0.044,-0.002,,
0.0792,0.36,-0.41,0.95,0.059,0.028,0,,
0.08,0.08,-0.46,0.32,0.063,0.01,-0.004,,
0.0808,0.24,-0.62,-0.02,0.068,0.006,-0.004,,
0.0817,0.34,-0.65,0.36,0.069,0.006,-0.007,,
0.0825,0.27,-0.51,0.42,0.071,0.004,-0.005,,
0.0833,0.11,-0.34,0.56,0.065,-0.003,-0.006,,
0.0842,-0.01,-0.17,0.35,0.061,-0.01,-0.004,,
0.085,-0.11,-0.2,0.57,0.056,-0.014,-0.007,,
0.0858,-0.16,-0.32,0.51,0.063,-0.017,-0.004,,
0.0867,-0.15,-0.53,0.87,0.068,-0.012,-0.006,,
0.0875,0.12,-0.56,0.64,0.067,-0.01,-0.002,,
0.0883,0.09,-0.37,0.62,0.063,-0.008,-0.001,,
0.0892,0.2,-0.28,0.66,0.062,-0.006,0.004,,
