PathFileType	4	(X/Y/Z)	D:\MAC3D_Data\Watanabe Lab\Sasazaki_1109\1_suihei2.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
200.00	200.00	      1535	0	mm	200.00	1	      1535
Frame#	Time	
		

1	0.000	
2	0.005	
3	0.010	
4	0.015	
5	0.020	
6	0.025	
7	0.030	
8	0.035	
9	0.040	
10	0.045	
11	0.050	
12	0.055	
13	0.060	
14	0.065	
15	0.070	
16	0.075	
17	0.080	
18	0.085	
19	0.090	
20	0.095	
21	0.100	
22	0.105	
23	0.110	
24	0.115	
25	0.120	
26	0.125	
27	0.130	
28	0.135	
29	0.140	
30	0.145	
31	0.150	
32	0.155	
33	0.160	
34	0.165	
35	0.170	
36	0.175	
37	0.180	
38	0.185	
39	0.190	
40	0.195	
41	0.200	
42	0.205	
43	0.210	
44	0.215	
45	0.220	
46	0.225	
47	0.230	
48	0.235	
49	0.240	
50	0.245	
51	0.250	
52	0.255	
53	0.260	
54	0.265	
55	0.270	
56	0.275	
57	0.280	
58	0.285	
59	0.290	
60	0.295	
61	0.300	
62	0.305	
63	0.310	
64	0.315	
65	0.320	
66	0.325	
67	0.330	
68	0.335	
69	0.340	
70	0.345	
71	0.350	
72	0.355	
73	0.360	
74	0.365	
75	0.370	
76	0.375	
77	0.380	
78	0.385	
79	0.390	
80	0.395	
81	0.400	
82	0.405	
83	0.410	
84	0.415	
85	0.420	
86	0.425	
87	0.430	
88	0.435	
89	0.440	
90	0.445	
91	0.450	
92	0.455	
93	0.460	
94	0.465	
95	0.470	
96	0.475	
97	0.480	
98	0.485	
99	0.490	-30.45643	2499.31909	730.95734	
100	0.495	-30.29839	2499.51294	731.03308	
101	0.500	-30.27789	2499.69507	731.05487	
102	0.505	-30.17919	2499.80713	731.02460	
103	0.510	-30.19917	2499.87524	731.04913	
104	0.515	-30.01903	2500.20654	731.26025	
105	0.520	-29.81965	2500.49292	731.41980	
106	0.525	-29.95478	2500.49316	731.27594	
107	0.530	-29.89666	2500.48193	731.24957	
108	0.535	-29.62469	2500.79321	731.50159	
109	0.540	-29.71879	2500.91016	731.43604	
110	0.545	-29.56378	2501.30566	731.31946	
111	0.550	-29.21356	2501.70776	731.41718	
112	0.555	-29.30710	2501.69922	731.13116	
113	0.560	-28.77014	2502.32373	731.22180	
114	0.565	-28.81423	2502.30664	730.92145	
115	0.570	-28.67281	2502.68335	730.73956	
116	0.575	-28.59803	2502.77759	730.64667	
117	0.580	-28.37126	2503.23413	730.82178	
118	0.585	-28.50118	2503.24072	730.75439	
119	0.590	-28.31564	2503.35327	731.08020	
120	0.595	-28.14694	2503.64478	731.32709	
121	0.600	-28.40594	2503.65161	731.29474	
122	0.605	-28.03855	2504.07007	732.09625	
123	0.610	-28.15133	2504.14722	732.39734	
124	0.615	-28.09933	2504.30029	732.65247	
125	0.620	-28.14293	2504.43921	732.83514	
126	0.625	
127	0.630	
128	0.635	
129	0.640	
130	0.645	
131	0.650	
132	0.655	
133	0.660	
134	0.665	
135	0.670	
136	0.675	
137	0.680	
138	0.685	
139	0.690	
140	0.695	
141	0.700	
142	0.705	
